country,name,cases,deaths,recovered,last_update
MK,Republic of North Macedonia,1,0,0,2020-02-26T19:03:08
MK,Republic of North Macedonia,1,0,0,2020-02-27T16:23:03
MK,Republic of North Macedonia,3,0,0,2020-03-06T20:23:11
MK,Republic of North Macedonia,7,0,0,2020-03-10T10:53:03
MK,Republic of North Macedonia,14,0,1,2020-03-11T20:00:00
MK,Republic of North Macedonia,14,0,1,2020-03-13T23:33:05
MK,Republic of North Macedonia,18,0,1,2020-03-16T14:38:45
MK,Republic of North Macedonia,26,0,1,2020-03-17T11:53:10
MK,Republic of North Macedonia,35,0,1,2020-03-18T12:33:03
MK,Republic of North Macedonia,48,0,1,2020-03-19T16:43:03
MK,Republic of North Macedonia,67,0,1,2020-03-20T14:43:04
MK,Republic of North Macedonia,85,0,1,2020-03-21T17:43:03
MK,Republic of North Macedonia,115,1,1,2020-03-22T23:45:00
MK,Republic of North Macedonia,136,2,1,2020-03-23T23:19:21
MK,Republic of North Macedonia,148,2,1,2020-03-24T23:37:15
MK,Republic of North Macedonia,177,3,1,2020-03-25T23:33:04
MK,Republic of North Macedonia,201,3,3,2020-03-26T23:48:18
MK,Republic of North Macedonia,219,3,3,2020-03-27T23:23:03
MK,Republic of North Macedonia,241,4,3,2020-03-28T23:05:25
MK,Republic of North Macedonia,259,6,3,2020-03-29T23:08:13
MK,Republic of North Macedonia,285,7,12,2020-03-30T22:52:33
MK,Republic of North Macedonia,329,9,12,2020-03-31T23:43:43
MK,Republic of North Macedonia,354,11,17,2020-04-01T21:58:34
MK,Republic of North Macedonia,384,11,17,2020-04-02T23:25:14
MK,Republic of North Macedonia,430,12,20,2020-04-03T23:56:18
MK,Republic of North Macedonia,483,17,20,2020-04-04T23:34:04
MK,Republic of North Macedonia,555,18,23,2020-04-05T23:06:26
MK,Republic of North Macedonia,570,23,30,2020-04-06T23:21:55
MK,Republic of North Macedonia,599,26,30,2020-04-07T23:04:29
MK,Republic of North Macedonia,617,29,35,2020-04-08T22:51:39
MK,Republic of North Macedonia,663,30,37,2020-04-09T23:02:19
MK,Republic of North Macedonia,711,32,41,2020-04-10T22:53:48
MK,Republic of North Macedonia,760,34,41,2020-04-11T23:56:45
MK,Republic of North Macedonia,760,34,41,2020-04-12T03:31:35
MK,Republic of North Macedonia,854,38,44,2020-04-13T23:07:34
MK,Republic of North Macedonia,908,44,86,2020-04-14T23:33:12
MK,Republic of North Macedonia,974,45,98,2020-04-15T22:56:32
MK,Republic of North Macedonia,1081,46,121,2020-04-16T23:30:31
MK,Republic of North Macedonia,1117,49,139,2020-04-17T23:30:32
MK,Republic of North Macedonia,1170,49,164,2020-04-18T22:32:28
MK,Republic of North Macedonia,1207,51,179,2020-04-19T23:40:41
MK,Republic of North Macedonia,1225,54,200,2020-04-20T23:36:27
MK,Republic of North Macedonia,1231,55,224,2020-04-21T23:30:30
MK,Republic of North Macedonia,1259,56,272,2020-04-22T23:30:32
MK,Republic of North Macedonia,1300,56,301,2020-04-23T23:30:31
MK,Republic of North Macedonia,1326,57,337,2020-04-24T21:30:34
MK,Republic of North Macedonia,1367,59,374,2020-04-25T23:30:33
MK,Republic of North Macedonia,1386,61,500,2020-04-26T23:30:31
MK,Republic of North Macedonia,1399,65,553,2020-04-27T23:30:31
MK,Republic of North Macedonia,1421,71,589,2020-04-28T23:32:24
MK,Republic of North Macedonia,1442,73,627,2020-04-29T23:32:26
MK,Republic of North Macedonia,1465,77,738,2020-04-30T23:32:27
MK,Republic of North Macedonia,1494,81,807,2020-05-01T23:32:36
MK,Republic of North Macedonia,1506,82,852,2020-05-02T23:32:31
MK,Republic of North Macedonia,1511,84,945,2020-05-03T23:32:29
MK,Republic of North Macedonia,1518,85,992,2020-05-04T22:32:33
MK,Republic of North Macedonia,1526,86,1013,2020-05-05T23:32:29
MK,Republic of North Macedonia,1539,88,1057,2020-05-06T23:32:28
MK,Republic of North Macedonia,1572,89,1079,2020-05-07T22:32:32
MK,Republic of North Macedonia,1586,90,1099,2020-05-08T23:32:35
MK,Republic of North Macedonia,1622,91,1112,2020-05-09T23:32:33
MK,Republic of North Macedonia,1642,91,1136,2020-05-10T23:32:32
MK,Republic of North Macedonia,1664,91,1200,2020-05-11T23:32:30
MK,Republic of North Macedonia,1674,92,1205,2020-05-12T23:32:26
MK,Republic of North Macedonia,1694,95,1229,2020-05-13T23:32:26
MK,Republic of North Macedonia,1723,95,1235,2020-05-14T23:32:28
MK,Republic of North Macedonia,1740,97,1251,2020-05-15T23:32:20
MK,Republic of North Macedonia,1762,98,1267,2020-05-16T23:32:19
MK,Republic of North Macedonia,1792,101,1293,2020-05-17T23:32:23
MK,Republic of North Macedonia,1817,104,1301,2020-05-18T23:32:29
MK,Republic of North Macedonia,1839,106,1351,2020-05-19T23:32:20
MK,Republic of North Macedonia,1858,110,1367,2020-05-20T23:32:52
MK,Republic of North Macedonia,1898,111,1378,2020-05-21T23:32:39
MK,Republic of North Macedonia,1921,112,1387,2020-05-22T23:32:40
MK,Republic of North Macedonia,1941,113,1411,2020-05-23T19:06:14
