country,name,cases,deaths,recovered,last_update
ML,Mali,2,0,0,2020-03-25T23:33:04
ML,Mali,4,0,0,2020-03-26T23:48:18
ML,Mali,11,0,0,2020-03-27T23:23:03
ML,Mali,18,0,0,2020-03-28T23:05:25
ML,Mali,18,1,0,2020-03-29T23:08:13
ML,Mali,25,2,0,2020-03-30T22:52:33
ML,Mali,28,2,0,2020-03-31T23:43:43
ML,Mali,31,3,0,2020-04-01T21:58:34
ML,Mali,36,3,0,2020-04-02T23:25:14
ML,Mali,39,3,0,2020-04-03T23:56:18
ML,Mali,41,3,1,2020-04-04T23:34:04
ML,Mali,45,5,1,2020-04-05T23:06:26
ML,Mali,47,5,9,2020-04-06T23:21:55
ML,Mali,56,5,12,2020-04-07T23:04:29
ML,Mali,59,7,16,2020-04-08T22:51:39
ML,Mali,74,7,22,2020-04-09T23:02:19
ML,Mali,87,7,22,2020-04-10T22:53:48
ML,Mali,87,7,22,2020-04-11T23:56:45
ML,Mali,87,7,22,2020-04-12T03:31:35
ML,Mali,123,10,26,2020-04-13T23:07:34
ML,Mali,144,13,34,2020-04-14T23:33:12
ML,Mali,148,13,34,2020-04-15T22:56:32
ML,Mali,171,13,34,2020-04-16T23:30:31
ML,Mali,171,13,34,2020-04-17T23:30:32
ML,Mali,216,13,41,2020-04-18T22:32:28
ML,Mali,224,14,42,2020-04-19T23:40:41
ML,Mali,246,14,56,2020-04-20T23:36:27
ML,Mali,258,14,57,2020-04-21T23:30:30
ML,Mali,293,17,73,2020-04-22T23:30:32
ML,Mali,309,21,77,2020-04-23T23:30:31
ML,Mali,309,21,77,2020-04-24T21:30:34
ML,Mali,370,21,91,2020-04-25T23:30:33
ML,Mali,389,23,112,2020-04-26T23:30:31
ML,Mali,408,23,113,2020-04-27T23:30:31
ML,Mali,424,24,122,2020-04-28T23:32:24
ML,Mali,482,25,129,2020-04-29T23:32:26
ML,Mali,490,26,135,2020-04-30T23:32:27
ML,Mali,508,26,196,2020-05-01T23:32:36
ML,Mali,544,26,206,2020-05-02T23:32:31
ML,Mali,563,27,213,2020-05-03T23:32:29
ML,Mali,580,29,223,2020-05-04T22:32:33
ML,Mali,612,32,228,2020-05-05T23:32:29
ML,Mali,631,32,261,2020-05-06T23:32:28
ML,Mali,650,32,271,2020-05-07T22:32:32
ML,Mali,668,35,285,2020-05-08T23:32:35
ML,Mali,692,37,298,2020-05-09T23:32:33
ML,Mali,704,38,351,2020-05-10T23:32:32
ML,Mali,712,39,377,2020-05-11T23:32:30
ML,Mali,730,40,398,2020-05-12T23:32:26
ML,Mali,758,44,412,2020-05-13T23:32:26
ML,Mali,779,46,436,2020-05-14T23:32:28
ML,Mali,806,46,455,2020-05-15T23:32:20
ML,Mali,835,48,479,2020-05-16T23:32:19
ML,Mali,860,52,494,2020-05-17T23:32:23
ML,Mali,874,52,512,2020-05-18T23:32:29
ML,Mali,901,53,529,2020-05-19T23:32:20
ML,Mali,931,55,543,2020-05-20T23:32:52
ML,Mali,947,60,558,2020-05-21T23:32:39
ML,Mali,947,60,558,2020-05-22T12:32:39
