country,name,cases,deaths,recovered,last_update
MM,Myanmar,8,0,0,2020-03-27T23:23:03
MM,Myanmar,8,0,0,2020-03-28T23:05:25
MM,Myanmar,10,0,0,2020-03-29T23:08:13
MM,Myanmar,14,0,0,2020-03-30T22:52:33
MM,Myanmar,15,1,0,2020-03-31T23:43:43
MM,Myanmar,15,1,0,2020-04-01T21:58:34
MM,Myanmar,20,1,0,2020-04-02T23:25:14
MM,Myanmar,20,1,0,2020-04-03T23:56:18
MM,Myanmar,21,1,0,2020-04-04T23:34:04
MM,Myanmar,21,1,0,2020-04-05T23:06:26
MM,Myanmar,22,1,0,2020-04-06T23:21:55
MM,Myanmar,22,1,0,2020-04-07T23:04:29
MM,Myanmar,22,3,0,2020-04-08T22:51:39
MM,Myanmar,23,3,2,2020-04-09T23:02:19
MM,Myanmar,27,3,2,2020-04-10T22:53:48
MM,Myanmar,38,3,2,2020-04-11T23:56:45
MM,Myanmar,38,3,2,2020-04-12T03:31:35
MM,Myanmar,62,4,2,2020-04-13T23:07:34
MM,Myanmar,63,4,2,2020-04-14T23:33:12
MM,Myanmar,74,4,2,2020-04-15T22:56:32
MM,Myanmar,85,4,2,2020-04-16T23:30:31
MM,Myanmar,88,4,5,2020-04-17T23:30:32
MM,Myanmar,98,5,5,2020-04-18T22:32:28
MM,Myanmar,111,5,7,2020-04-19T23:40:41
MM,Myanmar,119,5,7,2020-04-20T23:36:27
MM,Myanmar,121,5,7,2020-04-21T23:30:30
MM,Myanmar,123,5,7,2020-04-22T23:30:32
MM,Myanmar,132,5,9,2020-04-23T23:30:31
MM,Myanmar,144,5,9,2020-04-24T21:30:34
MM,Myanmar,144,5,10,2020-04-25T23:30:33
MM,Myanmar,146,5,10,2020-04-26T23:30:31
MM,Myanmar,146,5,16,2020-04-27T23:30:31
MM,Myanmar,149,5,16,2020-04-28T23:32:24
MM,Myanmar,150,6,27,2020-04-29T23:32:26
MM,Myanmar,150,6,27,2020-04-30T23:32:27
MM,Myanmar,151,6,31,2020-05-01T23:32:36
MM,Myanmar,151,6,37,2020-05-02T23:32:31
MM,Myanmar,155,6,43,2020-05-03T23:32:29
MM,Myanmar,161,6,49,2020-05-04T22:32:33
MM,Myanmar,161,6,49,2020-05-05T23:32:29
MM,Myanmar,161,6,50,2020-05-06T23:32:28
MM,Myanmar,176,6,62,2020-05-07T22:32:32
MM,Myanmar,177,6,67,2020-05-08T23:32:35
MM,Myanmar,178,6,68,2020-05-09T23:32:33
MM,Myanmar,180,6,72,2020-05-10T23:32:32
MM,Myanmar,180,6,74,2020-05-11T23:32:30
MM,Myanmar,180,6,76,2020-05-12T23:32:26
MM,Myanmar,181,6,79,2020-05-13T23:32:26
MM,Myanmar,181,6,84,2020-05-14T23:32:28
MM,Myanmar,181,6,89,2020-05-15T23:32:20
MM,Myanmar,182,6,96,2020-05-16T23:32:19
MM,Myanmar,184,6,97,2020-05-17T23:32:23
MM,Myanmar,188,6,101,2020-05-18T18:01:58
