country,name,cases,deaths,recovered,last_update
MU,Mauritius,3,0,0,2020-03-18T19:53:03
MU,Mauritius,3,0,0,2020-03-19T02:33:08
MU,Mauritius,12,0,0,2020-03-20T15:13:21
MU,Mauritius,14,1,0,2020-03-21T12:43:08
MU,Mauritius,28,2,0,2020-03-22T23:45:00
MU,Mauritius,36,2,0,2020-03-23T23:19:21
MU,Mauritius,42,2,0,2020-03-24T23:37:15
MU,Mauritius,48,2,0,2020-03-25T23:33:04
MU,Mauritius,81,2,0,2020-03-26T23:48:18
MU,Mauritius,94,2,0,2020-03-27T23:23:03
MU,Mauritius,102,2,0,2020-03-28T23:05:25
MU,Mauritius,107,3,0,2020-03-29T23:08:13
MU,Mauritius,128,3,0,2020-03-30T22:52:33
MU,Mauritius,143,5,0,2020-03-31T23:43:43
MU,Mauritius,161,6,0,2020-04-01T21:58:34
MU,Mauritius,169,7,0,2020-04-02T23:25:14
MU,Mauritius,186,7,0,2020-04-03T23:56:18
MU,Mauritius,196,7,7,2020-04-04T23:34:04
MU,Mauritius,227,7,7,2020-04-05T23:06:26
MU,Mauritius,244,7,7,2020-04-06T23:21:55
MU,Mauritius,268,7,8,2020-04-07T23:04:29
MU,Mauritius,273,7,19,2020-04-08T22:51:39
MU,Mauritius,314,7,23,2020-04-09T23:02:19
MU,Mauritius,318,9,23,2020-04-10T22:53:48
MU,Mauritius,319,9,28,2020-04-11T23:56:45
MU,Mauritius,319,9,28,2020-04-12T03:31:35
MU,Mauritius,324,9,42,2020-04-13T23:07:34
MU,Mauritius,324,9,51,2020-04-14T23:33:12
MU,Mauritius,324,9,65,2020-04-15T22:56:32
MU,Mauritius,324,9,81,2020-04-16T23:30:31
MU,Mauritius,324,9,108,2020-04-17T23:30:32
MU,Mauritius,325,9,180,2020-04-18T22:32:28
MU,Mauritius,328,9,208,2020-04-19T23:40:41
MU,Mauritius,328,9,224,2020-04-20T23:36:27
MU,Mauritius,328,9,243,2020-04-21T23:30:30
MU,Mauritius,329,9,261,2020-04-22T23:30:32
MU,Mauritius,331,9,266,2020-04-23T23:30:31
MU,Mauritius,331,9,285,2020-04-24T21:30:34
MU,Mauritius,331,9,295,2020-04-25T23:30:33
MU,Mauritius,332,9,299,2020-04-26T23:30:31
MU,Mauritius,334,10,302,2020-04-27T23:30:31
MU,Mauritius,334,10,303,2020-04-28T23:32:24
MU,Mauritius,334,10,306,2020-04-29T23:32:26
MU,Mauritius,332,10,310,2020-04-30T23:32:27
MU,Mauritius,332,10,312,2020-05-01T23:32:36
MU,Mauritius,332,10,314,2020-05-02T23:32:31
MU,Mauritius,332,10,315,2020-05-03T23:32:29
MU,Mauritius,332,10,316,2020-05-04T22:32:33
MU,Mauritius,332,10,319,2020-05-05T23:32:29
MU,Mauritius,332,10,320,2020-05-06T23:32:28
MU,Mauritius,332,10,320,2020-05-07T22:32:32
MU,Mauritius,332,10,320,2020-05-08T23:32:35
MU,Mauritius,332,10,320,2020-05-09T23:32:33
MU,Mauritius,332,10,320,2020-05-10T23:32:32
MU,Mauritius,332,10,322,2020-05-11T23:32:30
MU,Mauritius,332,10,322,2020-05-12T23:32:26
MU,Mauritius,332,10,322,2020-05-13T23:32:26
MU,Mauritius,332,10,322,2020-05-14T23:32:28
MU,Mauritius,332,10,322,2020-05-15T23:32:20
MU,Mauritius,332,10,322,2020-05-16T23:32:19
MU,Mauritius,332,10,322,2020-05-17T23:32:23
MU,Mauritius,332,10,322,2020-05-18T18:01:58
