country,name,cases,deaths,recovered,last_update
MV,Maldives,4,0,0,2020-03-08T21:13:10
MV,Maldives,6,0,0,2020-03-10T05:13:07
MV,Maldives,8,0,0,2020-03-11T09:33:12
MV,Maldives,9,0,0,2020-03-11T20:00:00
MV,Maldives,10,0,0,2020-03-14T16:14:58
MV,Maldives,13,0,0,2020-03-15T18:20:18
MV,Maldives,13,0,3,2020-03-22T23:45:00
MV,Maldives,13,0,5,2020-03-23T23:19:21
MV,Maldives,13,0,5,2020-03-24T23:37:15
MV,Maldives,13,0,8,2020-03-25T23:33:04
MV,Maldives,13,0,8,2020-03-26T23:48:18
MV,Maldives,16,0,9,2020-03-27T23:23:03
MV,Maldives,16,0,9,2020-03-28T23:05:25
MV,Maldives,17,0,13,2020-03-29T23:08:13
MV,Maldives,17,0,13,2020-03-30T22:52:33
MV,Maldives,18,0,13,2020-03-31T23:43:43
MV,Maldives,19,0,13,2020-04-01T21:58:34
MV,Maldives,19,0,13,2020-04-02T23:25:14
MV,Maldives,19,0,13,2020-04-03T23:56:18
MV,Maldives,19,0,13,2020-04-04T23:34:04
MV,Maldives,19,0,13,2020-04-05T23:06:26
MV,Maldives,19,0,13,2020-04-06T23:21:55
MV,Maldives,19,0,13,2020-04-07T23:04:29
MV,Maldives,19,0,13,2020-04-08T22:51:39
MV,Maldives,19,0,13,2020-04-09T23:02:19
MV,Maldives,19,0,13,2020-04-10T22:53:48
MV,Maldives,19,0,13,2020-04-11T23:56:45
MV,Maldives,19,0,13,2020-04-12T03:31:35
MV,Maldives,20,0,14,2020-04-13T23:07:34
MV,Maldives,20,0,16,2020-04-14T23:33:12
MV,Maldives,22,0,16,2020-04-15T22:56:32
MV,Maldives,25,0,16,2020-04-16T23:30:31
MV,Maldives,28,0,16,2020-04-17T23:30:32
MV,Maldives,35,0,16,2020-04-18T22:32:28
MV,Maldives,52,0,16,2020-04-19T23:40:41
MV,Maldives,69,0,16,2020-04-20T23:36:27
MV,Maldives,83,0,16,2020-04-21T23:30:30
MV,Maldives,86,0,16,2020-04-22T23:30:32
MV,Maldives,108,0,16,2020-04-23T23:30:31
MV,Maldives,116,0,16,2020-04-24T21:30:34
MV,Maldives,141,0,17,2020-04-25T23:30:33
MV,Maldives,214,0,17,2020-04-26T23:30:31
MV,Maldives,226,0,17,2020-04-27T23:30:31
MV,Maldives,250,0,17,2020-04-28T23:32:24
MV,Maldives,278,1,17,2020-04-29T23:32:26
MV,Maldives,468,1,17,2020-04-30T23:32:27
MV,Maldives,491,1,17,2020-05-01T23:32:36
MV,Maldives,519,1,18,2020-05-02T23:32:31
MV,Maldives,527,1,18,2020-05-03T23:32:29
MV,Maldives,541,1,18,2020-05-04T22:32:33
MV,Maldives,573,2,20,2020-05-05T23:32:29
MV,Maldives,617,2,20,2020-05-06T23:32:28
MV,Maldives,648,3,20,2020-05-07T22:32:32
MV,Maldives,744,3,20,2020-05-08T23:32:35
MV,Maldives,790,3,29,2020-05-09T23:32:33
MV,Maldives,835,3,29,2020-05-10T23:32:32
MV,Maldives,897,3,29,2020-05-11T23:32:30
MV,Maldives,904,3,29,2020-05-12T23:32:26
MV,Maldives,955,4,40,2020-05-13T23:32:26
MV,Maldives,982,4,45,2020-05-14T23:32:28
MV,Maldives,1020,4,49,2020-05-15T23:32:20
MV,Maldives,1078,4,58,2020-05-16T23:32:19
MV,Maldives,1094,4,58,2020-05-17T23:32:23
MV,Maldives,1106,4,58,2020-05-18T23:32:29
MV,Maldives,1143,4,80,2020-05-19T14:32:25
