country,name,cases,deaths,recovered,last_update
MW,Malawi,3,0,0,2020-04-02T23:25:14
MW,Malawi,3,0,0,2020-04-03T23:56:18
MW,Malawi,4,0,0,2020-04-04T23:34:04
MW,Malawi,4,0,0,2020-04-05T23:06:26
MW,Malawi,5,0,0,2020-04-06T23:21:55
MW,Malawi,8,1,0,2020-04-07T23:04:29
MW,Malawi,8,1,0,2020-04-08T22:51:39
MW,Malawi,8,1,0,2020-04-09T23:02:19
MW,Malawi,9,1,0,2020-04-10T22:53:48
MW,Malawi,12,2,0,2020-04-11T23:56:45
MW,Malawi,12,2,0,2020-04-12T03:31:35
MW,Malawi,16,2,0,2020-04-13T23:07:34
MW,Malawi,16,2,0,2020-04-14T23:33:12
MW,Malawi,16,2,0,2020-04-15T22:56:32
MW,Malawi,16,2,0,2020-04-16T23:30:31
MW,Malawi,17,2,3,2020-04-17T23:30:32
MW,Malawi,17,2,3,2020-04-18T22:32:28
MW,Malawi,17,2,3,2020-04-19T23:40:41
MW,Malawi,17,2,3,2020-04-20T23:36:27
MW,Malawi,18,2,3,2020-04-21T23:30:30
MW,Malawi,23,3,3,2020-04-22T23:30:32
MW,Malawi,33,3,3,2020-04-23T23:30:31
MW,Malawi,33,3,3,2020-04-24T21:30:34
MW,Malawi,33,3,4,2020-04-25T23:30:33
MW,Malawi,34,3,4,2020-04-26T23:30:31
MW,Malawi,36,3,4,2020-04-27T23:30:31
MW,Malawi,36,3,5,2020-04-28T23:32:24
MW,Malawi,36,3,7,2020-04-29T23:32:26
MW,Malawi,37,3,7,2020-04-30T23:32:27
MW,Malawi,37,3,9,2020-05-01T23:32:36
MW,Malawi,38,3,9,2020-05-02T23:32:31
MW,Malawi,39,3,9,2020-05-03T23:32:29
MW,Malawi,41,3,9,2020-05-04T22:32:33
MW,Malawi,41,3,9,2020-05-05T23:32:29
MW,Malawi,43,3,9,2020-05-06T23:32:28
MW,Malawi,43,3,9,2020-05-07T22:32:32
MW,Malawi,43,3,14,2020-05-08T23:32:35
MW,Malawi,56,3,14,2020-05-09T23:32:33
MW,Malawi,56,3,14,2020-05-10T23:32:32
MW,Malawi,57,3,24,2020-05-11T23:32:30
MW,Malawi,57,3,24,2020-05-12T23:32:26
MW,Malawi,63,3,24,2020-05-13T23:32:26
MW,Malawi,63,3,24,2020-05-14T23:32:28
MW,Malawi,63,3,24,2020-05-15T23:32:20
MW,Malawi,65,3,24,2020-05-16T23:32:19
MW,Malawi,65,3,24,2020-05-17T23:32:23
MW,Malawi,70,3,27,2020-05-18T23:32:29
MW,Malawi,70,3,27,2020-05-19T23:32:20
MW,Malawi,71,3,27,2020-05-20T23:32:52
MW,Malawi,72,3,27,2020-05-21T23:32:39
MW,Malawi,72,3,27,2020-05-22T12:32:39
