country,name,cases,deaths,recovered,last_update
MY,Malaysia,0,0,0,2020-01-23T17:00:00
MY,Malaysia,3,0,0,2020-01-25T17:00:00
MY,Malaysia,4,0,0,2020-01-26T16:00:00
MY,Malaysia,4,0,0,2020-01-27T23:59:00
MY,Malaysia,4,0,0,2020-01-28T23:00:00
MY,Malaysia,7,0,0,2020-01-29T19:30:00
MY,Malaysia,8,0,0,2020-01-30T16:00:00
MY,Malaysia,8,0,0,2020-01-31T08:15:00
MY,Malaysia,8,0,0,2020-01-31T08:15:53
MY,Malaysia,8,0,0,2020-01-31T23:59:00
MY,Malaysia,10,0,0,2020-02-04T07:33:02
MY,Malaysia,12,0,0,2020-02-05T15:43:02
MY,Malaysia,12,0,1,2020-02-07T09:13:21
MY,Malaysia,16,0,1,2020-02-08T10:23:04
MY,Malaysia,18,0,1,2020-02-10T03:03:09
MY,Malaysia,18,0,3,2020-02-11T03:13:13
MY,Malaysia,19,0,3,2020-02-13T10:53:02
MY,Malaysia,22,0,7,2020-02-15T23:43:02
MY,Malaysia,22,0,13,2020-02-18T16:23:02
MY,Malaysia,22,0,15,2020-02-19T09:33:03
MY,Malaysia,22,0,18,2020-02-24T11:53:02
MY,Malaysia,23,0,18,2020-02-27T15:13:13
MY,Malaysia,25,0,18,2020-02-29T04:03:18
MY,Malaysia,29,0,18,2020-03-01T12:53:02
MY,Malaysia,36,0,22,2020-03-03T12:33:02
MY,Malaysia,50,0,22,2020-03-04T13:03:08
MY,Malaysia,83,0,22,2020-03-06T12:33:03
MY,Malaysia,93,0,23,2020-03-07T17:53:03
MY,Malaysia,99,0,24,2020-03-08T14:43:03
MY,Malaysia,117,0,24,2020-03-09T09:43:03
MY,Malaysia,129,0,24,2020-03-10T16:33:13
MY,Malaysia,149,0,26,2020-03-11T11:33:08
MY,Malaysia,197,0,26,2020-03-11T20:00:00
MY,Malaysia,238,0,35,2020-03-14T16:13:55
MY,Malaysia,428,0,42,2020-03-15T18:20:18
MY,Malaysia,566,0,42,2020-03-16T14:38:45
MY,Malaysia,673,2,49,2020-03-17T15:33:06
MY,Malaysia,790,2,60,2020-03-18T10:33:04
MY,Malaysia,900,2,75,2020-03-19T10:13:15
MY,Malaysia,1030,3,87,2020-03-20T18:13:09
MY,Malaysia,1183,4,114,2020-03-21T11:43:06
MY,Malaysia,1306,10,139,2020-03-22T23:45:00
MY,Malaysia,1518,14,159,2020-03-23T23:19:21
MY,Malaysia,1624,16,183,2020-03-24T23:37:15
MY,Malaysia,1796,20,199,2020-03-25T23:33:04
MY,Malaysia,2031,23,215,2020-03-26T23:48:18
MY,Malaysia,2161,26,259,2020-03-27T23:23:03
MY,Malaysia,2320,27,320,2020-03-28T23:05:25
MY,Malaysia,2470,35,388,2020-03-29T23:08:13
MY,Malaysia,2626,37,479,2020-03-30T22:52:33
MY,Malaysia,2766,43,537,2020-03-31T23:43:43
MY,Malaysia,2908,45,645,2020-04-01T21:58:34
MY,Malaysia,3116,50,767,2020-04-02T23:25:14
MY,Malaysia,3333,53,827,2020-04-03T23:56:18
MY,Malaysia,3483,57,915,2020-04-04T23:34:04
MY,Malaysia,3662,61,1005,2020-04-05T23:06:26
MY,Malaysia,3793,62,1241,2020-04-06T23:21:55
MY,Malaysia,3963,63,1321,2020-04-07T23:04:29
MY,Malaysia,4119,65,1487,2020-04-08T22:51:39
MY,Malaysia,4228,67,1608,2020-04-09T23:02:19
MY,Malaysia,4346,70,1830,2020-04-10T22:53:48
MY,Malaysia,4530,73,1995,2020-04-11T23:56:45
MY,Malaysia,4530,73,1995,2020-04-12T03:31:35
MY,Malaysia,4817,77,2276,2020-04-13T23:07:34
MY,Malaysia,4987,82,2478,2020-04-14T23:33:12
MY,Malaysia,5072,83,2647,2020-04-15T22:56:32
MY,Malaysia,5182,84,2766,2020-04-16T23:30:31
MY,Malaysia,5251,86,2967,2020-04-17T23:30:32
MY,Malaysia,5305,88,3102,2020-04-18T22:32:28
MY,Malaysia,5389,89,3197,2020-04-19T23:40:41
MY,Malaysia,5425,89,3295,2020-04-20T23:36:27
MY,Malaysia,5482,92,3349,2020-04-21T23:30:30
MY,Malaysia,5532,93,3452,2020-04-22T23:30:32
MY,Malaysia,5603,95,3542,2020-04-23T23:30:31
MY,Malaysia,5691,96,3663,2020-04-24T21:30:34
MY,Malaysia,5742,98,3762,2020-04-25T23:30:33
MY,Malaysia,5780,98,3862,2020-04-26T23:30:31
MY,Malaysia,5820,99,3957,2020-04-27T23:30:31
MY,Malaysia,5851,100,4032,2020-04-28T23:32:24
MY,Malaysia,5945,100,4087,2020-04-29T23:32:26
MY,Malaysia,6002,102,4171,2020-04-30T23:32:27
MY,Malaysia,6071,103,4210,2020-05-01T23:32:36
MY,Malaysia,6176,103,4326,2020-05-02T23:32:31
MY,Malaysia,6298,105,4413,2020-05-03T23:32:29
MY,Malaysia,6353,105,4484,2020-05-04T22:32:33
MY,Malaysia,6383,106,4567,2020-05-05T23:32:29
MY,Malaysia,6428,107,4702,2020-05-06T23:32:28
MY,Malaysia,6467,107,4776,2020-05-07T22:32:32
MY,Malaysia,6535,107,4864,2020-05-08T23:32:35
MY,Malaysia,6589,108,4929,2020-05-09T23:32:33
MY,Malaysia,6656,108,5025,2020-05-10T23:32:32
MY,Malaysia,6726,109,5113,2020-05-11T23:32:30
MY,Malaysia,6742,109,5223,2020-05-12T23:32:26
MY,Malaysia,6779,111,5281,2020-05-13T23:32:26
MY,Malaysia,6819,112,5351,2020-05-14T23:32:28
MY,Malaysia,6855,112,5439,2020-05-15T23:32:20
MY,Malaysia,6872,113,5512,2020-05-16T23:32:19
MY,Malaysia,6894,113,5571,2020-05-17T23:32:23
MY,Malaysia,6941,113,5615,2020-05-18T23:32:29
MY,Malaysia,6978,114,5646,2020-05-19T23:32:20
MY,Malaysia,7009,114,5706,2020-05-20T23:32:52
MY,Malaysia,7059,114,5796,2020-05-21T23:32:39
MY,Malaysia,7137,115,5859,2020-05-22T23:32:40
MY,Malaysia,7185,115,5912,2020-05-23T19:06:14
