country,name,cases,deaths,recovered,last_update
MZ,Mozambique,1,0,0,2020-03-22T23:45:00
MZ,Mozambique,1,0,0,2020-03-23T23:19:21
MZ,Mozambique,3,0,0,2020-03-24T23:37:15
MZ,Mozambique,5,0,0,2020-03-25T23:33:04
MZ,Mozambique,7,0,0,2020-03-26T23:48:18
MZ,Mozambique,7,0,0,2020-03-27T23:23:03
MZ,Mozambique,8,0,0,2020-03-28T23:05:25
MZ,Mozambique,8,0,0,2020-03-29T23:08:13
MZ,Mozambique,8,0,0,2020-03-30T22:52:33
MZ,Mozambique,8,0,0,2020-03-31T23:43:43
MZ,Mozambique,10,0,0,2020-04-01T21:58:34
MZ,Mozambique,10,0,0,2020-04-02T23:25:14
MZ,Mozambique,10,0,0,2020-04-03T23:56:18
MZ,Mozambique,10,0,1,2020-04-04T23:34:04
MZ,Mozambique,10,0,1,2020-04-05T23:06:26
MZ,Mozambique,10,0,1,2020-04-06T23:21:55
MZ,Mozambique,10,0,1,2020-04-07T23:04:29
MZ,Mozambique,17,0,1,2020-04-08T22:51:39
MZ,Mozambique,17,0,1,2020-04-09T23:02:19
MZ,Mozambique,20,0,2,2020-04-10T22:53:48
MZ,Mozambique,20,0,2,2020-04-11T23:56:45
MZ,Mozambique,20,0,2,2020-04-12T03:31:35
MZ,Mozambique,21,0,2,2020-04-13T23:07:34
MZ,Mozambique,28,0,2,2020-04-14T23:33:12
MZ,Mozambique,29,0,2,2020-04-15T22:56:32
MZ,Mozambique,31,0,2,2020-04-16T23:30:31
MZ,Mozambique,34,0,2,2020-04-17T23:30:32
MZ,Mozambique,35,0,4,2020-04-18T22:32:28
MZ,Mozambique,39,0,8,2020-04-19T23:40:41
MZ,Mozambique,39,0,8,2020-04-20T23:36:27
MZ,Mozambique,39,0,8,2020-04-21T23:30:30
MZ,Mozambique,41,0,8,2020-04-22T23:30:32
MZ,Mozambique,46,0,9,2020-04-23T23:30:31
MZ,Mozambique,65,0,12,2020-04-24T21:30:34
MZ,Mozambique,70,0,12,2020-04-25T23:30:33
MZ,Mozambique,76,0,12,2020-04-26T23:30:31
MZ,Mozambique,76,0,12,2020-04-27T23:30:31
MZ,Mozambique,76,0,12,2020-04-28T23:32:24
MZ,Mozambique,76,0,12,2020-04-29T23:32:26
MZ,Mozambique,76,0,12,2020-04-30T23:32:27
MZ,Mozambique,79,0,12,2020-05-01T23:32:36
MZ,Mozambique,79,0,18,2020-05-02T23:32:31
MZ,Mozambique,80,0,19,2020-05-03T23:32:29
MZ,Mozambique,80,0,19,2020-05-04T22:32:33
MZ,Mozambique,81,0,19,2020-05-05T23:32:29
MZ,Mozambique,81,0,19,2020-05-06T23:32:28
MZ,Mozambique,81,0,24,2020-05-07T22:32:32
MZ,Mozambique,82,0,27,2020-05-08T23:32:35
MZ,Mozambique,87,0,34,2020-05-09T23:32:33
MZ,Mozambique,91,0,34,2020-05-10T23:32:32
MZ,Mozambique,103,0,34,2020-05-11T23:32:30
MZ,Mozambique,104,0,34,2020-05-12T23:32:26
MZ,Mozambique,104,0,34,2020-05-13T23:32:26
MZ,Mozambique,115,0,35,2020-05-14T23:32:28
MZ,Mozambique,119,0,42,2020-05-15T23:32:20
MZ,Mozambique,129,0,43,2020-05-16T23:32:19
MZ,Mozambique,137,0,44,2020-05-17T23:32:23
MZ,Mozambique,145,0,44,2020-05-18T23:32:29
MZ,Mozambique,146,0,44,2020-05-19T23:32:20
MZ,Mozambique,156,0,48,2020-05-20T23:32:52
MZ,Mozambique,162,0,48,2020-05-21T23:32:39
MZ,Mozambique,162,0,48,2020-05-22T12:32:39
