country,name,cases,deaths,recovered,last_update
NG,Nigeria,1,0,0,2020-02-28T16:23:03
NG,Nigeria,2,0,0,2020-03-09T09:43:03
NG,Nigeria,2,0,0,2020-03-11T20:00:00
NG,Nigeria,2,0,0,2020-03-13T22:22:02
NG,Nigeria,3,0,0,2020-03-17T12:33:06
NG,Nigeria,8,0,1,2020-03-18T12:33:03
NG,Nigeria,12,0,1,2020-03-20T02:13:50
NG,Nigeria,22,0,1,2020-03-21T15:13:46
NG,Nigeria,30,0,2,2020-03-22T23:45:00
NG,Nigeria,40,1,2,2020-03-23T23:19:21
NG,Nigeria,44,1,2,2020-03-24T23:37:15
NG,Nigeria,51,1,2,2020-03-25T23:33:04
NG,Nigeria,65,1,2,2020-03-26T23:48:18
NG,Nigeria,70,1,3,2020-03-27T23:23:03
NG,Nigeria,89,1,3,2020-03-28T23:05:25
NG,Nigeria,111,1,3,2020-03-29T23:08:13
NG,Nigeria,131,2,8,2020-03-30T22:52:33
NG,Nigeria,135,2,8,2020-03-31T23:43:43
NG,Nigeria,174,2,9,2020-04-01T21:58:34
NG,Nigeria,184,2,20,2020-04-02T23:25:14
NG,Nigeria,210,4,25,2020-04-03T23:56:18
NG,Nigeria,214,4,25,2020-04-04T23:34:04
NG,Nigeria,232,5,33,2020-04-05T23:06:26
NG,Nigeria,238,5,35,2020-04-06T23:21:55
NG,Nigeria,254,6,44,2020-04-07T23:04:29
NG,Nigeria,276,6,44,2020-04-08T22:51:39
NG,Nigeria,288,7,51,2020-04-09T23:02:19
NG,Nigeria,305,7,58,2020-04-10T22:53:48
NG,Nigeria,318,10,70,2020-04-11T23:56:45
NG,Nigeria,318,10,70,2020-04-12T03:31:35
NG,Nigeria,343,10,91,2020-04-13T23:07:34
NG,Nigeria,373,11,99,2020-04-14T23:33:12
NG,Nigeria,407,12,128,2020-04-15T22:56:32
NG,Nigeria,442,13,152,2020-04-16T23:30:31
NG,Nigeria,493,17,159,2020-04-17T23:30:32
NG,Nigeria,542,19,166,2020-04-18T22:32:28
NG,Nigeria,627,21,170,2020-04-19T23:40:41
NG,Nigeria,665,22,188,2020-04-20T23:36:27
NG,Nigeria,665,22,188,2020-04-21T23:30:30
NG,Nigeria,873,28,197,2020-04-22T23:30:32
NG,Nigeria,981,31,197,2020-04-23T23:30:31
NG,Nigeria,981,31,197,2020-04-24T21:30:34
NG,Nigeria,1182,35,222,2020-04-25T23:30:33
NG,Nigeria,1182,35,222,2020-04-26T23:30:31
NG,Nigeria,1273,40,239,2020-04-27T23:30:31
NG,Nigeria,1337,40,255,2020-04-28T23:32:24
NG,Nigeria,1728,51,307,2020-04-29T23:32:26
NG,Nigeria,1932,58,319,2020-04-30T23:32:27
NG,Nigeria,2170,68,351,2020-05-01T23:32:36
NG,Nigeria,2388,85,351,2020-05-02T23:32:31
NG,Nigeria,2558,87,400,2020-05-03T23:32:29
NG,Nigeria,2558,87,400,2020-05-04T22:32:33
NG,Nigeria,2950,98,481,2020-05-05T23:32:29
NG,Nigeria,2950,98,481,2020-05-06T23:32:28
NG,Nigeria,3145,103,534,2020-05-07T22:32:32
NG,Nigeria,3912,117,679,2020-05-08T23:32:35
NG,Nigeria,4151,128,745,2020-05-09T23:32:33
NG,Nigeria,4399,143,778,2020-05-10T23:32:32
NG,Nigeria,4641,150,902,2020-05-11T23:32:30
NG,Nigeria,4787,158,959,2020-05-12T23:32:26
NG,Nigeria,4971,158,1070,2020-05-13T23:32:26
NG,Nigeria,5162,167,1180,2020-05-14T23:32:28
NG,Nigeria,5450,171,1320,2020-05-15T23:32:20
NG,Nigeria,5621,176,1472,2020-05-16T23:32:19
NG,Nigeria,5959,182,1594,2020-05-17T23:32:23
NG,Nigeria,5959,182,1594,2020-05-18T18:01:58
