country,name,cases,deaths,recovered,last_update
NI,Nicaragua,1,0,0,2020-03-19T08:33:08
NI,Nicaragua,2,0,0,2020-03-21T02:13:34
NI,Nicaragua,2,0,0,2020-03-22T23:45:00
NI,Nicaragua,2,0,0,2020-03-23T23:19:21
NI,Nicaragua,2,0,0,2020-03-24T23:37:15
NI,Nicaragua,2,0,0,2020-03-25T23:33:04
NI,Nicaragua,2,0,0,2020-03-26T23:48:18
NI,Nicaragua,2,1,0,2020-03-27T23:23:03
NI,Nicaragua,4,1,0,2020-03-28T23:05:25
NI,Nicaragua,4,1,0,2020-03-29T23:08:13
NI,Nicaragua,4,1,0,2020-03-30T22:52:33
NI,Nicaragua,5,1,0,2020-03-31T23:43:43
NI,Nicaragua,5,1,0,2020-04-01T21:58:34
NI,Nicaragua,5,1,0,2020-04-02T23:25:14
NI,Nicaragua,5,1,0,2020-04-03T23:56:18
NI,Nicaragua,5,1,0,2020-04-04T23:34:04
NI,Nicaragua,6,1,0,2020-04-05T23:06:26
NI,Nicaragua,6,1,0,2020-04-06T23:21:55
NI,Nicaragua,6,1,0,2020-04-07T23:04:29
NI,Nicaragua,6,1,0,2020-04-08T22:51:39
NI,Nicaragua,7,1,0,2020-04-09T23:02:19
NI,Nicaragua,7,1,0,2020-04-10T22:53:48
NI,Nicaragua,9,1,0,2020-04-11T23:56:45
NI,Nicaragua,9,1,0,2020-04-12T03:31:35
NI,Nicaragua,9,1,4,2020-04-13T23:07:34
NI,Nicaragua,9,1,4,2020-04-14T23:33:12
NI,Nicaragua,9,1,4,2020-04-15T22:56:32
NI,Nicaragua,9,1,4,2020-04-16T23:30:31
NI,Nicaragua,9,1,4,2020-04-17T23:30:32
NI,Nicaragua,9,2,6,2020-04-18T22:32:28
NI,Nicaragua,10,2,6,2020-04-19T23:40:41
NI,Nicaragua,10,2,6,2020-04-20T23:36:27
NI,Nicaragua,10,2,7,2020-04-21T23:30:30
NI,Nicaragua,10,2,7,2020-04-22T23:30:32
NI,Nicaragua,11,3,7,2020-04-23T23:30:31
NI,Nicaragua,11,3,7,2020-04-24T21:30:34
NI,Nicaragua,12,3,7,2020-04-25T23:30:33
NI,Nicaragua,13,3,7,2020-04-26T23:30:31
NI,Nicaragua,13,3,7,2020-04-27T23:30:31
NI,Nicaragua,13,3,7,2020-04-28T23:32:24
NI,Nicaragua,13,3,7,2020-04-29T23:32:26
NI,Nicaragua,14,3,7,2020-04-30T23:32:27
NI,Nicaragua,14,3,7,2020-05-01T23:32:36
NI,Nicaragua,14,3,7,2020-05-02T23:32:31
NI,Nicaragua,14,3,7,2020-05-03T23:32:29
NI,Nicaragua,15,5,7,2020-05-04T22:32:33
NI,Nicaragua,16,5,7,2020-05-05T23:32:29
NI,Nicaragua,16,5,7,2020-05-06T23:32:28
NI,Nicaragua,16,5,7,2020-05-07T22:32:32
NI,Nicaragua,16,5,7,2020-05-08T23:32:35
NI,Nicaragua,16,5,7,2020-05-09T23:32:33
NI,Nicaragua,16,5,7,2020-05-10T23:32:32
NI,Nicaragua,16,5,7,2020-05-11T23:32:30
NI,Nicaragua,25,8,7,2020-05-12T23:32:26
NI,Nicaragua,25,8,7,2020-05-13T23:32:26
NI,Nicaragua,25,8,7,2020-05-14T23:32:28
NI,Nicaragua,25,8,7,2020-05-15T23:32:20
NI,Nicaragua,25,8,7,2020-05-16T23:32:19
NI,Nicaragua,25,8,7,2020-05-17T23:32:23
NI,Nicaragua,25,8,7,2020-05-18T23:32:29
NI,Nicaragua,254,17,199,2020-05-19T23:32:20
NI,Nicaragua,254,17,199,2020-05-20T23:32:52
NI,Nicaragua,279,17,199,2020-05-21T23:32:39
NI,Nicaragua,279,17,199,2020-05-22T23:32:40
NI,Nicaragua,279,17,199,2020-05-23T19:06:14
