country,name,cases,deaths,recovered,last_update
NL,Netherlands,1,0,0,2020-02-27T21:13:10
NL,Netherlands,1,0,0,2020-02-28T01:23:03
NL,Netherlands,6,0,0,2020-02-29T18:03:05
NL,Netherlands,10,0,0,2020-03-01T15:33:03
NL,Netherlands,18,0,0,2020-03-02T20:53:02
NL,Netherlands,24,0,0,2020-03-03T15:13:26
NL,Netherlands,38,0,0,2020-03-04T12:33:03
NL,Netherlands,82,0,0,2020-03-05T14:23:03
NL,Netherlands,128,1,0,2020-03-06T13:23:06
NL,Netherlands,188,1,0,2020-03-07T17:43:05
NL,Netherlands,265,3,0,2020-03-08T13:43:02
NL,Netherlands,321,3,0,2020-03-09T18:13:11
NL,Netherlands,382,4,0,2020-03-10T13:53:06
NL,Netherlands,503,5,0,2020-03-11T14:13:11
NL,Netherlands,804,10,0,2020-03-11T20:00:00
NL,Netherlands,959,12,2,2020-03-14T22:13:11
NL,Netherlands,1135,20,2,2020-03-15T18:20:18
NL,Netherlands,1414,24,2,2020-03-16T14:38:46
NL,Netherlands,1708,43,2,2020-03-17T15:13:11
NL,Netherlands,2056,58,2,2020-03-18T13:13:15
NL,Netherlands,2465,77,2,2020-03-19T14:53:06
NL,Netherlands,3003,107,2,2020-03-20T21:13:30
NL,Netherlands,3640,137,2,2020-03-21T14:43:04
NL,Netherlands,4217,180,3,2020-03-22T23:45:00
NL,Netherlands,4764,214,3,2020-03-23T23:19:21
NL,Netherlands,5580,277,3,2020-03-24T23:37:15
NL,Netherlands,6438,357,4,2020-03-25T23:33:04
NL,Netherlands,7468,435,6,2020-03-26T23:48:18
NL,Netherlands,8647,547,6,2020-03-27T23:23:03
NL,Netherlands,9819,640,6,2020-03-28T23:05:25
NL,Netherlands,10930,772,253,2020-03-29T23:08:13
NL,Netherlands,11817,865,253,2020-03-30T22:52:33
NL,Netherlands,12667,1040,253,2020-03-31T23:43:43
NL,Netherlands,13696,1175,260,2020-04-01T21:58:34
NL,Netherlands,14788,1341,260,2020-04-02T23:25:14
NL,Netherlands,15821,1492,260,2020-04-03T23:56:18
NL,Netherlands,16727,1656,262,2020-04-04T23:34:04
NL,Netherlands,17953,1771,257,2020-04-05T23:06:26
NL,Netherlands,18926,1874,258,2020-04-06T23:21:55
NL,Netherlands,19709,2108,272,2020-04-07T23:04:29
NL,Netherlands,20682,2255,272,2020-04-08T22:51:39
NL,Netherlands,21903,2403,278,2020-04-09T23:02:19
NL,Netherlands,23249,2520,287,2020-04-10T22:53:48
NL,Netherlands,24571,2653,291,2020-04-11T23:56:45
NL,Netherlands,24571,2653,291,2020-04-12T03:31:35
NL,Netherlands,26710,2833,295,2020-04-13T23:07:34
NL,Netherlands,27580,2955,297,2020-04-14T23:33:12
NL,Netherlands,28316,3145,304,2020-04-15T22:56:32
NL,Netherlands,29383,3327,311,2020-04-16T23:30:31
NL,Netherlands,30619,3471,315,2020-04-17T23:30:32
NL,Netherlands,31766,3613,317,2020-04-18T22:32:28
NL,Netherlands,32838,3697,322,2020-04-19T23:40:41
NL,Netherlands,33588,3764,322,2020-04-20T23:36:27
NL,Netherlands,34317,3929,74,2020-04-21T23:30:30
NL,Netherlands,35032,4068,101,2020-04-22T23:30:32
NL,Netherlands,35921,4192,101,2020-04-23T23:30:31
NL,Netherlands,36727,4304,101,2020-04-24T21:30:34
NL,Netherlands,37384,4424,102,2020-04-25T23:30:33
NL,Netherlands,38040,4491,117,2020-04-26T23:30:31
NL,Netherlands,38440,4534,117,2020-04-27T23:30:31
NL,Netherlands,38612,4582,117,2020-04-28T23:32:24
NL,Netherlands,38998,4727,119,2020-04-29T23:32:26
NL,Netherlands,39512,4811,125,2020-04-30T23:32:27
NL,Netherlands,39988,4909,138,2020-05-01T23:32:36
NL,Netherlands,40434,5003,138,2020-05-02T23:32:31
NL,Netherlands,40769,5072,138,2020-05-03T23:32:29
NL,Netherlands,40968,5098,138,2020-05-04T22:32:33
NL,Netherlands,41286,5185,139,2020-05-05T23:32:29
NL,Netherlands,41518,5221,146,2020-05-06T23:32:28
NL,Netherlands,41973,5306,147,2020-05-07T22:32:32
NL,Netherlands,42292,5377,147,2020-05-08T23:32:35
NL,Netherlands,42581,5440,147,2020-05-09T23:32:33
NL,Netherlands,42826,5459,149,2020-05-10T23:32:32
NL,Netherlands,42987,5475,149,2020-05-11T23:32:30
NL,Netherlands,43183,5529,149,2020-05-12T23:32:26
NL,Netherlands,43410,5581,155,2020-05-13T23:32:26
NL,Netherlands,43680,5609,159,2020-05-14T23:32:28
NL,Netherlands,43880,5662,159,2020-05-15T23:32:20
NL,Netherlands,44069,5689,159,2020-05-16T23:32:19
NL,Netherlands,44195,5699,167,2020-05-17T23:32:23
NL,Netherlands,44341,5713,167,2020-05-18T23:32:29
NL,Netherlands,44449,5734,167,2020-05-19T23:32:20
NL,Netherlands,44647,5767,169,2020-05-20T23:32:52
NL,Netherlands,44900,5794,169,2020-05-21T23:32:39
NL,Netherlands,45088,5807,174,2020-05-22T23:32:40
NL,Netherlands,45265,5830,174,2020-05-23T19:06:14
