country,name,cases,deaths,recovered,last_update
NO,Norway,1,0,0,2020-02-26T20:23:12
NO,Norway,1,0,0,2020-02-27T16:23:03
NO,Norway,6,0,0,2020-02-28T21:03:02
NO,Norway,15,0,0,2020-02-29T23:13:06
NO,Norway,19,0,0,2020-03-01T20:43:02
NO,Norway,25,0,0,2020-03-02T20:53:02
NO,Norway,32,0,0,2020-03-03T14:33:03
NO,Norway,56,0,0,2020-03-04T19:33:03
NO,Norway,87,0,0,2020-03-05T17:43:03
NO,Norway,108,0,0,2020-03-06T16:33:04
NO,Norway,147,0,0,2020-03-07T17:53:03
NO,Norway,176,0,0,2020-03-08T21:03:03
NO,Norway,205,0,1,2020-03-09T18:33:03
NO,Norway,400,0,1,2020-03-10T23:53:02
NO,Norway,598,0,1,2020-03-11T19:33:02
NO,Norway,996,0,1,2020-03-11T20:00:00
NO,Norway,702,0,1,2020-03-12T13:13:31
NO,Norway,1090,3,1,2020-03-14T22:13:11
NO,Norway,1221,3,1,2020-03-15T18:20:18
NO,Norway,1333,3,1,2020-03-16T21:13:12
NO,Norway,1463,3,1,2020-03-17T19:53:02
NO,Norway,1550,6,1,2020-03-18T15:53:09
NO,Norway,1746,7,1,2020-03-19T17:13:14
NO,Norway,1914,7,1,2020-03-20T18:13:09
NO,Norway,2118,7,1,2020-03-21T17:13:07
NO,Norway,2263,7,6,2020-03-22T23:45:00
NO,Norway,2621,10,6,2020-03-23T23:19:21
NO,Norway,2863,12,6,2020-03-24T23:37:15
NO,Norway,3084,14,6,2020-03-25T23:33:04
NO,Norway,3369,14,6,2020-03-26T23:48:18
NO,Norway,3755,19,6,2020-03-27T23:23:03
NO,Norway,4015,23,7,2020-03-28T23:05:25
NO,Norway,4284,25,7,2020-03-29T23:08:13
NO,Norway,4445,32,12,2020-03-30T22:52:33
NO,Norway,4641,39,13,2020-03-31T23:43:43
NO,Norway,4863,44,13,2020-04-01T21:58:34
NO,Norway,5147,50,32,2020-04-02T23:25:14
NO,Norway,5370,59,32,2020-04-03T23:56:18
NO,Norway,5550,62,32,2020-04-04T23:34:04
NO,Norway,5687,71,32,2020-04-05T23:06:26
NO,Norway,5865,76,32,2020-04-06T23:21:55
NO,Norway,6086,89,32,2020-04-07T23:04:29
NO,Norway,6086,101,32,2020-04-08T22:51:39
NO,Norway,6211,108,32,2020-04-09T23:02:19
NO,Norway,6314,113,32,2020-04-10T22:53:48
NO,Norway,6409,119,32,2020-04-11T23:56:45
NO,Norway,6409,119,32,2020-04-12T03:31:35
NO,Norway,6603,134,32,2020-04-13T23:07:34
NO,Norway,6623,139,32,2020-04-14T23:33:12
NO,Norway,6740,150,32,2020-04-15T22:56:32
NO,Norway,6896,152,32,2020-04-16T23:30:31
NO,Norway,6937,161,32,2020-04-17T23:30:32
NO,Norway,7036,164,32,2020-04-18T22:32:28
NO,Norway,7078,165,32,2020-04-19T23:40:41
NO,Norway,7156,181,32,2020-04-20T23:36:27
NO,Norway,7191,182,32,2020-04-21T23:30:30
NO,Norway,7338,187,32,2020-04-22T23:30:32
NO,Norway,7361,193,32,2020-04-23T23:30:31
NO,Norway,7444,199,32,2020-04-24T21:30:34
NO,Norway,7493,201,32,2020-04-25T23:30:33
NO,Norway,7511,201,32,2020-04-26T23:30:31
NO,Norway,7554,205,32,2020-04-27T23:30:31
NO,Norway,7619,206,32,2020-04-28T23:32:24
NO,Norway,7710,207,32,2020-04-29T23:32:26
NO,Norway,7738,210,32,2020-04-30T23:32:27
NO,Norway,7783,210,32,2020-05-01T23:32:36
NO,Norway,7809,211,32,2020-05-02T23:32:31
NO,Norway,7847,211,32,2020-05-03T23:32:29
NO,Norway,7884,214,32,2020-05-04T22:32:33
NO,Norway,7955,215,32,2020-05-05T23:32:29
NO,Norway,7976,216,32,2020-05-06T23:32:28
NO,Norway,8015,217,32,2020-05-07T22:32:32
NO,Norway,8070,218,32,2020-05-08T23:32:35
NO,Norway,8099,219,32,2020-05-09T23:32:33
NO,Norway,8105,219,32,2020-05-10T23:32:32
NO,Norway,8132,224,32,2020-05-11T23:32:30
NO,Norway,8157,228,32,2020-05-12T23:32:26
NO,Norway,8175,229,32,2020-05-13T23:32:26
NO,Norway,8196,232,32,2020-05-14T23:32:28
NO,Norway,8219,232,32,2020-05-15T23:32:20
NO,Norway,8237,232,32,2020-05-16T23:32:19
NO,Norway,8249,232,32,2020-05-17T23:32:23
NO,Norway,8257,233,32,2020-05-18T18:01:58
