country,name,cases,deaths,recovered,last_update
NZ,New Zealand,1,0,0,2020-02-28T16:23:03
NZ,New Zealand,3,0,0,2020-03-04T20:13:11
NZ,New Zealand,4,0,0,2020-03-06T01:29:39
NZ,New Zealand,5,0,0,2020-03-07T02:03:29
NZ,New Zealand,5,0,0,2020-03-11T20:00:00
NZ,New Zealand,6,0,0,2020-03-14T20:53:02
NZ,New Zealand,8,0,0,2020-03-15T18:20:18
NZ,New Zealand,12,0,0,2020-03-17T11:53:10
NZ,New Zealand,20,0,0,2020-03-18T02:53:03
NZ,New Zealand,28,0,0,2020-03-19T02:33:08
NZ,New Zealand,39,0,0,2020-03-20T02:13:50
NZ,New Zealand,52,0,0,2020-03-21T02:13:32
NZ,New Zealand,102,0,0,2020-03-22T23:45:00
NZ,New Zealand,102,0,0,2020-03-23T23:19:21
NZ,New Zealand,155,0,12,2020-03-24T23:37:15
NZ,New Zealand,205,0,22,2020-03-25T23:33:04
NZ,New Zealand,283,0,27,2020-03-26T23:48:18
NZ,New Zealand,368,0,37,2020-03-27T23:23:03
NZ,New Zealand,451,0,50,2020-03-28T23:05:25
NZ,New Zealand,514,1,56,2020-03-29T23:08:13
NZ,New Zealand,589,1,63,2020-03-30T22:52:33
NZ,New Zealand,647,1,74,2020-03-31T23:43:43
NZ,New Zealand,708,1,83,2020-04-01T21:58:34
NZ,New Zealand,797,1,92,2020-04-02T23:25:14
NZ,New Zealand,868,1,103,2020-04-03T23:56:18
NZ,New Zealand,950,1,127,2020-04-04T23:34:04
NZ,New Zealand,1039,1,156,2020-04-05T23:06:26
NZ,New Zealand,1106,1,176,2020-04-06T23:21:55
NZ,New Zealand,1160,1,241,2020-04-07T23:04:29
NZ,New Zealand,1210,1,282,2020-04-08T22:51:39
NZ,New Zealand,1239,1,317,2020-04-09T23:02:19
NZ,New Zealand,1283,2,373,2020-04-10T22:53:48
NZ,New Zealand,1312,4,422,2020-04-11T23:56:45
NZ,New Zealand,1330,4,471,2020-04-12T03:31:35
NZ,New Zealand,1349,5,546,2020-04-13T23:07:34
NZ,New Zealand,1366,9,628,2020-04-14T23:33:12
NZ,New Zealand,1386,9,728,2020-04-15T22:56:32
NZ,New Zealand,1401,9,770,2020-04-16T23:30:31
NZ,New Zealand,1409,11,816,2020-04-17T23:30:32
NZ,New Zealand,1422,11,867,2020-04-18T22:32:28
NZ,New Zealand,1431,12,912,2020-04-19T23:40:41
NZ,New Zealand,1440,12,974,2020-04-20T23:36:27
NZ,New Zealand,1445,13,1006,2020-04-21T23:30:30
NZ,New Zealand,1451,14,1036,2020-04-22T23:30:32
NZ,New Zealand,1451,16,1065,2020-04-23T23:30:31
NZ,New Zealand,1456,17,1095,2020-04-24T21:30:34
NZ,New Zealand,1461,18,1118,2020-04-25T23:30:33
NZ,New Zealand,1470,18,1142,2020-04-26T23:30:31
NZ,New Zealand,1469,19,1180,2020-04-27T23:30:31
NZ,New Zealand,1472,19,1214,2020-04-28T23:32:24
NZ,New Zealand,1474,19,1229,2020-04-29T23:32:26
NZ,New Zealand,1476,19,1241,2020-04-30T23:32:27
NZ,New Zealand,1479,19,1252,2020-05-01T23:32:36
NZ,New Zealand,1485,20,1263,2020-05-02T23:32:31
NZ,New Zealand,1487,20,1266,2020-05-03T23:32:29
NZ,New Zealand,1487,20,1276,2020-05-04T22:32:33
NZ,New Zealand,1486,20,1302,2020-05-05T23:32:29
NZ,New Zealand,1488,21,1316,2020-05-06T23:32:28
NZ,New Zealand,1489,21,1332,2020-05-07T22:32:32
NZ,New Zealand,1490,21,1347,2020-05-08T23:32:35
NZ,New Zealand,1492,21,1368,2020-05-09T23:32:33
NZ,New Zealand,1494,21,1371,2020-05-10T23:32:32
NZ,New Zealand,1497,21,1386,2020-05-11T23:32:30
NZ,New Zealand,1497,21,1398,2020-05-12T23:32:26
NZ,New Zealand,1497,21,1402,2020-05-13T23:32:26
NZ,New Zealand,1497,21,1411,2020-05-14T23:32:28
NZ,New Zealand,1498,21,1421,2020-05-15T23:32:20
NZ,New Zealand,1498,21,1428,2020-05-16T23:32:19
NZ,New Zealand,1499,21,1433,2020-05-17T23:32:23
NZ,New Zealand,1499,21,1433,2020-05-18T23:32:29
NZ,New Zealand,1503,21,1442,2020-05-19T23:32:20
NZ,New Zealand,1503,21,1447,2020-05-20T23:32:52
NZ,New Zealand,1503,21,1452,2020-05-21T23:32:39
NZ,New Zealand,1504,21,1455,2020-05-22T23:32:40
NZ,New Zealand,1504,21,1455,2020-05-23T19:06:14
