country,name,cases,deaths,recovered,last_update
OM,Oman,2,0,0,2020-02-24T23:43:01
OM,Oman,2,0,0,2020-02-25T01:13:09
OM,Oman,4,0,0,2020-02-26T04:53:02
OM,Oman,6,0,1,2020-02-29T12:33:03
OM,Oman,12,0,2,2020-03-03T15:23:03
OM,Oman,15,0,2,2020-03-04T19:33:03
OM,Oman,16,0,2,2020-03-05T17:53:02
OM,Oman,18,0,9,2020-03-10T08:33:02
OM,Oman,19,0,9,2020-03-11T20:00:00
OM,Oman,19,0,9,2020-03-13T23:33:05
OM,Oman,22,0,9,2020-03-15T18:20:18
OM,Oman,22,0,9,2020-03-16T00:22:11
OM,Oman,24,0,9,2020-03-17T11:53:10
OM,Oman,39,0,12,2020-03-18T19:33:02
OM,Oman,48,0,12,2020-03-19T20:13:34
OM,Oman,52,0,12,2020-03-21T12:43:08
OM,Oman,55,0,17,2020-03-22T23:45:00
OM,Oman,66,0,17,2020-03-23T23:19:21
OM,Oman,84,0,17,2020-03-24T23:37:15
OM,Oman,99,0,17,2020-03-25T23:33:04
OM,Oman,109,0,23,2020-03-26T23:48:18
OM,Oman,131,0,23,2020-03-27T23:23:03
OM,Oman,152,0,23,2020-03-28T23:05:25
OM,Oman,167,0,23,2020-03-29T23:08:13
OM,Oman,179,0,29,2020-03-30T22:52:33
OM,Oman,192,1,34,2020-03-31T23:43:43
OM,Oman,210,1,34,2020-04-01T21:58:34
OM,Oman,231,1,57,2020-04-02T23:25:14
OM,Oman,252,1,57,2020-04-03T23:56:18
OM,Oman,277,2,61,2020-04-04T23:34:04
OM,Oman,298,2,61,2020-04-05T23:06:26
OM,Oman,331,2,61,2020-04-06T23:21:55
OM,Oman,371,2,67,2020-04-07T23:04:29
OM,Oman,419,2,72,2020-04-08T22:51:39
OM,Oman,457,3,109,2020-04-09T23:02:19
OM,Oman,484,3,109,2020-04-10T22:53:48
OM,Oman,546,3,109,2020-04-11T23:56:45
OM,Oman,546,3,109,2020-04-12T03:31:35
OM,Oman,727,4,124,2020-04-13T23:07:34
OM,Oman,813,4,130,2020-04-14T23:33:12
OM,Oman,910,4,131,2020-04-15T22:56:32
OM,Oman,1019,4,176,2020-04-16T23:30:31
OM,Oman,1069,6,176,2020-04-17T23:30:32
OM,Oman,1180,6,176,2020-04-18T22:32:28
OM,Oman,1266,7,233,2020-04-19T23:40:41
OM,Oman,1410,7,238,2020-04-20T23:36:27
OM,Oman,1508,8,238,2020-04-21T23:30:30
OM,Oman,1614,8,238,2020-04-22T23:30:32
OM,Oman,1716,9,307,2020-04-23T23:30:31
OM,Oman,1790,10,325,2020-04-24T21:30:34
OM,Oman,1905,10,329,2020-04-25T23:30:33
OM,Oman,1998,10,333,2020-04-26T23:30:31
OM,Oman,2049,10,364,2020-04-27T23:30:31
OM,Oman,2131,10,364,2020-04-28T23:32:24
OM,Oman,2274,10,364,2020-04-29T23:32:26
OM,Oman,2348,11,495,2020-04-30T23:32:27
OM,Oman,2447,11,495,2020-05-01T23:32:36
OM,Oman,2483,12,750,2020-05-02T23:32:31
OM,Oman,2568,12,750,2020-05-03T23:32:29
OM,Oman,2637,12,816,2020-05-04T22:32:33
OM,Oman,2735,13,858,2020-05-05T23:32:29
OM,Oman,2903,13,888,2020-05-06T23:32:28
OM,Oman,2958,14,980,2020-05-07T22:32:32
OM,Oman,3112,16,1025,2020-05-08T23:32:35
OM,Oman,3224,17,1068,2020-05-09T23:32:33
OM,Oman,3399,17,1117,2020-05-10T23:32:32
OM,Oman,3573,17,1250,2020-05-11T23:32:30
OM,Oman,3721,17,1250,2020-05-12T23:32:26
OM,Oman,4019,17,1289,2020-05-13T23:32:26
OM,Oman,4341,18,1303,2020-05-14T23:32:28
OM,Oman,4625,20,1350,2020-05-15T23:32:20
OM,Oman,5029,21,1436,2020-05-16T23:32:19
OM,Oman,5186,22,1465,2020-05-17T23:32:23
OM,Oman,5379,25,1496,2020-05-18T23:32:29
OM,Oman,5671,27,1574,2020-05-19T23:32:20
OM,Oman,6043,30,1661,2020-05-20T23:32:52
OM,Oman,6370,31,1821,2020-05-21T23:32:39
OM,Oman,6794,34,1821,2020-05-22T23:32:40
OM,Oman,7257,36,1848,2020-05-23T19:06:14
