country,name,cases,deaths,recovered,last_update
PA,Panama,1,0,0,2020-03-10T06:13:43
PA,Panama,8,1,0,2020-03-11T09:33:12
PA,Panama,27,1,0,2020-03-11T20:00:00
PA,Panama,11,1,0,2020-03-12T08:53:02
PA,Panama,36,1,0,2020-03-14T12:33:03
PA,Panama,43,1,0,2020-03-15T18:20:18
PA,Panama,55,1,0,2020-03-16T14:38:45
PA,Panama,69,1,0,2020-03-17T10:53:03
PA,Panama,86,1,0,2020-03-18T10:53:02
PA,Panama,109,1,0,2020-03-19T02:33:08
PA,Panama,137,1,0,2020-03-20T02:13:50
PA,Panama,200,1,0,2020-03-21T02:13:32
PA,Panama,313,3,1,2020-03-22T23:45:00
PA,Panama,313,3,1,2020-03-23T23:19:21
PA,Panama,345,6,1,2020-03-24T23:37:15
PA,Panama,443,8,1,2020-03-25T23:33:04
PA,Panama,558,8,2,2020-03-26T23:48:18
PA,Panama,674,9,2,2020-03-27T23:23:03
PA,Panama,786,14,2,2020-03-28T23:05:25
PA,Panama,901,17,4,2020-03-29T23:08:13
PA,Panama,989,24,4,2020-03-30T22:52:33
PA,Panama,1181,30,9,2020-03-31T23:43:43
PA,Panama,1181,30,9,2020-04-01T21:58:34
PA,Panama,1317,32,9,2020-04-02T23:25:14
PA,Panama,1673,41,10,2020-04-03T23:56:18
PA,Panama,1673,41,13,2020-04-04T23:34:04
PA,Panama,1801,46,13,2020-04-05T23:06:26
PA,Panama,1988,54,13,2020-04-06T23:21:55
PA,Panama,2100,55,14,2020-04-07T23:04:29
PA,Panama,2249,59,16,2020-04-08T22:51:39
PA,Panama,2528,63,16,2020-04-09T23:02:19
PA,Panama,2752,66,16,2020-04-10T22:53:48
PA,Panama,3234,79,23,2020-04-11T23:56:45
PA,Panama,3234,79,23,2020-04-12T03:31:35
PA,Panama,3400,87,29,2020-04-13T23:07:34
PA,Panama,3472,94,61,2020-04-14T23:33:12
PA,Panama,3574,95,72,2020-04-15T22:56:32
PA,Panama,3751,103,75,2020-04-16T23:30:31
PA,Panama,4016,109,98,2020-04-17T23:30:32
PA,Panama,4210,116,122,2020-04-18T22:32:28
PA,Panama,4273,120,140,2020-04-19T23:40:41
PA,Panama,4467,126,165,2020-04-20T23:36:27
PA,Panama,4658,136,204,2020-04-21T23:30:30
PA,Panama,4821,141,231,2020-04-22T23:30:32
PA,Panama,4992,144,255,2020-04-23T23:30:31
PA,Panama,5166,146,271,2020-04-24T21:30:34
PA,Panama,5338,154,319,2020-04-25T23:30:33
PA,Panama,5538,159,338,2020-04-26T23:30:31
PA,Panama,5779,165,369,2020-04-27T23:30:31
PA,Panama,6021,167,455,2020-04-28T23:32:24
PA,Panama,6200,176,484,2020-04-29T23:32:26
PA,Panama,6378,178,527,2020-04-30T23:32:27
PA,Panama,6532,188,576,2020-05-01T23:32:36
PA,Panama,6720,192,622,2020-05-02T23:32:31
PA,Panama,7090,197,641,2020-05-03T23:32:29
PA,Panama,7197,200,641,2020-05-04T22:32:33
PA,Panama,7387,203,726,2020-05-05T23:32:29
PA,Panama,7523,210,823,2020-05-06T23:32:28
PA,Panama,7731,218,859,2020-05-07T22:32:32
PA,Panama,7868,225,886,2020-05-08T23:32:35
PA,Panama,8070,231,886,2020-05-09T23:32:33
PA,Panama,8282,237,4501,2020-05-10T23:32:32
PA,Panama,8448,244,4687,2020-05-11T23:32:30
PA,Panama,8616,249,4687,2020-05-12T23:32:26
PA,Panama,8783,252,6021,2020-05-13T23:32:26
PA,Panama,8944,256,6067,2020-05-14T23:32:28
PA,Panama,9118,260,6080,2020-05-15T23:32:20
PA,Panama,9268,266,6080,2020-05-16T23:32:19
PA,Panama,9449,269,6080,2020-05-17T23:32:23
PA,Panama,9606,275,6081,2020-05-18T18:01:58
