country,name,cases,deaths,recovered,last_update
PE,Peru,1,0,0,2020-03-06T15:43:02
PE,Peru,6,0,0,2020-03-08T05:23:03
PE,Peru,7,0,0,2020-03-09T10:13:23
PE,Peru,11,0,0,2020-03-10T16:33:13
PE,Peru,28,0,0,2020-03-11T20:00:00
PE,Peru,15,0,0,2020-03-12T08:53:02
PE,Peru,38,0,0,2020-03-14T12:33:03
PE,Peru,43,0,0,2020-03-15T18:20:18
PE,Peru,86,0,0,2020-03-16T14:38:45
PE,Peru,117,0,1,2020-03-17T15:53:12
PE,Peru,145,0,1,2020-03-18T16:59:34
PE,Peru,234,0,1,2020-03-19T18:13:29
PE,Peru,234,3,1,2020-03-20T14:13:08
PE,Peru,318,5,1,2020-03-21T20:43:02
PE,Peru,363,5,1,2020-03-22T23:45:00
PE,Peru,395,5,1,2020-03-23T23:19:21
PE,Peru,416,7,1,2020-03-24T23:37:15
PE,Peru,480,9,1,2020-03-25T23:33:04
PE,Peru,580,9,14,2020-03-26T23:48:18
PE,Peru,635,11,16,2020-03-27T23:23:03
PE,Peru,671,16,16,2020-03-28T23:05:25
PE,Peru,852,18,16,2020-03-29T23:08:13
PE,Peru,950,24,53,2020-03-30T22:52:33
PE,Peru,1065,30,394,2020-03-31T23:43:43
PE,Peru,1323,38,394,2020-04-01T21:58:34
PE,Peru,1414,55,537,2020-04-02T23:25:14
PE,Peru,1595,61,537,2020-04-03T23:56:18
PE,Peru,1746,73,914,2020-04-04T23:34:04
PE,Peru,2281,83,989,2020-04-05T23:06:26
PE,Peru,2561,92,997,2020-04-06T23:21:55
PE,Peru,2954,107,1301,2020-04-07T23:04:29
PE,Peru,4342,121,1333,2020-04-08T22:51:39
PE,Peru,5256,138,1438,2020-04-09T23:02:19
PE,Peru,5897,169,1569,2020-04-10T22:53:48
PE,Peru,6848,181,1739,2020-04-11T23:56:45
PE,Peru,6848,181,1739,2020-04-12T03:31:35
PE,Peru,9784,216,2642,2020-04-13T23:07:34
PE,Peru,10303,230,2869,2020-04-14T23:33:12
PE,Peru,11475,254,3108,2020-04-15T22:56:32
PE,Peru,12491,274,6120,2020-04-16T23:30:31
PE,Peru,13489,300,6541,2020-04-17T23:30:32
PE,Peru,14420,348,6684,2020-04-18T22:32:28
PE,Peru,15628,400,6811,2020-04-19T23:40:41
PE,Peru,16325,445,6968,2020-04-20T23:36:27
PE,Peru,17837,484,6982,2020-04-21T23:30:30
PE,Peru,19250,530,7027,2020-04-22T23:30:32
PE,Peru,20914,572,7422,2020-04-23T23:30:31
PE,Peru,21648,634,7496,2020-04-24T21:30:34
PE,Peru,25331,700,7797,2020-04-25T23:30:33
PE,Peru,27517,728,8088,2020-04-26T23:30:31
PE,Peru,28699,782,8425,2020-04-27T23:30:31
PE,Peru,31190,854,9179,2020-04-28T23:32:24
PE,Peru,33931,943,10037,2020-04-29T23:32:26
PE,Peru,36976,1051,10405,2020-04-30T23:32:27
PE,Peru,40459,1124,11129,2020-05-01T23:32:36
PE,Peru,42534,1200,12434,2020-05-02T23:32:31
PE,Peru,45928,1286,13550,2020-05-03T23:32:29
PE,Peru,47372,1344,14427,2020-05-04T22:32:33
PE,Peru,51189,1444,15413,2020-05-05T23:32:29
PE,Peru,54817,1533,17527,2020-05-06T23:32:28
PE,Peru,58526,1627,18388,2020-05-07T22:32:32
PE,Peru,61847,1714,19012,2020-05-08T23:32:35
PE,Peru,65015,1814,20246,2020-05-09T23:32:33
PE,Peru,67307,1889,21349,2020-05-10T23:32:32
PE,Peru,68822,1961,22406,2020-05-11T23:32:30
PE,Peru,72059,2057,23324,2020-05-12T23:32:26
PE,Peru,76306,2169,24324,2020-05-13T23:32:26
PE,Peru,80604,2267,25151,2020-05-14T23:32:28
PE,Peru,84495,2392,27147,2020-05-15T23:32:20
PE,Peru,88541,2523,28272,2020-05-16T23:32:19
PE,Peru,92273,2648,28621,2020-05-17T23:32:23
PE,Peru,94933,2789,30306,2020-05-18T23:32:29
PE,Peru,99483,2914,36524,2020-05-19T23:32:20
PE,Peru,104020,3024,41968,2020-05-20T23:32:52
PE,Peru,108769,3148,43587,2020-05-21T23:32:39
PE,Peru,108769,3148,43587,2020-05-22T12:32:39
