country,name,cases,deaths,recovered,last_update
PH,Philippines,0,0,0,2020-01-23T17:00:00
PH,Philippines,1,0,0,2020-01-30T16:00:00
PH,Philippines,1,0,0,2020-01-31T23:59:00
PH,Philippines,1,0,0,2020-02-01T17:43:00
PH,Philippines,2,1,0,2020-02-02T03:33:07
PH,Philippines,3,1,0,2020-02-07T16:43:04
PH,Philippines,3,1,1,2020-02-12T07:43:02
PH,Philippines,5,1,1,2020-03-06T07:03:05
PH,Philippines,6,1,1,2020-03-07T10:13:23
PH,Philippines,10,1,1,2020-03-08T17:13:06
PH,Philippines,20,1,1,2020-03-09T09:23:03
PH,Philippines,33,1,2,2020-03-10T10:13:30
PH,Philippines,49,1,2,2020-03-11T10:53:03
PH,Philippines,64,5,2,2020-03-11T20:00:00
PH,Philippines,52,2,2,2020-03-12T09:53:06
PH,Philippines,111,8,2,2020-03-14T20:33:03
PH,Philippines,140,11,2,2020-03-15T18:20:18
PH,Philippines,142,12,2,2020-03-16T14:38:45
PH,Philippines,187,12,5,2020-03-17T10:33:03
PH,Philippines,202,19,5,2020-03-18T10:53:02
PH,Philippines,217,17,8,2020-03-19T11:13:24
PH,Philippines,230,18,8,2020-03-20T14:43:04
PH,Philippines,307,19,13,2020-03-21T12:13:19
PH,Philippines,380,25,15,2020-03-22T23:45:00
PH,Philippines,462,33,18,2020-03-23T23:19:21
PH,Philippines,552,35,20,2020-03-24T23:37:15
PH,Philippines,636,38,26,2020-03-25T23:33:04
PH,Philippines,707,45,28,2020-03-26T23:48:18
PH,Philippines,803,54,31,2020-03-27T23:23:03
PH,Philippines,1075,68,35,2020-03-28T23:05:25
PH,Philippines,1418,71,42,2020-03-29T23:08:13
PH,Philippines,1546,78,42,2020-03-30T22:52:33
PH,Philippines,2084,88,49,2020-03-31T23:43:43
PH,Philippines,2311,96,50,2020-04-01T21:58:34
PH,Philippines,2633,107,51,2020-04-02T23:25:14
PH,Philippines,3018,136,52,2020-04-03T23:56:18
PH,Philippines,3094,144,57,2020-04-04T23:34:04
PH,Philippines,3246,152,64,2020-04-05T23:06:26
PH,Philippines,3660,163,73,2020-04-06T23:21:55
PH,Philippines,3764,177,84,2020-04-07T23:04:29
PH,Philippines,3870,182,96,2020-04-08T22:51:39
PH,Philippines,4076,203,124,2020-04-09T23:02:19
PH,Philippines,4195,221,140,2020-04-10T22:53:48
PH,Philippines,4428,247,157,2020-04-11T23:56:45
PH,Philippines,4428,247,157,2020-04-12T03:31:35
PH,Philippines,4932,315,242,2020-04-13T23:07:34
PH,Philippines,5223,335,295,2020-04-14T23:33:12
PH,Philippines,5453,349,353,2020-04-15T22:56:32
PH,Philippines,5660,362,435,2020-04-16T23:30:31
PH,Philippines,5878,387,487,2020-04-17T23:30:32
PH,Philippines,6087,397,516,2020-04-18T22:32:28
PH,Philippines,6259,409,572,2020-04-19T23:40:41
PH,Philippines,6459,428,613,2020-04-20T23:36:27
PH,Philippines,6599,437,654,2020-04-21T23:30:30
PH,Philippines,6710,446,693,2020-04-22T23:30:32
PH,Philippines,6981,462,722,2020-04-23T23:30:31
PH,Philippines,7192,477,762,2020-04-24T21:30:34
PH,Philippines,7294,494,792,2020-04-25T23:30:33
PH,Philippines,7579,501,862,2020-04-26T23:30:31
PH,Philippines,7777,511,932,2020-04-27T23:30:31
PH,Philippines,7958,530,975,2020-04-28T23:32:24
PH,Philippines,8212,558,1023,2020-04-29T23:32:26
PH,Philippines,8488,568,1043,2020-04-30T23:32:27
PH,Philippines,8772,579,1084,2020-05-01T23:32:36
PH,Philippines,8928,603,1124,2020-05-02T23:32:31
PH,Philippines,9223,607,1214,2020-05-03T23:32:29
PH,Philippines,9485,623,1315,2020-05-04T22:32:33
PH,Philippines,9684,637,1408,2020-05-05T23:32:29
PH,Philippines,10004,658,1506,2020-05-06T23:32:28
PH,Philippines,10343,685,1618,2020-05-07T22:32:32
PH,Philippines,10463,696,1734,2020-05-08T23:32:35
PH,Philippines,10610,704,1842,2020-05-09T23:32:33
PH,Philippines,10794,719,1924,2020-05-10T23:32:32
PH,Philippines,11086,726,1999,2020-05-11T23:32:30
PH,Philippines,11350,751,2106,2020-05-12T23:32:26
PH,Philippines,11618,772,2251,2020-05-13T23:32:26
PH,Philippines,11876,790,2337,2020-05-14T23:32:28
PH,Philippines,12091,806,2460,2020-05-15T23:32:20
PH,Philippines,12305,817,2561,2020-05-16T23:32:19
PH,Philippines,12513,824,2635,2020-05-17T23:32:23
PH,Philippines,12718,831,2729,2020-05-18T18:01:58
