country,name,cases,deaths,recovered,last_update
PK,Pakistan,2,0,0,2020-02-26T23:53:02
PK,Pakistan,4,0,0,2020-02-29T18:03:05
PK,Pakistan,5,0,0,2020-03-03T04:33:03
PK,Pakistan,6,0,0,2020-03-06T13:03:12
PK,Pakistan,6,0,1,2020-03-08T04:53:02
PK,Pakistan,16,0,1,2020-03-10T05:13:07
PK,Pakistan,28,0,2,2020-03-11T20:00:00
PK,Pakistan,19,0,2,2020-03-11T21:13:23
PK,Pakistan,20,0,2,2020-03-12T08:53:02
PK,Pakistan,31,0,2,2020-03-14T20:33:03
PK,Pakistan,53,0,2,2020-03-15T18:20:18
PK,Pakistan,136,0,2,2020-03-16T14:38:45
PK,Pakistan,236,0,2,2020-03-17T15:33:06
PK,Pakistan,299,0,2,2020-03-18T19:14:29
PK,Pakistan,454,2,13,2020-03-19T20:13:08
PK,Pakistan,501,3,13,2020-03-20T20:13:16
PK,Pakistan,730,3,13,2020-03-21T20:13:21
PK,Pakistan,776,4,13,2020-03-22T23:45:00
PK,Pakistan,875,6,13,2020-03-23T23:19:21
PK,Pakistan,972,7,18,2020-03-24T23:37:15
PK,Pakistan,1063,8,21,2020-03-25T23:33:04
PK,Pakistan,1201,9,21,2020-03-26T23:48:18
PK,Pakistan,1373,11,23,2020-03-27T23:23:03
PK,Pakistan,1495,12,29,2020-03-28T23:05:25
PK,Pakistan,1597,14,29,2020-03-29T23:08:13
PK,Pakistan,1717,21,76,2020-03-30T22:52:33
PK,Pakistan,1938,26,76,2020-03-31T23:43:43
PK,Pakistan,2118,27,94,2020-04-01T21:58:34
PK,Pakistan,2421,34,125,2020-04-02T23:25:14
PK,Pakistan,2686,40,126,2020-04-03T23:56:18
PK,Pakistan,2818,41,131,2020-04-04T23:34:04
PK,Pakistan,3157,47,211,2020-04-05T23:06:26
PK,Pakistan,3766,53,259,2020-04-06T23:21:55
PK,Pakistan,4035,57,429,2020-04-07T23:04:29
PK,Pakistan,4263,61,467,2020-04-08T22:51:39
PK,Pakistan,4489,65,572,2020-04-09T23:02:19
PK,Pakistan,4695,66,727,2020-04-10T22:53:48
PK,Pakistan,5011,86,762,2020-04-11T23:56:45
PK,Pakistan,5011,86,762,2020-04-12T03:31:35
PK,Pakistan,5496,93,1095,2020-04-13T23:07:34
PK,Pakistan,5837,96,1378,2020-04-14T23:33:12
PK,Pakistan,6383,111,1446,2020-04-15T22:56:32
PK,Pakistan,6919,128,1645,2020-04-16T23:30:31
PK,Pakistan,7025,135,1765,2020-04-17T23:30:32
PK,Pakistan,7638,143,1832,2020-04-18T22:32:28
PK,Pakistan,8348,168,1868,2020-04-19T23:40:41
PK,Pakistan,8418,176,1970,2020-04-20T23:36:27
PK,Pakistan,9565,201,2073,2020-04-21T23:30:30
PK,Pakistan,10076,212,2156,2020-04-22T23:30:32
PK,Pakistan,11057,235,2337,2020-04-23T23:30:31
PK,Pakistan,11940,253,2755,2020-04-24T21:30:34
PK,Pakistan,12644,268,2755,2020-04-25T23:30:33
PK,Pakistan,13328,281,2936,2020-04-26T23:30:31
PK,Pakistan,13915,292,3029,2020-04-27T23:30:31
PK,Pakistan,14612,312,3233,2020-04-28T23:32:24
PK,Pakistan,15525,343,3425,2020-04-29T23:32:26
PK,Pakistan,16473,361,4105,2020-04-30T23:32:27
PK,Pakistan,18092,417,4351,2020-05-01T23:32:36
PK,Pakistan,19022,437,4753,2020-05-02T23:32:31
PK,Pakistan,20084,457,5114,2020-05-03T23:32:29
PK,Pakistan,20941,476,5635,2020-05-04T22:32:33
PK,Pakistan,22049,514,5801,2020-05-05T23:32:29
PK,Pakistan,23214,544,6281,2020-05-06T23:32:28
PK,Pakistan,24644,585,6464,2020-05-07T22:32:32
PK,Pakistan,26435,599,7530,2020-05-08T23:32:35
PK,Pakistan,28736,636,7809,2020-05-09T23:32:33
PK,Pakistan,30334,659,8063,2020-05-10T23:32:32
PK,Pakistan,30941,667,8212,2020-05-11T23:32:30
PK,Pakistan,32674,724,8555,2020-05-12T23:32:26
PK,Pakistan,35298,761,8899,2020-05-13T23:32:26
PK,Pakistan,35788,770,9695,2020-05-14T23:32:28
PK,Pakistan,37218,803,10155,2020-05-15T23:32:20
PK,Pakistan,38799,834,10880,2020-05-16T23:32:19
PK,Pakistan,40151,873,11341,2020-05-17T23:32:23
PK,Pakistan,42125,903,11922,2020-05-18T23:32:29
PK,Pakistan,43966,939,12489,2020-05-19T23:32:20
PK,Pakistan,45898,985,13101,2020-05-20T23:32:52
PK,Pakistan,48091,1017,14155,2020-05-21T23:32:39
PK,Pakistan,50694,1067,15201,2020-05-22T23:32:40
PK,Pakistan,52437,1101,16653,2020-05-23T19:06:14
