country,name,cases,deaths,recovered,last_update
PL,Poland,1,0,0,2020-03-04T15:13:18
PL,Poland,5,0,0,2020-03-06T16:43:04
PL,Poland,11,0,0,2020-03-08T21:13:10
PL,Poland,16,0,0,2020-03-09T11:33:10
PL,Poland,22,0,0,2020-03-10T20:13:07
PL,Poland,68,2,0,2020-03-11T20:00:00
PL,Poland,31,0,0,2020-03-11T21:13:21
PL,Poland,49,1,0,2020-03-12T13:33:02
PL,Poland,103,3,0,2020-03-14T22:53:02
PL,Poland,119,3,0,2020-03-15T18:20:18
PL,Poland,177,4,13,2020-03-16T21:13:17
PL,Poland,238,5,13,2020-03-17T20:53:02
PL,Poland,251,5,13,2020-03-18T13:33:12
PL,Poland,355,5,1,2020-03-19T20:13:28
PL,Poland,425,5,1,2020-03-20T20:13:17
PL,Poland,536,5,1,2020-03-21T20:43:02
PL,Poland,634,7,13,2020-03-22T23:45:00
PL,Poland,749,8,13,2020-03-23T23:19:21
PL,Poland,901,10,1,2020-03-24T23:37:15
PL,Poland,1051,14,7,2020-03-25T23:33:04
PL,Poland,1221,16,7,2020-03-26T23:48:18
PL,Poland,1389,16,7,2020-03-27T23:23:03
PL,Poland,1638,18,7,2020-03-28T23:05:25
PL,Poland,1862,22,7,2020-03-29T23:08:13
PL,Poland,2055,31,7,2020-03-30T22:52:33
PL,Poland,2311,33,7,2020-03-31T23:43:43
PL,Poland,2554,43,47,2020-04-01T21:58:34
PL,Poland,2946,57,56,2020-04-02T23:25:14
PL,Poland,3383,71,56,2020-04-03T23:56:18
PL,Poland,3627,79,116,2020-04-04T23:34:04
PL,Poland,4102,94,134,2020-04-05T23:06:26
PL,Poland,4413,107,162,2020-04-06T23:21:55
PL,Poland,4848,129,191,2020-04-07T23:04:29
PL,Poland,5205,159,222,2020-04-08T22:51:39
PL,Poland,5575,174,284,2020-04-09T23:02:19
PL,Poland,5955,181,318,2020-04-10T22:53:48
PL,Poland,6356,208,375,2020-04-11T23:56:45
PL,Poland,6356,208,375,2020-04-12T03:31:35
PL,Poland,6934,245,487,2020-04-13T23:07:34
PL,Poland,7202,263,618,2020-04-14T23:33:12
PL,Poland,7582,286,668,2020-04-15T22:56:32
PL,Poland,7918,314,774,2020-04-16T23:30:31
PL,Poland,8379,332,866,2020-04-17T23:30:32
PL,Poland,8742,347,981,2020-04-18T22:32:28
PL,Poland,9287,360,1040,2020-04-19T23:40:41
PL,Poland,9593,380,1133,2020-04-20T23:36:27
PL,Poland,9856,401,1297,2020-04-21T23:30:30
PL,Poland,10169,426,1513,2020-04-22T23:30:32
PL,Poland,10511,454,1740,2020-04-23T23:30:31
PL,Poland,10892,494,1944,2020-04-24T21:30:34
PL,Poland,11273,524,2126,2020-04-25T23:30:33
PL,Poland,11617,535,2265,2020-04-26T23:30:31
PL,Poland,11902,562,2466,2020-04-27T23:30:31
PL,Poland,12218,596,2655,2020-04-28T23:32:24
PL,Poland,12640,624,3025,2020-04-29T23:32:26
PL,Poland,12877,644,3236,2020-04-30T23:32:27
PL,Poland,13105,651,3491,2020-05-01T23:32:36
PL,Poland,13375,664,3762,2020-05-02T23:32:31
PL,Poland,13693,678,3945,2020-05-03T23:32:29
PL,Poland,14006,698,4095,2020-05-04T22:32:33
PL,Poland,14431,716,4280,2020-05-05T23:32:29
PL,Poland,14740,733,4655,2020-05-06T23:32:28
PL,Poland,15047,755,4862,2020-05-07T22:32:32
PL,Poland,15366,776,5184,2020-05-08T23:32:35
PL,Poland,15651,785,5437,2020-05-09T23:32:33
PL,Poland,15996,800,5698,2020-05-10T23:32:32
PL,Poland,16326,811,5816,2020-05-11T23:32:30
PL,Poland,16921,839,6131,2020-05-12T23:32:26
PL,Poland,17204,861,6410,2020-05-13T23:32:26
PL,Poland,17615,883,6696,2020-05-14T23:32:28
PL,Poland,18016,907,6918,2020-05-15T23:32:20
PL,Poland,18257,915,7175,2020-05-16T23:32:19
PL,Poland,18529,925,7451,2020-05-17T23:32:23
PL,Poland,18885,936,7628,2020-05-18T23:32:29
PL,Poland,19268,948,7903,2020-05-19T23:32:20
PL,Poland,19739,962,8183,2020-05-20T23:32:52
PL,Poland,20143,972,8452,2020-05-21T23:32:39
PL,Poland,20379,973,8731,2020-05-22T12:32:39
