country,name,cases,deaths,recovered,last_update
PS,State of Palestine,4,0,0,2020-03-05T13:53:03
PS,State of Palestine,16,0,0,2020-03-06T20:33:03
PS,State of Palestine,22,0,0,2020-03-07T02:23:06
PS,State of Palestine,25,0,0,2020-03-10T19:13:21
PS,State of Palestine,84,1,17,2020-03-26T23:48:18
PS,State of Palestine,91,1,17,2020-03-27T23:23:03
PS,State of Palestine,98,1,18,2020-03-28T23:05:25
PS,State of Palestine,109,1,18,2020-03-29T23:08:13
PS,State of Palestine,116,1,18,2020-03-30T22:52:33
PS,State of Palestine,119,1,18,2020-03-31T23:43:43
PS,State of Palestine,134,1,18,2020-04-01T21:58:34
PS,State of Palestine,161,1,18,2020-04-02T23:25:14
PS,State of Palestine,194,1,21,2020-04-03T23:56:18
PS,State of Palestine,217,1,21,2020-04-04T23:34:04
PS,State of Palestine,237,1,25,2020-04-05T23:06:26
PS,State of Palestine,254,1,24,2020-04-06T23:21:55
PS,State of Palestine,261,1,42,2020-04-07T23:04:29
PS,State of Palestine,263,1,44,2020-04-08T22:51:39
PS,State of Palestine,263,1,44,2020-04-09T23:02:19
PS,State of Palestine,267,2,45,2020-04-10T22:53:48
PS,State of Palestine,268,2,57,2020-04-11T23:56:45
PS,State of Palestine,268,2,57,2020-04-12T03:31:35
PS,State of Palestine,308,2,58,2020-04-13T23:07:34
PS,State of Palestine,308,2,62,2020-04-14T23:33:12
PS,State of Palestine,374,2,63,2020-04-15T22:56:32
PS,State of Palestine,374,2,63,2020-04-16T23:30:31
PS,State of Palestine,402,2,69,2020-04-17T23:30:32
PS,State of Palestine,418,2,69,2020-04-18T22:32:28
PS,State of Palestine,437,3,71,2020-04-19T23:40:41
PS,State of Palestine,449,3,71,2020-04-20T23:36:27
PS,State of Palestine,466,4,71,2020-04-21T23:30:30
PS,State of Palestine,474,4,71,2020-04-22T23:30:32
PS,State of Palestine,480,4,92,2020-04-23T23:30:31
PS,State of Palestine,484,4,92,2020-04-24T21:30:34
PS,State of Palestine,495,4,92,2020-04-25T23:30:33
PS,State of Palestine,342,2,83,2020-04-26T23:30:31
PS,State of Palestine,342,2,83,2020-04-27T23:30:31
PS,State of Palestine,342,2,83,2020-04-28T23:32:24
PS,State of Palestine,344,2,71,2020-04-29T23:32:26
PS,State of Palestine,344,2,76,2020-04-30T23:32:27
PS,State of Palestine,353,2,76,2020-05-01T23:32:36
PS,State of Palestine,353,2,76,2020-05-02T23:32:31
PS,State of Palestine,353,2,77,2020-05-03T23:32:29
PS,State of Palestine,362,2,102,2020-05-04T22:32:33
PS,State of Palestine,371,2,127,2020-05-05T23:32:29
PS,State of Palestine,374,2,174,2020-05-06T23:32:28
PS,State of Palestine,375,2,176,2020-05-07T22:32:32
PS,State of Palestine,375,2,228,2020-05-08T23:32:35
PS,State of Palestine,375,2,228,2020-05-09T23:32:33
PS,State of Palestine,375,2,263,2020-05-10T23:32:32
PS,State of Palestine,375,2,301,2020-05-11T23:32:30
PS,State of Palestine,375,2,308,2020-05-12T23:32:26
PS,State of Palestine,375,2,310,2020-05-13T23:32:26
PS,State of Palestine,375,2,310,2020-05-14T23:32:28
PS,State of Palestine,375,2,315,2020-05-15T23:32:20
PS,State of Palestine,376,2,329,2020-05-16T23:32:19
PS,State of Palestine,381,2,335,2020-05-17T23:32:23
PS,State of Palestine,388,2,337,2020-05-18T23:32:29
PS,State of Palestine,391,2,346,2020-05-19T23:32:20
PS,State of Palestine,398,2,346,2020-05-20T23:32:52
PS,State of Palestine,423,2,346,2020-05-21T23:32:39
PS,State of Palestine,423,2,346,2020-05-22T12:32:39
