country,name,cases,deaths,recovered,last_update
PT,Portugal,2,0,0,2020-03-02T22:43:02
PT,Portugal,2,0,0,2020-03-03T15:33:02
PT,Portugal,5,0,0,2020-03-04T12:43:03
PT,Portugal,8,0,0,2020-03-05T13:53:03
PT,Portugal,13,0,0,2020-03-06T20:33:03
PT,Portugal,20,0,0,2020-03-07T18:33:02
PT,Portugal,30,0,0,2020-03-08T19:53:03
PT,Portugal,41,0,0,2020-03-10T12:53:02
PT,Portugal,59,0,0,2020-03-11T13:33:11
PT,Portugal,112,0,1,2020-03-11T20:00:00
PT,Portugal,169,0,2,2020-03-14T16:14:47
PT,Portugal,245,0,2,2020-03-15T18:20:18
PT,Portugal,331,0,3,2020-03-16T14:38:45
PT,Portugal,448,1,3,2020-03-17T15:33:06
PT,Portugal,448,2,3,2020-03-18T12:33:02
PT,Portugal,785,3,3,2020-03-19T15:13:27
PT,Portugal,1020,6,5,2020-03-20T15:43:24
PT,Portugal,1280,12,5,2020-03-21T13:13:30
PT,Portugal,1600,14,5,2020-03-22T23:45:00
PT,Portugal,2060,23,14,2020-03-23T23:19:21
PT,Portugal,2362,33,22,2020-03-24T23:37:15
PT,Portugal,2995,43,22,2020-03-25T23:33:04
PT,Portugal,3544,60,43,2020-03-26T23:48:18
PT,Portugal,4268,76,43,2020-03-27T23:23:03
PT,Portugal,5170,100,43,2020-03-28T23:05:25
PT,Portugal,5962,119,43,2020-03-29T23:08:13
PT,Portugal,6408,140,43,2020-03-30T22:52:33
PT,Portugal,7443,160,43,2020-03-31T23:43:43
PT,Portugal,8251,187,43,2020-04-01T21:58:34
PT,Portugal,9034,209,68,2020-04-02T23:25:14
PT,Portugal,9886,246,68,2020-04-03T23:56:18
PT,Portugal,10524,266,75,2020-04-04T23:34:04
PT,Portugal,11278,295,75,2020-04-05T23:06:26
PT,Portugal,11730,311,140,2020-04-06T23:21:55
PT,Portugal,12442,345,184,2020-04-07T23:04:29
PT,Portugal,13141,380,196,2020-04-08T22:51:39
PT,Portugal,13956,409,205,2020-04-09T23:02:19
PT,Portugal,15472,435,233,2020-04-10T22:53:48
PT,Portugal,15987,470,266,2020-04-11T23:56:45
PT,Portugal,15987,470,266,2020-04-12T03:31:35
PT,Portugal,16934,535,277,2020-04-13T23:07:34
PT,Portugal,17448,567,347,2020-04-14T23:33:12
PT,Portugal,18091,599,383,2020-04-15T22:56:32
PT,Portugal,18841,629,493,2020-04-16T23:30:31
PT,Portugal,19022,657,519,2020-04-17T23:30:32
PT,Portugal,19685,687,610,2020-04-18T22:32:28
PT,Portugal,20206,714,610,2020-04-19T23:40:41
PT,Portugal,20863,735,610,2020-04-20T23:36:27
PT,Portugal,21379,762,917,2020-04-21T23:30:30
PT,Portugal,21982,785,1143,2020-04-22T23:30:32
PT,Portugal,22353,820,1201,2020-04-23T23:30:31
PT,Portugal,22797,854,1228,2020-04-24T21:30:34
PT,Portugal,23392,880,1277,2020-04-25T23:30:33
PT,Portugal,23864,903,1329,2020-04-26T23:30:31
PT,Portugal,24027,928,1357,2020-04-27T23:30:31
PT,Portugal,24322,948,1389,2020-04-28T23:32:24
PT,Portugal,24505,973,1470,2020-04-29T23:32:26
PT,Portugal,25045,989,1519,2020-04-30T23:32:27
PT,Portugal,25351,1007,1647,2020-05-01T23:32:36
PT,Portugal,25190,1023,1671,2020-05-02T23:32:31
PT,Portugal,25282,1043,1689,2020-05-03T23:32:29
PT,Portugal,25524,1063,1712,2020-05-04T22:32:33
PT,Portugal,25702,1074,1743,2020-05-05T23:32:29
PT,Portugal,26182,1089,2076,2020-05-06T23:32:28
PT,Portugal,26715,1105,2258,2020-05-07T22:32:32
PT,Portugal,27268,1114,2422,2020-05-08T23:32:35
PT,Portugal,27406,1126,2499,2020-05-09T23:32:33
PT,Portugal,27581,1135,2549,2020-05-10T23:32:32
PT,Portugal,27679,1144,2549,2020-05-11T23:32:30
PT,Portugal,27913,1163,3013,2020-05-12T23:32:26
PT,Portugal,28132,1175,3182,2020-05-13T23:32:26
PT,Portugal,28319,1184,3198,2020-05-14T23:32:28
PT,Portugal,28583,1190,3328,2020-05-15T23:32:20
PT,Portugal,28810,1203,3822,2020-05-16T23:32:19
PT,Portugal,29036,1218,4636,2020-05-17T23:32:23
PT,Portugal,29209,1231,6430,2020-05-18T23:32:29
PT,Portugal,29432,1247,6431,2020-05-19T23:32:20
PT,Portugal,29660,1263,6452,2020-05-20T23:32:52
PT,Portugal,29912,1277,6452,2020-05-21T23:32:39
PT,Portugal,30200,1289,7590,2020-05-22T12:32:39
