country,name,cases,deaths,recovered,last_update
RO,Romania,1,0,0,2020-02-26T23:43:03
RO,Romania,1,0,0,2020-02-27T16:23:03
RO,Romania,3,0,0,2020-02-28T15:33:03
RO,Romania,3,0,0,2020-03-03T00:23:16
RO,Romania,4,0,1,2020-03-04T00:53:02
RO,Romania,6,0,1,2020-03-05T06:23:06
RO,Romania,9,0,1,2020-03-06T16:43:04
RO,Romania,9,0,3,2020-03-07T10:13:23
RO,Romania,15,0,3,2020-03-08T17:23:07
RO,Romania,25,0,3,2020-03-10T16:33:13
RO,Romania,89,0,7,2020-03-11T20:00:00
RO,Romania,45,0,6,2020-03-11T21:13:18
RO,Romania,49,0,6,2020-03-12T09:13:24
RO,Romania,123,0,9,2020-03-14T22:33:03
RO,Romania,131,0,9,2020-03-15T18:20:18
RO,Romania,158,0,9,2020-03-16T14:38:45
RO,Romania,184,0,16,2020-03-17T10:33:03
RO,Romania,260,0,19,2020-03-18T16:59:34
RO,Romania,277,0,25,2020-03-19T11:33:29
RO,Romania,308,0,25,2020-03-20T15:13:21
RO,Romania,367,0,52,2020-03-21T13:13:32
RO,Romania,433,3,64,2020-03-22T23:45:00
RO,Romania,576,7,73,2020-03-23T23:19:21
RO,Romania,794,11,79,2020-03-24T23:37:15
RO,Romania,906,17,86,2020-03-25T23:33:04
RO,Romania,1029,23,94,2020-03-26T23:48:18
RO,Romania,1292,26,115,2020-03-27T23:23:03
RO,Romania,1452,37,139,2020-03-28T23:05:25
RO,Romania,1815,43,206,2020-03-29T23:08:13
RO,Romania,2109,65,209,2020-03-30T22:52:33
RO,Romania,2245,82,220,2020-03-31T23:43:43
RO,Romania,2460,92,252,2020-04-01T21:58:34
RO,Romania,2738,115,267,2020-04-02T23:25:14
RO,Romania,3183,133,283,2020-04-03T23:56:18
RO,Romania,3613,146,329,2020-04-04T23:34:04
RO,Romania,3864,151,374,2020-04-05T23:06:26
RO,Romania,4057,176,406,2020-04-06T23:21:55
RO,Romania,4417,197,460,2020-04-07T23:04:29
RO,Romania,4761,220,528,2020-04-08T22:51:39
RO,Romania,5202,248,647,2020-04-09T23:02:19
RO,Romania,5467,270,729,2020-04-10T22:53:48
RO,Romania,5990,291,758,2020-04-11T23:56:45
RO,Romania,5990,291,758,2020-04-12T03:31:35
RO,Romania,6633,331,914,2020-04-13T23:07:34
RO,Romania,6879,351,1051,2020-04-14T23:33:12
RO,Romania,7216,372,1217,2020-04-15T22:56:32
RO,Romania,7707,392,1357,2020-04-16T23:30:31
RO,Romania,8067,411,1508,2020-04-17T23:30:32
RO,Romania,8418,421,1730,2020-04-18T22:32:28
RO,Romania,8746,451,1892,2020-04-19T23:40:41
RO,Romania,8936,478,2017,2020-04-20T23:36:27
RO,Romania,9242,498,2153,2020-04-21T23:30:30
RO,Romania,9710,524,2406,2020-04-22T23:30:32
RO,Romania,10096,545,2478,2020-04-23T23:30:31
RO,Romania,10417,567,2817,2020-04-24T21:30:34
RO,Romania,10635,601,2890,2020-04-25T23:30:33
RO,Romania,11036,619,3054,2020-04-26T23:30:31
RO,Romania,11339,641,3141,2020-04-27T23:30:31
RO,Romania,11616,663,3404,2020-04-28T23:32:24
RO,Romania,11978,693,3569,2020-04-29T23:32:26
RO,Romania,12240,717,4017,2020-04-30T23:32:27
RO,Romania,12567,744,4328,2020-05-01T23:32:36
RO,Romania,12732,771,4547,2020-05-02T23:32:31
RO,Romania,13163,790,4869,2020-05-03T23:32:29
RO,Romania,13512,818,5269,2020-05-04T22:32:33
RO,Romania,13837,841,5454,2020-05-05T23:32:29
RO,Romania,14107,864,5788,2020-05-06T23:32:28
RO,Romania,14499,888,6144,2020-05-07T22:32:32
RO,Romania,14811,923,6423,2020-05-08T23:32:35
RO,Romania,15131,939,6912,2020-05-09T23:32:33
RO,Romania,15362,961,7051,2020-05-10T23:32:32
RO,Romania,15588,982,7245,2020-05-11T23:32:30
RO,Romania,15778,1002,7685,2020-05-12T23:32:26
RO,Romania,16002,1036,7961,2020-05-13T23:32:26
RO,Romania,16247,1053,9053,2020-05-14T23:32:28
RO,Romania,16437,1070,9370,2020-05-15T23:32:20
RO,Romania,16704,1094,9574,2020-05-16T23:32:19
RO,Romania,16871,1107,9890,2020-05-17T23:32:23
RO,Romania,17036,1120,9930,2020-05-18T23:32:29
RO,Romania,17191,1126,10166,2020-05-19T14:32:25
