country,name,cases,deaths,recovered,last_update
RS,Serbia,1,0,0,2020-03-06T15:43:02
RS,Serbia,5,0,0,2020-03-10T18:53:03
RS,Serbia,12,0,0,2020-03-11T09:53:03
RS,Serbia,35,0,0,2020-03-11T20:00:00
RS,Serbia,19,0,0,2020-03-12T09:13:24
RS,Serbia,46,0,0,2020-03-14T22:53:02
RS,Serbia,55,0,1,2020-03-16T14:38:45
RS,Serbia,65,0,1,2020-03-17T11:13:18
RS,Serbia,83,0,1,2020-03-18T10:53:02
RS,Serbia,103,0,1,2020-03-19T18:13:29
RS,Serbia,135,1,1,2020-03-20T20:43:02
RS,Serbia,171,1,1,2020-03-21T20:43:02
RS,Serbia,222,2,2,2020-03-22T23:45:00
RS,Serbia,249,3,3,2020-03-23T23:19:21
RS,Serbia,303,3,15,2020-03-24T23:37:15
RS,Serbia,384,4,15,2020-03-25T23:33:04
RS,Serbia,384,1,0,2020-03-26T23:48:18
RS,Serbia,457,1,0,2020-03-27T23:23:03
RS,Serbia,659,10,0,2020-03-28T23:05:25
RS,Serbia,741,13,0,2020-03-29T23:08:13
RS,Serbia,785,16,0,2020-03-30T22:52:33
RS,Serbia,900,16,0,2020-03-31T23:43:43
RS,Serbia,1060,28,0,2020-04-01T21:58:34
RS,Serbia,1171,31,0,2020-04-02T23:25:14
RS,Serbia,1476,39,0,2020-04-03T23:56:18
RS,Serbia,1624,44,0,2020-04-04T23:34:04
RS,Serbia,1908,51,0,2020-04-05T23:06:26
RS,Serbia,2200,58,0,2020-04-06T23:21:55
RS,Serbia,2447,61,0,2020-04-07T23:04:29
RS,Serbia,2666,65,0,2020-04-08T22:51:39
RS,Serbia,2867,66,0,2020-04-09T23:02:19
RS,Serbia,3105,71,0,2020-04-10T22:53:48
RS,Serbia,3380,74,0,2020-04-11T23:56:45
RS,Serbia,3380,74,0,2020-04-12T03:31:35
RS,Serbia,4054,85,0,2020-04-13T23:07:34
RS,Serbia,4465,94,0,2020-04-14T23:33:12
RS,Serbia,4873,99,0,2020-04-15T22:56:32
RS,Serbia,5318,103,0,2020-04-16T23:30:31
RS,Serbia,5690,110,534,2020-04-17T23:30:32
RS,Serbia,5994,117,637,2020-04-18T22:32:28
RS,Serbia,6318,122,753,2020-04-19T23:40:41
RS,Serbia,6630,125,870,2020-04-20T23:36:27
RS,Serbia,6630,125,870,2020-04-21T23:30:30
RS,Serbia,6630,125,870,2020-04-22T23:30:32
RS,Serbia,6630,125,870,2020-04-23T23:30:31
RS,Serbia,6630,125,870,2020-04-24T21:30:34
RS,Serbia,6630,125,870,2020-04-25T23:30:33
RS,Serbia,6630,125,870,2020-04-26T23:30:31
RS,Serbia,6630,125,870,2020-04-27T23:30:31
RS,Serbia,6630,125,870,2020-04-28T23:32:24
RS,Serbia,6630,125,870,2020-04-29T23:32:26
RS,Serbia,9009,179,1343,2020-04-30T23:32:27
RS,Serbia,9009,179,1343,2020-05-01T23:32:36
RS,Serbia,9362,189,1426,2020-05-02T23:32:31
RS,Serbia,9464,193,1551,2020-05-03T23:32:29
RS,Serbia,9557,197,1574,2020-05-04T22:32:33
RS,Serbia,9677,200,1723,2020-05-05T23:32:29
RS,Serbia,9791,203,1971,2020-05-06T23:32:28
RS,Serbia,9848,206,2160,2020-05-07T22:32:32
RS,Serbia,9943,209,2453,2020-05-08T23:32:35
RS,Serbia,10032,215,2732,2020-05-09T23:32:33
RS,Serbia,10032,215,2732,2020-05-10T23:32:32
RS,Serbia,10176,218,3290,2020-05-11T23:32:30
RS,Serbia,10243,220,3600,2020-05-12T23:32:26
RS,Serbia,10295,222,3824,2020-05-13T23:32:26
RS,Serbia,10374,224,4084,2020-05-14T23:32:28
RS,Serbia,10438,225,4301,2020-05-15T23:32:20
RS,Serbia,10496,228,4479,2020-05-16T23:32:19
RS,Serbia,10610,230,4713,2020-05-17T23:32:23
RS,Serbia,10699,231,4799,2020-05-18T18:01:58
