country,name,cases,deaths,recovered,last_update
RU,Russian Federation,2,0,0,2020-01-31T16:13:00
RU,Russian Federation,2,0,0,2020-01-31T16:13:45
RU,Russian Federation,2,0,0,2020-01-31T23:59:00
RU,Russian Federation,2,0,2,2020-02-12T14:43:03
RU,Russian Federation,3,0,2,2020-03-02T21:23:04
RU,Russian Federation,4,0,2,2020-03-05T13:53:03
RU,Russian Federation,13,0,2,2020-03-06T20:43:03
RU,Russian Federation,17,0,3,2020-03-08T21:03:03
RU,Russian Federation,10,0,3,2020-03-10T19:13:21
RU,Russian Federation,20,0,3,2020-03-11T18:52:03
RU,Russian Federation,45,0,3,2020-03-11T20:00:00
RU,Russian Federation,28,0,3,2020-03-12T08:53:02
RU,Russian Federation,59,0,8,2020-03-14T22:53:02
RU,Russian Federation,63,0,8,2020-03-15T18:20:18
RU,Russian Federation,90,0,8,2020-03-16T14:38:45
RU,Russian Federation,114,0,8,2020-03-17T15:53:12
RU,Russian Federation,147,0,8,2020-03-18T12:33:02
RU,Russian Federation,199,1,9,2020-03-19T16:13:36
RU,Russian Federation,253,1,9,2020-03-20T15:43:24
RU,Russian Federation,306,1,12,2020-03-21T14:43:03
RU,Russian Federation,367,1,16,2020-03-22T23:45:00
RU,Russian Federation,438,1,17,2020-03-23T23:19:21
RU,Russian Federation,495,1,22,2020-03-24T23:37:15
RU,Russian Federation,658,3,29,2020-03-25T23:33:04
RU,Russian Federation,840,3,38,2020-03-26T23:48:18
RU,Russian Federation,1036,4,45,2020-03-27T23:23:03
RU,Russian Federation,1264,4,49,2020-03-28T23:05:25
RU,Russian Federation,1534,8,64,2020-03-29T23:08:13
RU,Russian Federation,1836,9,66,2020-03-30T22:52:33
RU,Russian Federation,2337,17,121,2020-03-31T23:43:43
RU,Russian Federation,2777,24,190,2020-04-01T21:58:34
RU,Russian Federation,3548,30,235,2020-04-02T23:25:14
RU,Russian Federation,4149,34,281,2020-04-03T23:56:18
RU,Russian Federation,4731,43,333,2020-04-04T23:34:04
RU,Russian Federation,5389,45,355,2020-04-05T23:06:26
RU,Russian Federation,6343,47,406,2020-04-06T23:21:55
RU,Russian Federation,7497,58,494,2020-04-07T23:04:29
RU,Russian Federation,8672,63,580,2020-04-08T22:51:39
RU,Russian Federation,10131,76,698,2020-04-09T23:02:19
RU,Russian Federation,11917,94,795,2020-04-10T22:53:48
RU,Russian Federation,13584,106,1045,2020-04-11T23:56:45
RU,Russian Federation,13584,106,1045,2020-04-12T03:31:35
RU,Russian Federation,18328,148,1470,2020-04-13T23:07:34
RU,Russian Federation,21102,170,1694,2020-04-14T23:33:12
RU,Russian Federation,24490,198,1986,2020-04-15T22:56:32
RU,Russian Federation,27938,232,2304,2020-04-16T23:30:31
RU,Russian Federation,32008,273,2590,2020-04-17T23:30:32
RU,Russian Federation,36793,313,3057,2020-04-18T22:32:28
RU,Russian Federation,42853,361,3291,2020-04-19T23:40:41
RU,Russian Federation,47121,405,3446,2020-04-20T23:36:27
RU,Russian Federation,52763,456,3873,2020-04-21T23:30:30
RU,Russian Federation,57999,513,4420,2020-04-22T23:30:32
RU,Russian Federation,62773,555,4891,2020-04-23T23:30:31
RU,Russian Federation,68622,615,5568,2020-04-24T21:30:34
RU,Russian Federation,74588,681,6250,2020-04-25T23:30:33
RU,Russian Federation,80949,747,6767,2020-04-26T23:30:31
RU,Russian Federation,87147,794,7346,2020-04-27T23:30:31
RU,Russian Federation,93558,867,8456,2020-04-28T23:32:24
RU,Russian Federation,99399,972,10286,2020-04-29T23:32:26
RU,Russian Federation,106498,1073,11619,2020-04-30T23:32:27
RU,Russian Federation,114431,1169,13220,2020-05-01T23:32:36
RU,Russian Federation,124054,1222,15013,2020-05-02T23:32:31
RU,Russian Federation,134687,1280,16639,2020-05-03T23:32:29
RU,Russian Federation,145268,1356,18095,2020-05-04T22:32:33
RU,Russian Federation,155370,1451,19865,2020-05-05T23:32:29
RU,Russian Federation,165929,1537,21327,2020-05-06T23:32:28
RU,Russian Federation,177160,1625,23803,2020-05-07T22:32:32
RU,Russian Federation,187859,1723,26608,2020-05-08T23:32:35
RU,Russian Federation,198676,1827,31916,2020-05-09T23:32:33
RU,Russian Federation,209688,1915,34306,2020-05-10T23:32:32
RU,Russian Federation,221344,2009,39801,2020-05-11T23:32:30
RU,Russian Federation,232243,2116,43512,2020-05-12T23:32:26
RU,Russian Federation,242271,2212,48003,2020-05-13T23:32:26
RU,Russian Federation,252245,2305,53530,2020-05-14T23:32:28
RU,Russian Federation,262843,2418,58226,2020-05-15T23:32:20
RU,Russian Federation,272043,2537,63166,2020-05-16T23:32:19
RU,Russian Federation,281752,2631,67373,2020-05-17T23:32:23
RU,Russian Federation,290678,2722,70209,2020-05-18T23:32:29
RU,Russian Federation,299941,2837,76130,2020-05-19T23:32:20
RU,Russian Federation,308705,2972,85392,2020-05-20T23:32:52
RU,Russian Federation,317554,3099,92681,2020-05-21T23:32:39
RU,Russian Federation,326448,3249,99825,2020-05-22T12:32:39
