country,name,cases,deaths,recovered,last_update
RW,Rwanda,1,0,0,2020-03-14T12:53:07
RW,Rwanda,1,0,0,2020-03-15T06:41:54
RW,Rwanda,5,0,0,2020-03-16T01:33:03
RW,Rwanda,7,0,0,2020-03-17T02:33:10
RW,Rwanda,8,0,0,2020-03-18T11:33:04
RW,Rwanda,17,0,0,2020-03-20T20:43:03
RW,Rwanda,19,0,0,2020-03-22T23:45:00
RW,Rwanda,36,0,0,2020-03-23T23:19:21
RW,Rwanda,40,0,0,2020-03-24T23:37:15
RW,Rwanda,41,0,0,2020-03-25T23:33:04
RW,Rwanda,50,0,0,2020-03-26T23:48:18
RW,Rwanda,54,0,0,2020-03-27T23:23:03
RW,Rwanda,60,0,0,2020-03-28T23:05:25
RW,Rwanda,70,0,0,2020-03-29T23:08:13
RW,Rwanda,70,0,0,2020-03-30T22:52:33
RW,Rwanda,75,0,0,2020-03-31T23:43:43
RW,Rwanda,82,0,0,2020-04-01T21:58:34
RW,Rwanda,84,0,0,2020-04-02T23:25:14
RW,Rwanda,89,0,0,2020-04-03T23:56:18
RW,Rwanda,102,0,0,2020-04-04T23:34:04
RW,Rwanda,104,0,4,2020-04-05T23:06:26
RW,Rwanda,105,0,4,2020-04-06T23:21:55
RW,Rwanda,105,0,7,2020-04-07T23:04:29
RW,Rwanda,110,0,7,2020-04-08T22:51:39
RW,Rwanda,110,0,7,2020-04-09T23:02:19
RW,Rwanda,118,0,7,2020-04-10T22:53:48
RW,Rwanda,120,0,18,2020-04-11T23:56:45
RW,Rwanda,120,0,18,2020-04-12T03:31:35
RW,Rwanda,127,0,42,2020-04-13T23:07:34
RW,Rwanda,134,0,49,2020-04-14T23:33:12
RW,Rwanda,136,0,54,2020-04-15T22:56:32
RW,Rwanda,138,0,60,2020-04-16T23:30:31
RW,Rwanda,143,0,65,2020-04-17T23:30:32
RW,Rwanda,144,0,69,2020-04-18T22:32:28
RW,Rwanda,147,0,76,2020-04-19T23:40:41
RW,Rwanda,147,0,76,2020-04-20T23:36:27
RW,Rwanda,150,0,84,2020-04-21T23:30:30
RW,Rwanda,153,0,84,2020-04-22T23:30:32
RW,Rwanda,154,0,87,2020-04-23T23:30:31
RW,Rwanda,154,0,87,2020-04-24T21:30:34
RW,Rwanda,183,0,88,2020-04-25T23:30:33
RW,Rwanda,191,0,92,2020-04-26T23:30:31
RW,Rwanda,207,0,93,2020-04-27T23:30:31
RW,Rwanda,212,0,95,2020-04-28T23:32:24
RW,Rwanda,225,0,98,2020-04-29T23:32:26
RW,Rwanda,243,0,104,2020-04-30T23:32:27
RW,Rwanda,249,0,109,2020-05-01T23:32:36
RW,Rwanda,255,0,120,2020-05-02T23:32:31
RW,Rwanda,259,0,124,2020-05-03T23:32:29
RW,Rwanda,261,0,128,2020-05-04T22:32:33
RW,Rwanda,261,0,129,2020-05-05T23:32:29
RW,Rwanda,268,0,130,2020-05-06T23:32:28
RW,Rwanda,271,0,133,2020-05-07T22:32:32
RW,Rwanda,273,0,136,2020-05-08T23:32:35
RW,Rwanda,280,0,140,2020-05-09T23:32:33
RW,Rwanda,284,0,140,2020-05-10T23:32:32
RW,Rwanda,285,0,150,2020-05-11T23:32:30
RW,Rwanda,286,0,153,2020-05-12T23:32:26
RW,Rwanda,287,0,164,2020-05-13T23:32:26
RW,Rwanda,287,0,168,2020-05-14T23:32:28
RW,Rwanda,287,0,177,2020-05-15T23:32:20
RW,Rwanda,289,0,178,2020-05-16T23:32:19
RW,Rwanda,292,0,197,2020-05-17T23:32:23
RW,Rwanda,297,0,203,2020-05-18T23:32:29
RW,Rwanda,297,0,203,2020-05-19T14:32:25
