country,name,cases,deaths,recovered,last_update
SA,Saudi Arabia,1,0,0,2020-03-02T23:53:02
SA,Saudi Arabia,5,0,0,2020-03-05T17:53:03
SA,Saudi Arabia,11,0,0,2020-03-08T10:13:19
SA,Saudi Arabia,15,0,0,2020-03-09T09:03:03
SA,Saudi Arabia,20,0,1,2020-03-10T05:13:07
SA,Saudi Arabia,21,0,1,2020-03-11T13:33:11
SA,Saudi Arabia,86,0,1,2020-03-11T20:00:00
SA,Saudi Arabia,45,0,1,2020-03-12T01:17:58
SA,Saudi Arabia,103,0,1,2020-03-14T20:33:03
SA,Saudi Arabia,118,0,2,2020-03-16T01:13:12
SA,Saudi Arabia,171,0,6,2020-03-17T17:53:03
SA,Saudi Arabia,274,0,6,2020-03-19T20:43:02
SA,Saudi Arabia,344,0,8,2020-03-20T20:43:02
SA,Saudi Arabia,392,0,16,2020-03-21T14:43:03
SA,Saudi Arabia,511,0,17,2020-03-22T23:45:00
SA,Saudi Arabia,562,0,19,2020-03-23T23:19:21
SA,Saudi Arabia,767,1,28,2020-03-24T23:37:15
SA,Saudi Arabia,900,2,29,2020-03-25T23:33:04
SA,Saudi Arabia,1012,3,33,2020-03-26T23:48:18
SA,Saudi Arabia,1104,3,35,2020-03-27T23:23:03
SA,Saudi Arabia,1203,4,37,2020-03-28T23:05:25
SA,Saudi Arabia,1299,8,66,2020-03-29T23:08:13
SA,Saudi Arabia,1453,8,115,2020-03-30T22:52:33
SA,Saudi Arabia,1563,10,165,2020-03-31T23:43:43
SA,Saudi Arabia,1720,16,264,2020-04-01T21:58:34
SA,Saudi Arabia,1885,21,328,2020-04-02T23:25:14
SA,Saudi Arabia,2039,25,351,2020-04-03T23:56:18
SA,Saudi Arabia,2179,29,420,2020-04-04T23:34:04
SA,Saudi Arabia,2402,34,488,2020-04-05T23:06:26
SA,Saudi Arabia,2605,38,551,2020-04-06T23:21:55
SA,Saudi Arabia,2795,41,615,2020-04-07T23:04:29
SA,Saudi Arabia,2932,41,631,2020-04-08T22:51:39
SA,Saudi Arabia,3287,44,666,2020-04-09T23:02:19
SA,Saudi Arabia,3651,47,685,2020-04-10T22:53:48
SA,Saudi Arabia,4033,52,720,2020-04-11T23:56:45
SA,Saudi Arabia,4033,52,720,2020-04-12T03:31:35
SA,Saudi Arabia,4934,65,805,2020-04-13T23:07:34
SA,Saudi Arabia,5369,73,889,2020-04-14T23:33:12
SA,Saudi Arabia,5862,79,931,2020-04-15T22:56:32
SA,Saudi Arabia,6380,83,990,2020-04-16T23:30:31
SA,Saudi Arabia,7142,87,1049,2020-04-17T23:30:32
SA,Saudi Arabia,8274,92,1329,2020-04-18T22:32:28
SA,Saudi Arabia,9362,97,1398,2020-04-19T23:40:41
SA,Saudi Arabia,10484,103,1490,2020-04-20T23:36:27
SA,Saudi Arabia,11631,109,1640,2020-04-21T23:30:30
SA,Saudi Arabia,12772,114,1812,2020-04-22T23:30:32
SA,Saudi Arabia,13930,121,1925,2020-04-23T23:30:31
SA,Saudi Arabia,15102,127,2049,2020-04-24T21:30:34
SA,Saudi Arabia,16299,136,2215,2020-04-25T23:30:33
SA,Saudi Arabia,17522,139,2357,2020-04-26T23:30:31
SA,Saudi Arabia,18811,144,2531,2020-04-27T23:30:31
SA,Saudi Arabia,20077,152,2784,2020-04-28T23:32:24
SA,Saudi Arabia,21402,157,2953,2020-04-29T23:32:26
SA,Saudi Arabia,22753,162,3163,2020-04-30T23:32:27
SA,Saudi Arabia,24097,169,3555,2020-05-01T23:32:36
SA,Saudi Arabia,25459,176,3765,2020-05-02T23:32:31
SA,Saudi Arabia,27011,184,4134,2020-05-03T23:32:29
SA,Saudi Arabia,28656,191,4476,2020-05-04T22:32:33
SA,Saudi Arabia,30251,200,5431,2020-05-05T23:32:29
SA,Saudi Arabia,31938,209,6783,2020-05-06T23:32:28
SA,Saudi Arabia,33731,219,7798,2020-05-07T22:32:32
SA,Saudi Arabia,35432,229,9120,2020-05-08T23:32:35
SA,Saudi Arabia,37136,239,10144,2020-05-09T23:32:33
SA,Saudi Arabia,39048,246,11457,2020-05-10T23:32:32
SA,Saudi Arabia,41014,255,12737,2020-05-11T23:32:30
SA,Saudi Arabia,42925,264,15257,2020-05-12T23:32:26
SA,Saudi Arabia,44830,273,17622,2020-05-13T23:32:26
SA,Saudi Arabia,46869,283,19051,2020-05-14T23:32:28
SA,Saudi Arabia,49176,292,21869,2020-05-15T23:32:20
SA,Saudi Arabia,52016,302,23666,2020-05-16T23:32:19
SA,Saudi Arabia,54752,312,25722,2020-05-17T23:32:23
SA,Saudi Arabia,57345,320,28748,2020-05-18T23:32:29
SA,Saudi Arabia,59854,329,31634,2020-05-19T23:32:20
SA,Saudi Arabia,62545,339,33478,2020-05-20T23:32:52
SA,Saudi Arabia,65077,351,36040,2020-05-21T23:32:39
SA,Saudi Arabia,67719,364,39003,2020-05-22T23:32:40
SA,Saudi Arabia,70161,379,41236,2020-05-23T19:06:14
