country,name,cases,deaths,recovered,last_update
SC,Seychelles,2,0,0,2020-03-14T23:13:06
SC,Seychelles,2,0,0,2020-03-15T07:33:03
SC,Seychelles,3,0,0,2020-03-16T01:13:13
SC,Seychelles,4,0,0,2020-03-17T12:33:06
SC,Seychelles,6,0,0,2020-03-19T02:13:17
SC,Seychelles,7,0,0,2020-03-20T15:43:24
SC,Seychelles,7,0,0,2020-03-22T23:45:00
SC,Seychelles,7,0,0,2020-03-23T23:19:21
SC,Seychelles,7,0,0,2020-03-24T23:37:15
SC,Seychelles,7,0,0,2020-03-25T23:33:04
SC,Seychelles,7,0,0,2020-03-26T23:48:18
SC,Seychelles,7,0,0,2020-03-27T23:23:03
SC,Seychelles,8,0,0,2020-03-28T23:05:25
SC,Seychelles,8,0,0,2020-03-29T23:08:13
SC,Seychelles,8,0,0,2020-03-30T22:52:33
SC,Seychelles,10,0,0,2020-03-31T23:43:43
SC,Seychelles,10,0,0,2020-04-01T21:58:34
SC,Seychelles,10,0,0,2020-04-02T23:25:14
SC,Seychelles,10,0,0,2020-04-03T23:56:18
SC,Seychelles,10,0,0,2020-04-04T23:34:04
SC,Seychelles,10,0,0,2020-04-05T23:06:26
SC,Seychelles,11,0,0,2020-04-06T23:21:55
SC,Seychelles,11,0,0,2020-04-07T23:04:29
SC,Seychelles,11,0,0,2020-04-08T22:51:39
SC,Seychelles,11,0,0,2020-04-09T23:02:19
SC,Seychelles,11,0,0,2020-04-10T22:53:48
SC,Seychelles,11,0,0,2020-04-11T23:56:45
SC,Seychelles,11,0,0,2020-04-12T03:31:35
SC,Seychelles,11,0,0,2020-04-13T23:07:34
SC,Seychelles,11,0,0,2020-04-14T23:33:12
SC,Seychelles,11,0,0,2020-04-15T22:56:32
SC,Seychelles,11,0,0,2020-04-16T23:30:31
SC,Seychelles,11,0,5,2020-04-17T23:30:32
SC,Seychelles,11,0,5,2020-04-18T22:32:28
SC,Seychelles,11,0,5,2020-04-19T23:40:41
SC,Seychelles,11,0,5,2020-04-20T23:36:27
SC,Seychelles,11,0,5,2020-04-21T23:30:30
SC,Seychelles,11,0,5,2020-04-22T23:30:32
SC,Seychelles,11,0,6,2020-04-23T23:30:31
SC,Seychelles,11,0,6,2020-04-24T21:30:34
SC,Seychelles,11,0,6,2020-04-25T23:30:33
SC,Seychelles,11,0,6,2020-04-26T23:30:31
SC,Seychelles,11,0,6,2020-04-27T23:30:31
SC,Seychelles,11,0,6,2020-04-28T23:32:24
SC,Seychelles,11,0,6,2020-04-29T23:32:26
SC,Seychelles,11,0,6,2020-04-30T23:32:27
SC,Seychelles,11,0,6,2020-05-01T23:32:36
SC,Seychelles,11,0,6,2020-05-02T23:32:31
SC,Seychelles,11,0,6,2020-05-03T23:32:29
SC,Seychelles,11,0,6,2020-05-04T22:32:33
SC,Seychelles,11,0,8,2020-05-05T23:32:29
SC,Seychelles,11,0,8,2020-05-06T23:32:28
SC,Seychelles,11,0,8,2020-05-07T22:32:32
SC,Seychelles,11,0,8,2020-05-08T23:32:35
SC,Seychelles,11,0,8,2020-05-09T23:32:33
SC,Seychelles,11,0,10,2020-05-10T23:32:32
SC,Seychelles,11,0,10,2020-05-11T23:32:30
SC,Seychelles,11,0,10,2020-05-12T23:32:26
SC,Seychelles,11,0,10,2020-05-13T23:32:26
SC,Seychelles,11,0,10,2020-05-14T23:32:28
SC,Seychelles,11,0,10,2020-05-15T23:32:20
SC,Seychelles,11,0,10,2020-05-16T23:32:19
SC,Seychelles,11,0,10,2020-05-17T23:32:23
SC,Seychelles,11,0,11,2020-05-18T23:32:29
SC,Seychelles,11,0,11,2020-05-19T14:32:25
