country,name,cases,deaths,recovered,last_update
SD,Sudan,1,1,0,2020-03-11T20:00:00
SD,Sudan,1,1,0,2020-03-14T01:13:32
SD,Sudan,2,1,0,2020-03-18T12:13:09
SD,Sudan,2,1,0,2020-03-22T23:45:00
SD,Sudan,2,1,0,2020-03-23T23:19:21
SD,Sudan,3,1,0,2020-03-24T23:37:15
SD,Sudan,3,1,0,2020-03-25T23:33:04
SD,Sudan,3,1,0,2020-03-26T23:48:18
SD,Sudan,3,1,0,2020-03-27T23:23:03
SD,Sudan,5,1,0,2020-03-28T23:05:25
SD,Sudan,6,1,0,2020-03-29T23:08:13
SD,Sudan,6,2,0,2020-03-30T22:52:33
SD,Sudan,7,2,1,2020-03-31T23:43:43
SD,Sudan,7,2,2,2020-04-01T21:58:34
SD,Sudan,8,2,2,2020-04-02T23:25:14
SD,Sudan,10,2,2,2020-04-03T23:56:18
SD,Sudan,10,2,2,2020-04-04T23:34:04
SD,Sudan,12,2,2,2020-04-05T23:06:26
SD,Sudan,12,2,2,2020-04-06T23:21:55
SD,Sudan,14,2,2,2020-04-07T23:04:29
SD,Sudan,14,2,2,2020-04-08T22:51:39
SD,Sudan,15,2,2,2020-04-09T23:02:19
SD,Sudan,17,2,2,2020-04-10T22:53:48
SD,Sudan,19,2,2,2020-04-11T23:56:45
SD,Sudan,19,2,2,2020-04-12T03:31:35
SD,Sudan,29,4,4,2020-04-13T23:07:34
SD,Sudan,32,5,4,2020-04-14T23:33:12
SD,Sudan,32,5,4,2020-04-15T22:56:32
SD,Sudan,32,5,4,2020-04-16T23:30:31
SD,Sudan,33,6,4,2020-04-17T23:30:32
SD,Sudan,66,10,6,2020-04-18T22:32:28
SD,Sudan,66,10,6,2020-04-19T23:40:41
SD,Sudan,107,12,8,2020-04-20T23:36:27
SD,Sudan,107,12,8,2020-04-21T23:30:30
SD,Sudan,140,13,12,2020-04-22T23:30:32
SD,Sudan,162,13,14,2020-04-23T23:30:31
SD,Sudan,174,16,14,2020-04-24T21:30:34
SD,Sudan,213,17,19,2020-04-25T23:30:33
SD,Sudan,237,21,20,2020-04-26T23:30:31
SD,Sudan,275,22,21,2020-04-27T23:30:31
SD,Sudan,318,25,31,2020-04-28T23:32:24
SD,Sudan,375,28,32,2020-04-29T23:32:26
SD,Sudan,442,31,39,2020-04-30T23:32:27
SD,Sudan,442,31,39,2020-05-01T23:32:36
SD,Sudan,592,41,52,2020-05-02T23:32:31
SD,Sudan,592,41,52,2020-05-03T23:32:29
SD,Sudan,678,41,61,2020-05-04T22:32:33
SD,Sudan,778,45,70,2020-05-05T23:32:29
SD,Sudan,852,49,80,2020-05-06T23:32:28
SD,Sudan,930,52,92,2020-05-07T22:32:32
SD,Sudan,1111,59,102,2020-05-08T23:32:35
SD,Sudan,1164,64,119,2020-05-09T23:32:33
SD,Sudan,1164,64,119,2020-05-10T23:32:32
SD,Sudan,1526,74,162,2020-05-11T23:32:30
SD,Sudan,1661,80,173,2020-05-12T23:32:26
SD,Sudan,1661,80,173,2020-05-13T23:32:26
SD,Sudan,1818,90,198,2020-05-14T23:32:28
SD,Sudan,1964,91,205,2020-05-15T23:32:20
SD,Sudan,2289,97,222,2020-05-16T23:32:19
SD,Sudan,2289,97,222,2020-05-17T23:32:23
SD,Sudan,2591,105,247,2020-05-18T18:01:58
