country,name,cases,deaths,recovered,last_update
SE,Sweden,1,0,0,2020-01-31T23:59:00
SE,Sweden,1,0,0,2020-02-01T02:13:00
SE,Sweden,1,0,0,2020-02-01T02:13:26
SE,Sweden,2,0,0,2020-02-26T18:53:02
SE,Sweden,7,0,0,2020-02-27T20:33:02
SE,Sweden,12,0,0,2020-02-29T14:43:03
SE,Sweden,14,0,0,2020-03-01T23:23:02
SE,Sweden,15,0,0,2020-03-02T20:53:02
SE,Sweden,21,0,0,2020-03-03T15:13:26
SE,Sweden,35,0,0,2020-03-04T12:33:03
SE,Sweden,94,0,0,2020-03-05T18:03:03
SE,Sweden,101,0,0,2020-03-06T13:03:12
SE,Sweden,161,0,0,2020-03-07T17:53:03
SE,Sweden,203,0,0,2020-03-08T14:03:12
SE,Sweden,248,0,1,2020-03-09T18:33:03
SE,Sweden,355,0,1,2020-03-10T23:53:02
SE,Sweden,500,1,1,2020-03-11T19:33:02
SE,Sweden,814,1,1,2020-03-11T20:00:00
SE,Sweden,599,1,1,2020-03-12T21:39:09
SE,Sweden,961,2,1,2020-03-14T22:13:11
SE,Sweden,1022,3,1,2020-03-15T18:20:18
SE,Sweden,1103,6,1,2020-03-16T14:38:45
SE,Sweden,1190,7,1,2020-03-17T15:33:06
SE,Sweden,1279,10,1,2020-03-18T17:53:02
SE,Sweden,1439,11,16,2020-03-19T15:13:27
SE,Sweden,1639,16,16,2020-03-20T15:43:24
SE,Sweden,1763,20,16,2020-03-21T14:43:03
SE,Sweden,1931,21,16,2020-03-22T23:45:00
SE,Sweden,2046,25,16,2020-03-23T23:19:21
SE,Sweden,2286,36,16,2020-03-24T23:37:15
SE,Sweden,2526,62,16,2020-03-25T23:33:04
SE,Sweden,2840,77,16,2020-03-26T23:48:18
SE,Sweden,3069,105,16,2020-03-27T23:23:03
SE,Sweden,3447,105,16,2020-03-28T23:05:25
SE,Sweden,3700,110,16,2020-03-29T23:08:13
SE,Sweden,4028,146,16,2020-03-30T22:52:33
SE,Sweden,4435,180,16,2020-03-31T23:43:43
SE,Sweden,4947,239,103,2020-04-01T21:58:34
SE,Sweden,5568,308,103,2020-04-02T23:25:14
SE,Sweden,6131,358,205,2020-04-03T23:56:18
SE,Sweden,6443,373,205,2020-04-04T23:34:04
SE,Sweden,6830,401,205,2020-04-05T23:06:26
SE,Sweden,7206,477,205,2020-04-06T23:21:55
SE,Sweden,7693,591,205,2020-04-07T23:04:29
SE,Sweden,8419,687,205,2020-04-08T22:51:39
SE,Sweden,9141,793,205,2020-04-09T23:02:19
SE,Sweden,9685,870,381,2020-04-10T22:53:48
SE,Sweden,10151,887,381,2020-04-11T23:56:45
SE,Sweden,10151,887,381,2020-04-12T03:31:35
SE,Sweden,10948,919,381,2020-04-13T23:07:34
SE,Sweden,11445,1033,381,2020-04-14T23:33:12
SE,Sweden,11927,1203,381,2020-04-15T22:56:32
SE,Sweden,12540,1333,550,2020-04-16T23:30:31
SE,Sweden,13216,1400,550,2020-04-17T23:30:32
SE,Sweden,13822,1511,550,2020-04-18T22:32:28
SE,Sweden,14385,1540,550,2020-04-19T23:40:41
SE,Sweden,14777,1580,550,2020-04-20T23:36:27
SE,Sweden,15322,1765,550,2020-04-21T23:30:30
SE,Sweden,16004,1937,550,2020-04-22T23:30:32
SE,Sweden,16755,2021,550,2020-04-23T23:30:31
SE,Sweden,17567,2152,550,2020-04-24T21:30:34
SE,Sweden,18177,2192,1005,2020-04-25T23:30:33
SE,Sweden,18640,2194,1005,2020-04-26T23:30:31
SE,Sweden,18926,2274,1005,2020-04-27T23:30:31
SE,Sweden,19621,2355,1005,2020-04-28T23:32:24
SE,Sweden,20302,2462,1005,2020-04-29T23:32:26
SE,Sweden,21092,2586,1005,2020-04-30T23:32:27
SE,Sweden,21520,2653,1005,2020-05-01T23:32:36
SE,Sweden,22082,2669,1005,2020-05-02T23:32:31
SE,Sweden,22317,2679,1005,2020-05-03T23:32:29
SE,Sweden,22721,2769,4074,2020-05-04T22:32:33
SE,Sweden,23216,2854,4074,2020-05-05T23:32:29
SE,Sweden,23918,2941,4074,2020-05-06T23:32:28
SE,Sweden,24623,3040,4971,2020-05-07T22:32:32
SE,Sweden,25265,3175,4971,2020-05-08T23:32:35
SE,Sweden,25921,3220,4971,2020-05-09T23:32:33
SE,Sweden,26322,3225,4971,2020-05-10T23:32:32
SE,Sweden,26670,3256,4971,2020-05-11T23:32:30
SE,Sweden,27272,3313,4971,2020-05-12T23:32:26
SE,Sweden,27909,3460,4971,2020-05-13T23:32:26
SE,Sweden,28582,3529,4971,2020-05-14T23:32:28
SE,Sweden,29207,3646,4971,2020-05-15T23:32:20
SE,Sweden,29677,3674,4971,2020-05-16T23:32:19
SE,Sweden,30143,3679,4971,2020-05-17T23:32:23
SE,Sweden,30377,3698,4971,2020-05-18T23:32:29
SE,Sweden,30799,3743,4971,2020-05-19T23:32:20
SE,Sweden,31523,3831,4971,2020-05-20T23:32:52
SE,Sweden,32172,3871,4971,2020-05-21T23:32:39
SE,Sweden,32809,3925,4971,2020-05-22T12:32:39
