country,name,cases,deaths,recovered,last_update
SG,Singapore,1,0,0,2020-01-23T17:00:00
SG,Singapore,3,0,0,2020-01-24T17:00:00
SG,Singapore,3,0,0,2020-01-25T17:00:00
SG,Singapore,4,0,0,2020-01-26T16:00:00
SG,Singapore,5,0,0,2020-01-27T23:59:00
SG,Singapore,7,0,0,2020-01-28T23:00:00
SG,Singapore,7,0,0,2020-01-29T19:30:00
SG,Singapore,10,0,0,2020-01-30T16:00:00
SG,Singapore,13,0,0,2020-01-31T23:59:00
SG,Singapore,16,0,0,2020-02-01T05:37:00
SG,Singapore,18,0,0,2020-02-02T01:03:32
SG,Singapore,24,0,0,2020-02-04T15:33:03
SG,Singapore,28,0,0,2020-02-05T16:33:03
SG,Singapore,30,0,0,2020-02-07T03:03:03
SG,Singapore,33,0,2,2020-02-08T12:53:01
SG,Singapore,40,0,2,2020-02-09T02:43:02
SG,Singapore,45,0,2,2020-02-10T19:03:02
SG,Singapore,47,0,9,2020-02-11T16:43:06
SG,Singapore,50,0,15,2020-02-12T19:53:02
SG,Singapore,58,0,15,2020-02-13T14:33:02
SG,Singapore,67,0,17,2020-02-14T12:43:02
SG,Singapore,72,0,18,2020-02-15T23:53:02
SG,Singapore,75,0,18,2020-02-16T16:23:06
SG,Singapore,77,0,24,2020-02-17T14:33:04
SG,Singapore,81,0,29,2020-02-18T16:53:03
SG,Singapore,84,0,34,2020-02-19T22:13:08
SG,Singapore,85,0,37,2020-02-21T03:43:02
SG,Singapore,89,0,51,2020-02-23T15:13:15
SG,Singapore,91,0,53,2020-02-25T18:55:32
SG,Singapore,93,0,62,2020-02-26T19:33:02
SG,Singapore,102,0,72,2020-02-29T14:33:03
SG,Singapore,106,0,72,2020-03-01T23:23:02
SG,Singapore,108,0,78,2020-03-02T20:33:02
SG,Singapore,110,0,78,2020-03-03T15:23:03
SG,Singapore,117,0,78,2020-03-05T13:43:04
SG,Singapore,130,0,78,2020-03-06T13:03:12
SG,Singapore,138,0,78,2020-03-07T17:53:03
SG,Singapore,150,0,78,2020-03-08T13:33:13
SG,Singapore,160,0,78,2020-03-10T05:13:07
SG,Singapore,178,0,96,2020-03-11T13:53:24
SG,Singapore,200,0,97,2020-03-11T20:00:00
SG,Singapore,212,0,105,2020-03-14T16:14:30
SG,Singapore,226,0,105,2020-03-15T18:20:18
SG,Singapore,243,0,109,2020-03-16T14:38:45
SG,Singapore,266,0,114,2020-03-17T15:33:06
SG,Singapore,313,0,114,2020-03-18T13:33:12
SG,Singapore,345,0,114,2020-03-19T16:13:36
SG,Singapore,385,0,124,2020-03-20T15:43:24
SG,Singapore,432,2,140,2020-03-21T13:13:30
SG,Singapore,455,2,144,2020-03-22T23:45:00
SG,Singapore,509,2,152,2020-03-23T23:19:21
SG,Singapore,558,2,156,2020-03-24T23:37:15
SG,Singapore,631,2,160,2020-03-25T23:33:04
SG,Singapore,683,2,172,2020-03-26T23:48:18
SG,Singapore,732,2,183,2020-03-27T23:23:03
SG,Singapore,802,2,198,2020-03-28T23:05:25
SG,Singapore,844,3,212,2020-03-29T23:08:13
SG,Singapore,879,3,228,2020-03-30T22:52:33
SG,Singapore,926,3,240,2020-03-31T23:43:43
SG,Singapore,1000,3,245,2020-04-01T21:58:34
SG,Singapore,1049,4,266,2020-04-02T23:25:14
SG,Singapore,1114,5,282,2020-04-03T23:56:18
SG,Singapore,1189,6,297,2020-04-04T23:34:04
SG,Singapore,1309,6,320,2020-04-05T23:06:26
SG,Singapore,1375,6,344,2020-04-06T23:21:55
SG,Singapore,1481,6,377,2020-04-07T23:04:29
SG,Singapore,1623,6,406,2020-04-08T22:51:39
SG,Singapore,1910,6,460,2020-04-09T23:02:19
SG,Singapore,2108,7,492,2020-04-10T22:53:48
SG,Singapore,2299,8,528,2020-04-11T23:56:45
SG,Singapore,2299,8,528,2020-04-12T03:31:35
SG,Singapore,2918,9,586,2020-04-13T23:07:34
SG,Singapore,3252,10,611,2020-04-14T23:33:12
SG,Singapore,3699,10,652,2020-04-15T22:56:32
SG,Singapore,4427,10,683,2020-04-16T23:30:31
SG,Singapore,5050,11,708,2020-04-17T23:30:32
SG,Singapore,5992,11,740,2020-04-18T22:32:28
SG,Singapore,6588,11,768,2020-04-19T23:40:41
SG,Singapore,8014,11,801,2020-04-20T23:36:27
SG,Singapore,9125,11,839,2020-04-21T23:30:30
SG,Singapore,10141,12,896,2020-04-22T23:30:32
SG,Singapore,11178,12,924,2020-04-23T23:30:31
SG,Singapore,12075,12,924,2020-04-24T21:30:34
SG,Singapore,12693,12,1002,2020-04-25T23:30:33
SG,Singapore,13624,12,1060,2020-04-26T23:30:31
SG,Singapore,14423,14,1095,2020-04-27T23:30:31
SG,Singapore,14951,14,1128,2020-04-28T23:32:24
SG,Singapore,15641,14,1188,2020-04-29T23:32:26
