country,name,cases,deaths,recovered,last_update
SI,Slovenia,2,0,0,2020-03-05T17:13:30
SI,Slovenia,7,0,0,2020-03-06T15:33:03
SI,Slovenia,16,0,0,2020-03-08T17:03:16
SI,Slovenia,31,0,0,2020-03-10T16:13:26
SI,Slovenia,57,0,0,2020-03-11T14:13:11
SI,Slovenia,141,0,0,2020-03-11T20:00:00
SI,Slovenia,89,0,0,2020-03-12T13:33:02
SI,Slovenia,181,1,0,2020-03-14T22:33:03
SI,Slovenia,219,1,0,2020-03-15T18:20:18
SI,Slovenia,253,1,0,2020-03-16T14:38:45
SI,Slovenia,275,1,0,2020-03-17T16:53:04
SI,Slovenia,286,1,0,2020-03-19T02:13:17
SI,Slovenia,341,1,0,2020-03-20T15:43:24
SI,Slovenia,383,1,0,2020-03-21T14:43:03
SI,Slovenia,414,2,0,2020-03-22T23:45:00
SI,Slovenia,442,3,0,2020-03-23T23:19:21
SI,Slovenia,480,4,3,2020-03-24T23:37:15
SI,Slovenia,528,5,10,2020-03-25T23:33:04
SI,Slovenia,562,6,10,2020-03-26T23:48:18
SI,Slovenia,632,9,10,2020-03-27T23:23:03
SI,Slovenia,684,9,10,2020-03-28T23:05:25
SI,Slovenia,730,11,10,2020-03-29T23:08:13
SI,Slovenia,756,11,10,2020-03-30T22:52:33
SI,Slovenia,802,15,10,2020-03-31T23:43:43
SI,Slovenia,841,15,10,2020-04-01T21:58:34
SI,Slovenia,897,17,70,2020-04-02T23:25:14
SI,Slovenia,934,20,70,2020-04-03T23:56:18
SI,Slovenia,977,22,79,2020-04-04T23:34:04
SI,Slovenia,997,28,79,2020-04-05T23:06:26
SI,Slovenia,1021,30,102,2020-04-06T23:21:55
SI,Slovenia,1059,36,102,2020-04-07T23:04:29
SI,Slovenia,1091,40,120,2020-04-08T22:51:39
SI,Slovenia,1124,43,128,2020-04-09T23:02:19
SI,Slovenia,1160,45,137,2020-04-10T22:53:48
SI,Slovenia,1188,50,148,2020-04-11T23:56:45
SI,Slovenia,1188,50,148,2020-04-12T03:31:35
SI,Slovenia,1212,55,152,2020-04-13T23:07:34
SI,Slovenia,1220,56,152,2020-04-14T23:33:12
SI,Slovenia,1248,61,165,2020-04-15T22:56:32
SI,Slovenia,1268,61,174,2020-04-16T23:30:31
SI,Slovenia,1304,66,174,2020-04-17T23:30:32
SI,Slovenia,1317,70,190,2020-04-18T22:32:28
SI,Slovenia,1330,74,192,2020-04-19T23:40:41
SI,Slovenia,1335,77,193,2020-04-20T23:36:27
SI,Slovenia,1344,77,197,2020-04-21T23:30:30
SI,Slovenia,1353,79,205,2020-04-22T23:30:32
SI,Slovenia,1366,79,211,2020-04-23T23:30:31
SI,Slovenia,1373,80,211,2020-04-24T21:30:34
SI,Slovenia,1388,81,219,2020-04-25T23:30:33
SI,Slovenia,1396,82,221,2020-04-26T23:30:31
SI,Slovenia,1402,83,221,2020-04-27T23:30:31
SI,Slovenia,1408,86,223,2020-04-28T23:32:24
SI,Slovenia,1418,89,230,2020-04-29T23:32:26
SI,Slovenia,1429,91,233,2020-04-30T23:32:27
SI,Slovenia,1434,92,233,2020-05-01T23:32:36
SI,Slovenia,1439,94,239,2020-05-02T23:32:31
SI,Slovenia,1439,96,241,2020-05-03T23:32:29
SI,Slovenia,1439,97,241,2020-05-04T22:32:33
SI,Slovenia,1445,98,244,2020-05-05T23:32:29
SI,Slovenia,1448,99,246,2020-05-06T23:32:28
SI,Slovenia,1449,99,247,2020-05-07T22:32:32
SI,Slovenia,1450,100,252,2020-05-08T23:32:35
SI,Slovenia,1454,101,255,2020-05-09T23:32:33
SI,Slovenia,1457,102,256,2020-05-10T23:32:32
SI,Slovenia,1460,102,256,2020-05-11T23:32:30
SI,Slovenia,1461,102,259,2020-05-12T23:32:26
SI,Slovenia,1463,103,260,2020-05-13T23:32:26
SI,Slovenia,1464,103,267,2020-05-14T23:32:28
SI,Slovenia,1465,103,270,2020-05-15T23:32:20
SI,Slovenia,1465,103,272,2020-05-16T23:32:19
SI,Slovenia,1466,104,273,2020-05-17T23:32:23
SI,Slovenia,1466,104,1335,2020-05-18T23:32:29
SI,Slovenia,1467,104,1335,2020-05-19T14:32:25
