country,name,cases,deaths,recovered,last_update
SK,Slovakia,1,0,0,2020-03-06T13:03:14
SK,Slovakia,3,0,0,2020-03-08T09:13:15
SK,Slovakia,7,0,0,2020-03-10T05:13:07
SK,Slovakia,10,0,0,2020-03-11T13:33:11
SK,Slovakia,32,0,0,2020-03-11T20:00:00
SK,Slovakia,16,0,0,2020-03-12T13:33:02
SK,Slovakia,44,0,0,2020-03-14T20:33:03
SK,Slovakia,54,0,0,2020-03-15T18:20:18
SK,Slovakia,63,0,0,2020-03-16T14:38:45
SK,Slovakia,72,0,0,2020-03-17T02:13:34
SK,Slovakia,105,1,0,2020-03-18T14:13:14
SK,Slovakia,123,1,0,2020-03-19T16:13:36
SK,Slovakia,137,1,0,2020-03-20T16:13:11
SK,Slovakia,178,1,0,2020-03-21T20:43:02
SK,Slovakia,185,0,7,2020-03-22T23:45:00
SK,Slovakia,186,0,7,2020-03-23T23:19:21
SK,Slovakia,204,0,7,2020-03-24T23:37:15
SK,Slovakia,216,0,7,2020-03-25T23:33:04
SK,Slovakia,226,0,2,2020-03-26T23:48:18
SK,Slovakia,269,0,2,2020-03-27T23:23:03
SK,Slovakia,292,0,2,2020-03-28T23:05:25
SK,Slovakia,314,0,2,2020-03-29T23:08:13
SK,Slovakia,336,0,7,2020-03-30T22:52:33
SK,Slovakia,363,0,3,2020-03-31T23:43:43
SK,Slovakia,400,1,3,2020-04-01T21:58:34
SK,Slovakia,426,1,5,2020-04-02T23:25:14
SK,Slovakia,450,1,10,2020-04-03T23:56:18
SK,Slovakia,471,1,10,2020-04-04T23:34:04
SK,Slovakia,485,1,10,2020-04-05T23:06:26
SK,Slovakia,534,2,8,2020-04-06T23:21:55
SK,Slovakia,581,2,13,2020-04-07T23:04:29
SK,Slovakia,682,2,16,2020-04-08T22:51:39
SK,Slovakia,701,2,23,2020-04-09T23:02:19
SK,Slovakia,715,2,23,2020-04-10T22:53:48
SK,Slovakia,728,2,23,2020-04-11T23:56:45
SK,Slovakia,728,2,23,2020-04-12T03:31:35
SK,Slovakia,769,2,107,2020-04-13T23:07:34
SK,Slovakia,835,2,113,2020-04-14T23:33:12
SK,Slovakia,863,6,151,2020-04-15T22:56:32
SK,Slovakia,977,8,167,2020-04-16T23:30:31
SK,Slovakia,1049,9,175,2020-04-17T23:30:32
SK,Slovakia,1089,11,213,2020-04-18T22:32:28
SK,Slovakia,1161,12,229,2020-04-19T23:40:41
SK,Slovakia,1173,13,251,2020-04-20T23:36:27
SK,Slovakia,1199,14,258,2020-04-21T23:30:30
SK,Slovakia,1244,14,284,2020-04-22T23:30:32
SK,Slovakia,1325,15,288,2020-04-23T23:30:31
SK,Slovakia,1360,17,355,2020-04-24T21:30:34
SK,Slovakia,1373,17,386,2020-04-25T23:30:33
SK,Slovakia,1379,18,394,2020-04-26T23:30:31
SK,Slovakia,1381,18,403,2020-04-27T23:30:31
SK,Slovakia,1384,20,423,2020-04-28T23:32:24
SK,Slovakia,1391,22,484,2020-04-29T23:32:26
SK,Slovakia,1396,23,524,2020-04-30T23:32:27
SK,Slovakia,1403,23,558,2020-05-01T23:32:36
SK,Slovakia,1407,24,608,2020-05-02T23:32:31
SK,Slovakia,1408,24,619,2020-05-03T23:32:29
SK,Slovakia,1413,25,643,2020-05-04T22:32:33
SK,Slovakia,1421,25,741,2020-05-05T23:32:29
SK,Slovakia,1429,25,762,2020-05-06T23:32:28
SK,Slovakia,1445,26,806,2020-05-07T22:32:32
SK,Slovakia,1455,26,905,2020-05-08T23:32:35
SK,Slovakia,1455,26,919,2020-05-09T23:32:33
SK,Slovakia,1457,26,941,2020-05-10T23:32:32
SK,Slovakia,1457,26,959,2020-05-11T23:32:30
SK,Slovakia,1465,27,983,2020-05-12T23:32:26
SK,Slovakia,1469,27,1060,2020-05-13T23:32:26
SK,Slovakia,1477,27,1112,2020-05-14T23:32:28
SK,Slovakia,1480,27,1131,2020-05-15T23:32:20
SK,Slovakia,1493,28,1151,2020-05-16T23:32:19
SK,Slovakia,1494,28,1163,2020-05-17T23:32:23
SK,Slovakia,1495,28,1185,2020-05-18T18:01:58
