country,name,cases,deaths,recovered,last_update
SL,Sierra Leone,1,0,0,2020-03-31T23:43:43
SL,Sierra Leone,2,0,0,2020-04-01T21:58:34
SL,Sierra Leone,2,0,0,2020-04-02T23:25:14
SL,Sierra Leone,2,0,0,2020-04-03T23:56:18
SL,Sierra Leone,4,0,0,2020-04-04T23:34:04
SL,Sierra Leone,6,0,0,2020-04-05T23:06:26
SL,Sierra Leone,6,0,0,2020-04-06T23:21:55
SL,Sierra Leone,6,0,0,2020-04-07T23:04:29
SL,Sierra Leone,7,0,0,2020-04-08T22:51:39
SL,Sierra Leone,7,0,0,2020-04-09T23:02:19
SL,Sierra Leone,8,0,0,2020-04-10T22:53:48
SL,Sierra Leone,10,0,0,2020-04-11T23:56:45
SL,Sierra Leone,10,0,0,2020-04-12T03:31:35
SL,Sierra Leone,10,0,0,2020-04-13T23:07:34
SL,Sierra Leone,11,0,0,2020-04-14T23:33:12
SL,Sierra Leone,13,0,0,2020-04-15T22:56:32
SL,Sierra Leone,15,0,0,2020-04-16T23:30:31
SL,Sierra Leone,26,0,0,2020-04-17T23:30:32
SL,Sierra Leone,30,0,0,2020-04-18T22:32:28
SL,Sierra Leone,35,0,6,2020-04-19T23:40:41
SL,Sierra Leone,43,0,6,2020-04-20T23:36:27
SL,Sierra Leone,50,0,6,2020-04-21T23:30:30
SL,Sierra Leone,61,0,6,2020-04-22T23:30:32
SL,Sierra Leone,64,1,10,2020-04-23T23:30:31
SL,Sierra Leone,82,2,10,2020-04-24T21:30:34
SL,Sierra Leone,82,2,10,2020-04-25T23:30:33
SL,Sierra Leone,93,4,10,2020-04-26T23:30:31
SL,Sierra Leone,93,4,10,2020-04-27T23:30:31
SL,Sierra Leone,104,4,12,2020-04-28T23:32:24
SL,Sierra Leone,104,4,12,2020-04-29T23:32:26
SL,Sierra Leone,124,7,21,2020-04-30T23:32:27
SL,Sierra Leone,136,7,21,2020-05-01T23:32:36
SL,Sierra Leone,155,8,21,2020-05-02T23:32:31
SL,Sierra Leone,166,8,29,2020-05-03T23:32:29
SL,Sierra Leone,178,9,37,2020-05-04T22:32:33
SL,Sierra Leone,199,11,43,2020-05-05T23:32:29
SL,Sierra Leone,225,14,54,2020-05-06T23:32:28
SL,Sierra Leone,231,16,54,2020-05-07T22:32:32
SL,Sierra Leone,257,17,54,2020-05-08T23:32:35
SL,Sierra Leone,291,18,58,2020-05-09T23:32:33
SL,Sierra Leone,307,18,67,2020-05-10T23:32:32
SL,Sierra Leone,338,19,72,2020-05-11T23:32:30
SL,Sierra Leone,338,19,72,2020-05-12T23:32:26
SL,Sierra Leone,387,26,97,2020-05-13T23:32:26
SL,Sierra Leone,408,26,97,2020-05-14T23:32:28
SL,Sierra Leone,447,27,97,2020-05-15T23:32:20
SL,Sierra Leone,462,29,106,2020-05-16T23:32:19
SL,Sierra Leone,505,32,141,2020-05-17T23:32:23
SL,Sierra Leone,519,33,148,2020-05-18T23:32:29
SL,Sierra Leone,519,33,148,2020-05-19T23:32:20
SL,Sierra Leone,570,34,205,2020-05-20T23:32:52
SL,Sierra Leone,585,35,205,2020-05-21T23:32:39
SL,Sierra Leone,606,38,230,2020-05-22T23:32:40
SL,Sierra Leone,621,39,241,2020-05-23T19:06:14
