country,name,cases,deaths,recovered,last_update
SM,San Marino,1,0,0,2020-02-27T21:13:10
SM,San Marino,1,0,0,2020-03-01T07:13:07
SM,San Marino,8,0,0,2020-03-02T01:03:12
SM,San Marino,10,1,0,2020-03-03T15:23:03
SM,San Marino,16,1,0,2020-03-04T19:33:03
SM,San Marino,21,1,0,2020-03-05T13:53:03
SM,San Marino,23,1,0,2020-03-07T02:13:08
SM,San Marino,36,1,0,2020-03-08T14:23:10
SM,San Marino,51,2,0,2020-03-10T05:13:07
SM,San Marino,80,5,0,2020-03-11T20:00:00
SM,San Marino,62,2,0,2020-03-11T20:53:02
SM,San Marino,69,3,0,2020-03-12T08:53:02
SM,San Marino,80,5,4,2020-03-14T22:53:02
SM,San Marino,101,5,4,2020-03-15T18:20:18
SM,San Marino,109,7,4,2020-03-16T01:33:03
SM,San Marino,119,11,4,2020-03-18T02:53:03
SM,San Marino,144,14,4,2020-03-20T01:43:03
SM,San Marino,144,20,4,2020-03-21T17:43:03
SM,San Marino,175,20,4,2020-03-22T23:45:00
SM,San Marino,187,20,4,2020-03-23T23:19:21
SM,San Marino,187,21,4,2020-03-24T23:37:15
SM,San Marino,208,21,4,2020-03-25T23:33:04
SM,San Marino,208,21,4,2020-03-26T23:48:18
SM,San Marino,223,21,4,2020-03-27T23:23:03
SM,San Marino,224,22,6,2020-03-28T23:05:25
SM,San Marino,224,22,6,2020-03-29T23:08:13
SM,San Marino,230,25,13,2020-03-30T22:52:33
SM,San Marino,236,26,13,2020-03-31T23:43:43
SM,San Marino,236,26,13,2020-04-01T21:58:34
SM,San Marino,245,30,21,2020-04-02T23:25:14
SM,San Marino,251,32,26,2020-04-03T23:56:18
SM,San Marino,259,32,27,2020-04-04T23:34:04
SM,San Marino,266,32,35,2020-04-05T23:06:26
SM,San Marino,266,32,35,2020-04-06T23:21:55
SM,San Marino,279,34,40,2020-04-07T23:04:29
SM,San Marino,279,34,40,2020-04-08T22:51:39
SM,San Marino,333,34,49,2020-04-09T23:02:19
SM,San Marino,344,34,50,2020-04-10T22:53:48
SM,San Marino,356,35,53,2020-04-11T23:56:45
SM,San Marino,356,35,53,2020-04-12T03:31:35
SM,San Marino,356,35,53,2020-04-13T23:07:34
SM,San Marino,371,36,53,2020-04-14T23:33:12
SM,San Marino,372,36,53,2020-04-15T22:56:32
SM,San Marino,426,38,55,2020-04-16T23:30:31
SM,San Marino,435,39,57,2020-04-17T23:30:32
SM,San Marino,455,39,60,2020-04-18T22:32:28
SM,San Marino,461,39,60,2020-04-19T23:40:41
SM,San Marino,462,39,61,2020-04-20T23:36:27
SM,San Marino,476,40,62,2020-04-21T23:30:30
SM,San Marino,488,40,62,2020-04-22T23:30:32
SM,San Marino,501,40,63,2020-04-23T23:30:31
SM,San Marino,513,40,64,2020-04-24T21:30:34
SM,San Marino,513,40,64,2020-04-25T23:30:33
SM,San Marino,538,41,64,2020-04-26T23:30:31
SM,San Marino,538,41,64,2020-04-27T23:30:31
SM,San Marino,553,41,64,2020-04-28T23:32:24
SM,San Marino,563,41,69,2020-04-29T23:32:26
SM,San Marino,569,41,78,2020-04-30T23:32:27
SM,San Marino,580,41,82,2020-05-01T23:32:36
SM,San Marino,580,41,83,2020-05-02T23:32:31
SM,San Marino,582,41,86,2020-05-03T23:32:29
SM,San Marino,582,41,86,2020-05-04T22:32:33
SM,San Marino,589,41,92,2020-05-05T23:32:29
SM,San Marino,608,41,97,2020-05-06T23:32:28
SM,San Marino,622,41,106,2020-05-07T22:32:32
SM,San Marino,623,41,114,2020-05-08T23:32:35
SM,San Marino,637,41,126,2020-05-09T23:32:33
SM,San Marino,628,41,126,2020-05-10T23:32:32
SM,San Marino,628,41,130,2020-05-11T23:32:30
SM,San Marino,638,41,161,2020-05-12T23:32:26
SM,San Marino,643,41,161,2020-05-13T23:32:26
SM,San Marino,648,41,172,2020-05-14T23:32:28
SM,San Marino,652,41,189,2020-05-15T23:32:20
SM,San Marino,653,41,198,2020-05-16T23:32:19
SM,San Marino,654,41,201,2020-05-17T23:32:23
SM,San Marino,654,41,203,2020-05-18T23:32:29
SM,San Marino,655,41,211,2020-05-19T23:32:20
SM,San Marino,656,41,220,2020-05-20T23:32:52
SM,San Marino,658,41,235,2020-05-21T23:32:39
SM,San Marino,658,41,235,2020-05-22T12:32:39
