country,name,cases,deaths,recovered,last_update
SN,Senegal,1,0,0,2020-03-02T20:23:16
SN,Senegal,2,0,0,2020-03-03T23:53:03
SN,Senegal,4,0,0,2020-03-04T20:43:02
SN,Senegal,4,0,1,2020-03-08T20:23:08
SN,Senegal,10,0,1,2020-03-11T20:00:00
SN,Senegal,10,0,1,2020-03-13T23:33:05
SN,Senegal,24,0,2,2020-03-16T01:13:13
SN,Senegal,26,0,2,2020-03-17T12:33:06
SN,Senegal,31,0,2,2020-03-18T11:33:04
SN,Senegal,38,0,2,2020-03-20T15:43:24
SN,Senegal,47,0,5,2020-03-21T01:43:03
SN,Senegal,67,0,5,2020-03-22T23:45:00
SN,Senegal,79,0,8,2020-03-23T23:19:21
SN,Senegal,86,0,8,2020-03-24T23:37:15
SN,Senegal,99,0,9,2020-03-25T23:33:04
SN,Senegal,105,0,9,2020-03-26T23:48:18
SN,Senegal,119,0,11,2020-03-27T23:23:03
SN,Senegal,130,0,18,2020-03-28T23:05:25
SN,Senegal,142,0,27,2020-03-29T23:08:13
SN,Senegal,162,0,27,2020-03-30T22:52:33
SN,Senegal,175,0,40,2020-03-31T23:43:43
SN,Senegal,190,1,45,2020-04-01T21:58:34
SN,Senegal,195,1,55,2020-04-02T23:25:14
SN,Senegal,207,1,66,2020-04-03T23:56:18
SN,Senegal,219,2,72,2020-04-04T23:34:04
SN,Senegal,222,2,82,2020-04-05T23:06:26
SN,Senegal,226,2,92,2020-04-06T23:21:55
SN,Senegal,237,2,105,2020-04-07T23:04:29
SN,Senegal,244,2,113,2020-04-08T22:51:39
SN,Senegal,250,2,123,2020-04-09T23:02:19
SN,Senegal,265,2,137,2020-04-10T22:53:48
SN,Senegal,278,2,152,2020-04-11T23:56:45
SN,Senegal,278,2,152,2020-04-12T03:31:35
SN,Senegal,291,2,178,2020-04-13T23:07:34
SN,Senegal,299,2,183,2020-04-14T23:33:12
SN,Senegal,314,2,190,2020-04-15T22:56:32
SN,Senegal,335,2,194,2020-04-16T23:30:31
SN,Senegal,342,2,198,2020-04-17T23:30:32
SN,Senegal,350,3,211,2020-04-18T22:32:28
SN,Senegal,367,3,220,2020-04-19T23:40:41
SN,Senegal,377,5,235,2020-04-20T23:36:27
SN,Senegal,412,5,242,2020-04-21T23:30:30
SN,Senegal,442,6,253,2020-04-22T23:30:32
SN,Senegal,479,6,257,2020-04-23T23:30:31
SN,Senegal,545,7,262,2020-04-24T21:30:34
SN,Senegal,614,7,276,2020-04-25T23:30:33
SN,Senegal,671,8,283,2020-04-26T23:30:31
SN,Senegal,736,9,284,2020-04-27T23:30:31
SN,Senegal,823,9,296,2020-04-28T23:32:24
SN,Senegal,882,9,315,2020-04-29T23:32:26
SN,Senegal,933,9,334,2020-04-30T23:32:27
SN,Senegal,1024,9,356,2020-05-01T23:32:36
SN,Senegal,1115,9,368,2020-05-02T23:32:31
SN,Senegal,1182,9,372,2020-05-03T23:32:29
SN,Senegal,1271,10,415,2020-05-04T22:32:33
SN,Senegal,1329,11,470,2020-05-05T23:32:29
SN,Senegal,1433,12,493,2020-05-06T23:32:28
SN,Senegal,1492,13,562,2020-05-07T22:32:32
SN,Senegal,1551,13,611,2020-05-08T23:32:35
SN,Senegal,1634,17,643,2020-05-09T23:32:33
SN,Senegal,1709,19,650,2020-05-10T23:32:32
SN,Senegal,1886,19,715,2020-05-11T23:32:30
SN,Senegal,1995,19,742,2020-05-12T23:32:26
SN,Senegal,2105,21,782,2020-05-13T23:32:26
SN,Senegal,2189,23,842,2020-05-14T23:32:28
SN,Senegal,2310,25,890,2020-05-15T23:32:20
SN,Senegal,2429,25,949,2020-05-16T23:32:19
SN,Senegal,2480,25,973,2020-05-17T23:32:23
SN,Senegal,2544,26,1076,2020-05-18T23:32:29
SN,Senegal,2617,30,1133,2020-05-19T23:32:20
SN,Senegal,2714,30,1186,2020-05-20T23:32:52
SN,Senegal,2812,33,1251,2020-05-21T23:32:39
SN,Senegal,2909,33,1311,2020-05-22T12:32:39
