country,name,cases,deaths,recovered,last_update
SS,South Sudan,1,0,0,2020-04-05T23:06:26
SS,South Sudan,1,0,0,2020-04-06T23:21:55
SS,South Sudan,2,0,0,2020-04-07T23:04:29
SS,South Sudan,2,0,0,2020-04-08T22:51:39
SS,South Sudan,3,0,0,2020-04-09T23:02:19
SS,South Sudan,4,0,0,2020-04-10T22:53:48
SS,South Sudan,4,0,0,2020-04-11T23:56:45
SS,South Sudan,4,0,0,2020-04-12T03:31:35
SS,South Sudan,4,0,0,2020-04-13T23:07:34
SS,South Sudan,4,0,0,2020-04-14T23:33:12
SS,South Sudan,4,0,0,2020-04-15T22:56:32
SS,South Sudan,4,0,0,2020-04-16T23:30:31
SS,South Sudan,4,0,0,2020-04-17T23:30:32
SS,South Sudan,4,0,0,2020-04-18T22:32:28
SS,South Sudan,4,0,0,2020-04-19T23:40:41
SS,South Sudan,4,0,0,2020-04-20T23:36:27
SS,South Sudan,4,0,0,2020-04-21T23:30:30
SS,South Sudan,4,0,0,2020-04-22T23:30:32
SS,South Sudan,4,0,0,2020-04-23T23:30:31
SS,South Sudan,5,0,0,2020-04-24T21:30:34
SS,South Sudan,5,0,0,2020-04-25T23:30:33
SS,South Sudan,6,0,0,2020-04-26T23:30:31
SS,South Sudan,6,0,0,2020-04-27T23:30:31
SS,South Sudan,34,0,0,2020-04-28T23:32:24
SS,South Sudan,34,0,0,2020-04-29T23:32:26
SS,South Sudan,35,0,0,2020-04-30T23:32:27
SS,South Sudan,45,0,0,2020-05-01T23:32:36
SS,South Sudan,45,0,0,2020-05-02T23:32:31
SS,South Sudan,46,0,0,2020-05-03T23:32:29
SS,South Sudan,46,0,0,2020-05-04T22:32:33
SS,South Sudan,52,0,0,2020-05-05T23:32:29
SS,South Sudan,58,0,0,2020-05-06T23:32:28
SS,South Sudan,74,0,0,2020-05-07T22:32:32
SS,South Sudan,120,0,2,2020-05-08T23:32:35
SS,South Sudan,120,0,2,2020-05-09T23:32:33
SS,South Sudan,120,0,2,2020-05-10T23:32:32
SS,South Sudan,156,0,2,2020-05-11T23:32:30
SS,South Sudan,156,0,2,2020-05-12T23:32:26
SS,South Sudan,203,0,2,2020-05-13T23:32:26
SS,South Sudan,203,0,2,2020-05-14T23:32:28
SS,South Sudan,236,4,4,2020-05-15T23:32:20
SS,South Sudan,236,4,4,2020-05-16T23:32:19
SS,South Sudan,290,4,4,2020-05-17T23:32:23
SS,South Sudan,290,4,4,2020-05-18T18:01:58
