country,name,cases,deaths,recovered,last_update
SV,El Salvador,1,0,0,2020-03-19T14:53:06
SV,El Salvador,3,0,0,2020-03-21T12:43:08
SV,El Salvador,3,0,0,2020-03-22T23:45:00
SV,El Salvador,3,0,0,2020-03-23T23:19:21
SV,El Salvador,5,0,0,2020-03-24T23:37:15
SV,El Salvador,9,0,0,2020-03-25T23:33:04
SV,El Salvador,13,0,0,2020-03-26T23:48:18
SV,El Salvador,13,0,0,2020-03-27T23:23:03
SV,El Salvador,19,0,0,2020-03-28T23:05:25
SV,El Salvador,24,0,0,2020-03-29T23:08:13
SV,El Salvador,30,0,0,2020-03-30T22:52:33
SV,El Salvador,32,1,0,2020-03-31T23:43:43
SV,El Salvador,32,1,0,2020-04-01T21:58:34
SV,El Salvador,41,2,0,2020-04-02T23:25:14
SV,El Salvador,46,3,0,2020-04-03T23:56:18
SV,El Salvador,56,3,2,2020-04-04T23:34:04
SV,El Salvador,62,3,2,2020-04-05T23:06:26
SV,El Salvador,69,4,5,2020-04-06T23:21:55
SV,El Salvador,78,4,5,2020-04-07T23:04:29
SV,El Salvador,93,5,9,2020-04-08T22:51:39
SV,El Salvador,103,6,14,2020-04-09T23:02:19
SV,El Salvador,117,6,15,2020-04-10T22:53:48
SV,El Salvador,118,6,19,2020-04-11T23:56:45
SV,El Salvador,118,6,19,2020-04-12T03:31:35
SV,El Salvador,137,6,22,2020-04-13T23:07:34
SV,El Salvador,149,6,25,2020-04-14T23:33:12
SV,El Salvador,159,6,30,2020-04-15T22:56:32
SV,El Salvador,164,6,33,2020-04-16T23:30:31
SV,El Salvador,177,7,38,2020-04-17T23:30:32
SV,El Salvador,190,7,43,2020-04-18T22:32:28
SV,El Salvador,201,7,44,2020-04-19T23:40:41
SV,El Salvador,218,7,46,2020-04-20T23:36:27
SV,El Salvador,225,7,48,2020-04-21T23:30:30
SV,El Salvador,237,7,63,2020-04-22T23:30:32
SV,El Salvador,250,8,67,2020-04-23T23:30:31
SV,El Salvador,261,8,72,2020-04-24T21:30:34
SV,El Salvador,274,8,75,2020-04-25T23:30:33
SV,El Salvador,298,8,83,2020-04-26T23:30:31
SV,El Salvador,323,8,89,2020-04-27T23:30:31
SV,El Salvador,345,8,97,2020-04-28T23:32:24
SV,El Salvador,377,9,106,2020-04-29T23:32:26
SV,El Salvador,395,9,119,2020-04-30T23:32:27
SV,El Salvador,424,10,124,2020-05-01T23:32:36
SV,El Salvador,446,10,141,2020-05-02T23:32:31
SV,El Salvador,490,11,154,2020-05-03T23:32:29
SV,El Salvador,555,13,180,2020-05-04T22:32:33
SV,El Salvador,587,13,201,2020-05-05T23:32:29
SV,El Salvador,633,15,219,2020-05-06T23:32:28
SV,El Salvador,695,15,245,2020-05-07T22:32:32
SV,El Salvador,742,16,257,2020-05-08T23:32:35
SV,El Salvador,784,17,276,2020-05-09T23:32:33
SV,El Salvador,889,17,293,2020-05-10T23:32:32
SV,El Salvador,958,18,325,2020-05-11T23:32:30
SV,El Salvador,998,19,349,2020-05-12T23:32:26
SV,El Salvador,1037,20,374,2020-05-13T23:32:26
SV,El Salvador,1112,23,405,2020-05-14T23:32:28
SV,El Salvador,1210,23,416,2020-05-15T23:32:20
SV,El Salvador,1265,26,441,2020-05-16T23:32:19
SV,El Salvador,1338,27,462,2020-05-17T23:32:23
SV,El Salvador,1413,30,474,2020-05-18T18:01:58
