country,name,cases,deaths,recovered,last_update
SY,Syrian Arab Republic,1,0,0,2020-03-22T23:45:00
SY,Syrian Arab Republic,1,0,0,2020-03-23T23:19:21
SY,Syrian Arab Republic,1,0,0,2020-03-24T23:37:15
SY,Syrian Arab Republic,5,0,0,2020-03-25T23:33:04
SY,Syrian Arab Republic,5,0,0,2020-03-26T23:48:18
SY,Syrian Arab Republic,5,0,0,2020-03-27T23:23:03
SY,Syrian Arab Republic,5,0,0,2020-03-28T23:05:25
SY,Syrian Arab Republic,9,1,0,2020-03-29T23:08:13
SY,Syrian Arab Republic,10,2,0,2020-03-30T22:52:33
SY,Syrian Arab Republic,10,2,0,2020-03-31T23:43:43
SY,Syrian Arab Republic,10,2,0,2020-04-01T21:58:34
SY,Syrian Arab Republic,16,2,0,2020-04-02T23:25:14
SY,Syrian Arab Republic,16,2,0,2020-04-03T23:56:18
SY,Syrian Arab Republic,16,2,2,2020-04-04T23:34:04
SY,Syrian Arab Republic,19,2,2,2020-04-05T23:06:26
SY,Syrian Arab Republic,19,2,2,2020-04-06T23:21:55
SY,Syrian Arab Republic,19,2,3,2020-04-07T23:04:29
SY,Syrian Arab Republic,19,2,4,2020-04-08T22:51:39
SY,Syrian Arab Republic,19,2,4,2020-04-09T23:02:19
SY,Syrian Arab Republic,19,2,4,2020-04-10T22:53:48
SY,Syrian Arab Republic,25,2,5,2020-04-11T23:56:45
SY,Syrian Arab Republic,25,2,5,2020-04-12T03:31:35
SY,Syrian Arab Republic,25,2,5,2020-04-13T23:07:34
SY,Syrian Arab Republic,29,2,5,2020-04-14T23:33:12
SY,Syrian Arab Republic,33,2,5,2020-04-15T22:56:32
SY,Syrian Arab Republic,33,2,5,2020-04-16T23:30:31
SY,Syrian Arab Republic,38,2,5,2020-04-17T23:30:32
SY,Syrian Arab Republic,38,2,5,2020-04-18T22:32:28
SY,Syrian Arab Republic,39,3,5,2020-04-19T23:40:41
SY,Syrian Arab Republic,39,3,5,2020-04-20T23:36:27
SY,Syrian Arab Republic,42,3,6,2020-04-21T23:30:30
SY,Syrian Arab Republic,42,3,6,2020-04-22T23:30:32
SY,Syrian Arab Republic,42,3,6,2020-04-23T23:30:31
SY,Syrian Arab Republic,42,3,6,2020-04-24T21:30:34
SY,Syrian Arab Republic,42,3,11,2020-04-25T23:30:33
SY,Syrian Arab Republic,43,3,14,2020-04-26T23:30:31
SY,Syrian Arab Republic,43,3,19,2020-04-27T23:30:31
SY,Syrian Arab Republic,43,3,21,2020-04-28T23:32:24
SY,Syrian Arab Republic,43,3,21,2020-04-29T23:32:26
SY,Syrian Arab Republic,43,3,21,2020-04-30T23:32:27
SY,Syrian Arab Republic,44,3,27,2020-05-01T23:32:36
SY,Syrian Arab Republic,44,3,27,2020-05-02T23:32:31
SY,Syrian Arab Republic,44,3,27,2020-05-03T23:32:29
SY,Syrian Arab Republic,44,3,27,2020-05-04T22:32:33
SY,Syrian Arab Republic,44,3,27,2020-05-05T23:32:29
SY,Syrian Arab Republic,45,3,27,2020-05-06T23:32:28
SY,Syrian Arab Republic,45,3,27,2020-05-07T22:32:32
SY,Syrian Arab Republic,47,3,29,2020-05-08T23:32:35
SY,Syrian Arab Republic,47,3,29,2020-05-09T23:32:33
SY,Syrian Arab Republic,47,3,29,2020-05-10T23:32:32
SY,Syrian Arab Republic,47,3,29,2020-05-11T23:32:30
SY,Syrian Arab Republic,47,3,29,2020-05-12T23:32:26
SY,Syrian Arab Republic,48,3,29,2020-05-13T23:32:26
SY,Syrian Arab Republic,48,3,29,2020-05-14T23:32:28
SY,Syrian Arab Republic,50,3,36,2020-05-15T23:32:20
SY,Syrian Arab Republic,51,3,36,2020-05-16T23:32:19
SY,Syrian Arab Republic,58,3,36,2020-05-17T23:32:23
SY,Syrian Arab Republic,58,3,36,2020-05-18T18:01:58
