country,name,cases,deaths,recovered,last_update
SZ,Swaziland,1,0,0,2020-03-14T13:13:25
SZ,Swaziland,1,0,0,2020-03-15T06:41:54
SZ,Swaziland,4,0,0,2020-03-22T23:45:00
SZ,Swaziland,4,0,0,2020-03-23T23:19:21
SZ,Swaziland,4,0,0,2020-03-24T23:37:15
SZ,Swaziland,4,0,0,2020-03-25T23:33:04
SZ,Swaziland,6,0,0,2020-03-26T23:48:18
SZ,Swaziland,9,0,0,2020-03-27T23:23:03
SZ,Swaziland,9,0,0,2020-03-28T23:05:25
SZ,Swaziland,9,0,0,2020-03-29T23:08:13
SZ,Swaziland,9,0,0,2020-03-30T22:52:33
SZ,Swaziland,9,0,0,2020-03-31T23:43:43
SZ,Swaziland,9,0,0,2020-04-01T21:58:34
SZ,Swaziland,9,0,0,2020-04-02T23:25:14
SZ,Swaziland,9,0,0,2020-04-03T23:56:18
SZ,Swaziland,9,0,0,2020-04-04T23:34:04
SZ,Swaziland,9,0,0,2020-04-05T23:06:26
SZ,Swaziland,10,0,4,2020-04-06T23:21:55
SZ,Swaziland,10,0,4,2020-04-07T23:04:29
SZ,Swaziland,12,0,7,2020-04-08T22:51:39
SZ,Swaziland,12,0,7,2020-04-09T23:02:19
SZ,Swaziland,12,0,7,2020-04-10T22:53:48
SZ,Swaziland,12,0,7,2020-04-11T23:56:45
SZ,Swaziland,12,0,7,2020-04-12T03:31:35
SZ,Swaziland,15,0,7,2020-04-13T23:07:34
SZ,Swaziland,15,0,8,2020-04-14T23:33:12
SZ,Swaziland,15,0,8,2020-04-15T22:56:32
SZ,Swaziland,16,1,8,2020-04-16T23:30:31
SZ,Swaziland,16,1,8,2020-04-17T23:30:32
SZ,Swaziland,22,1,8,2020-04-18T22:32:28
SZ,Swaziland,22,1,8,2020-04-19T23:40:41
SZ,Swaziland,24,1,8,2020-04-20T23:36:27
SZ,Swaziland,31,1,8,2020-04-21T23:30:30
SZ,Swaziland,31,1,8,2020-04-22T23:30:32
SZ,Swaziland,31,1,8,2020-04-23T23:30:31
SZ,Swaziland,36,1,10,2020-04-24T21:30:34
SZ,Swaziland,56,1,10,2020-04-25T23:30:33
SZ,Swaziland,59,1,10,2020-04-26T23:30:31
SZ,Swaziland,65,1,10,2020-04-27T23:30:31
SZ,Swaziland,71,1,10,2020-04-28T23:32:24
SZ,Swaziland,91,1,10,2020-04-29T23:32:26
SZ,Swaziland,100,1,12,2020-04-30T23:32:27
SZ,Swaziland,106,1,12,2020-05-01T23:32:36
SZ,Swaziland,108,1,12,2020-05-02T23:32:31
SZ,Swaziland,112,1,12,2020-05-03T23:32:29
SZ,Swaziland,116,1,12,2020-05-04T22:32:33
SZ,Swaziland,119,1,12,2020-05-05T23:32:29
SZ,Swaziland,123,2,12,2020-05-06T23:32:28
SZ,Swaziland,153,2,12,2020-05-07T22:32:32
SZ,Swaziland,159,2,12,2020-05-08T23:32:35
SZ,Swaziland,163,2,14,2020-05-09T23:32:33
SZ,Swaziland,163,2,14,2020-05-10T23:32:32
SZ,Swaziland,175,2,28,2020-05-11T23:32:30
SZ,Swaziland,184,2,28,2020-05-12T23:32:26
SZ,Swaziland,187,2,48,2020-05-13T23:32:26
SZ,Swaziland,187,2,51,2020-05-14T23:32:28
SZ,Swaziland,190,2,66,2020-05-15T23:32:20
SZ,Swaziland,202,2,72,2020-05-16T23:32:19
SZ,Swaziland,203,2,73,2020-05-17T23:32:23
SZ,Swaziland,205,2,78,2020-05-18T23:32:29
SZ,Swaziland,208,2,87,2020-05-19T23:32:20
SZ,Swaziland,217,2,97,2020-05-20T23:32:52
SZ,Swaziland,220,2,112,2020-05-21T23:32:39
SZ,Swaziland,225,2,119,2020-05-22T23:32:40
SZ,Swaziland,238,2,119,2020-05-23T19:06:14
