country,name,cases,deaths,recovered,last_update
TD,Chad,1,0,0,2020-03-19T16:43:03
TD,Chad,1,0,0,2020-03-21T03:13:14
TD,Chad,1,0,0,2020-03-22T23:45:00
TD,Chad,1,0,0,2020-03-23T23:19:21
TD,Chad,3,0,0,2020-03-24T23:37:15
TD,Chad,3,0,0,2020-03-25T23:33:04
TD,Chad,3,0,0,2020-03-26T23:48:18
TD,Chad,3,0,0,2020-03-27T23:23:03
TD,Chad,3,0,0,2020-03-28T23:05:25
TD,Chad,3,0,0,2020-03-29T23:08:13
TD,Chad,5,0,0,2020-03-30T22:52:33
TD,Chad,7,0,0,2020-03-31T23:43:43
TD,Chad,7,0,0,2020-04-01T21:58:34
TD,Chad,8,0,0,2020-04-02T23:25:14
TD,Chad,8,0,0,2020-04-03T23:56:18
TD,Chad,9,0,0,2020-04-04T23:34:04
TD,Chad,9,0,0,2020-04-05T23:06:26
TD,Chad,9,0,0,2020-04-06T23:21:55
TD,Chad,10,0,2,2020-04-07T23:04:29
TD,Chad,10,0,2,2020-04-08T22:51:39
TD,Chad,11,0,2,2020-04-09T23:02:19
TD,Chad,11,0,2,2020-04-10T22:53:48
TD,Chad,11,0,2,2020-04-11T23:56:45
TD,Chad,11,0,2,2020-04-12T03:31:35
TD,Chad,23,0,2,2020-04-13T23:07:34
TD,Chad,23,0,2,2020-04-14T23:33:12
TD,Chad,23,0,2,2020-04-15T22:56:32
TD,Chad,27,0,5,2020-04-16T23:30:31
TD,Chad,27,0,5,2020-04-17T23:30:32
TD,Chad,33,0,8,2020-04-18T22:32:28
TD,Chad,33,0,8,2020-04-19T23:40:41
TD,Chad,33,0,8,2020-04-20T23:36:27
TD,Chad,33,0,8,2020-04-21T23:30:30
TD,Chad,33,0,8,2020-04-22T23:30:32
TD,Chad,33,0,8,2020-04-23T23:30:31
TD,Chad,40,0,8,2020-04-24T21:30:34
TD,Chad,46,0,15,2020-04-25T23:30:33
TD,Chad,46,0,15,2020-04-26T23:30:31
TD,Chad,46,0,15,2020-04-27T23:30:31
TD,Chad,52,2,19,2020-04-28T23:32:24
TD,Chad,52,2,19,2020-04-29T23:32:26
TD,Chad,73,5,33,2020-04-30T23:32:27
TD,Chad,73,5,33,2020-05-01T23:32:36
TD,Chad,117,10,39,2020-05-02T23:32:31
TD,Chad,117,10,39,2020-05-03T23:32:29
TD,Chad,117,10,39,2020-05-04T22:32:33
TD,Chad,170,17,43,2020-05-05T23:32:29
TD,Chad,170,17,43,2020-05-06T23:32:28
TD,Chad,253,27,50,2020-05-07T22:32:32
TD,Chad,260,28,50,2020-05-08T23:32:35
TD,Chad,322,31,53,2020-05-09T23:32:33
TD,Chad,322,31,53,2020-05-10T23:32:32
TD,Chad,322,31,53,2020-05-11T23:32:30
TD,Chad,357,40,76,2020-05-12T23:32:26
TD,Chad,372,42,78,2020-05-13T23:32:26
TD,Chad,399,46,83,2020-05-14T23:32:28
TD,Chad,428,48,88,2020-05-15T23:32:20
TD,Chad,474,50,111,2020-05-16T23:32:19
TD,Chad,503,53,117,2020-05-17T23:32:23
TD,Chad,519,53,117,2020-05-18T23:32:29
TD,Chad,545,56,139,2020-05-19T23:32:20
TD,Chad,565,57,177,2020-05-20T23:32:52
TD,Chad,588,58,186,2020-05-21T23:32:39
TD,Chad,611,58,196,2020-05-22T23:32:40
TD,Chad,648,60,204,2020-05-23T19:06:14
