country,name,cases,deaths,recovered,last_update
TG,Togo,1,0,0,2020-03-06T15:33:03
TG,Togo,1,0,0,2020-03-07T02:13:09
TG,Togo,1,0,0,2020-03-11T20:00:00
TG,Togo,1,0,0,2020-03-13T22:22:02
TG,Togo,9,0,1,2020-03-20T14:43:04
TG,Togo,16,0,1,2020-03-21T17:43:03
TG,Togo,16,0,0,2020-03-22T23:45:00
TG,Togo,18,0,0,2020-03-23T23:19:21
TG,Togo,20,0,1,2020-03-24T23:37:15
TG,Togo,23,0,1,2020-03-25T23:33:04
TG,Togo,23,0,1,2020-03-26T23:48:18
TG,Togo,25,1,1,2020-03-27T23:23:03
TG,Togo,25,1,1,2020-03-28T23:05:25
TG,Togo,25,1,1,2020-03-29T23:08:13
TG,Togo,30,1,1,2020-03-30T22:52:33
TG,Togo,34,1,10,2020-03-31T23:43:43
TG,Togo,36,2,10,2020-04-01T21:58:34
TG,Togo,39,2,17,2020-04-02T23:25:14
TG,Togo,40,3,17,2020-04-03T23:56:18
TG,Togo,41,3,17,2020-04-04T23:34:04
TG,Togo,44,3,20,2020-04-05T23:06:26
TG,Togo,58,3,23,2020-04-06T23:21:55
TG,Togo,65,3,23,2020-04-07T23:04:29
TG,Togo,70,3,23,2020-04-08T22:51:39
TG,Togo,73,3,24,2020-04-09T23:02:19
TG,Togo,76,3,25,2020-04-10T22:53:48
TG,Togo,76,3,25,2020-04-11T23:56:45
TG,Togo,76,3,25,2020-04-12T03:31:35
TG,Togo,77,3,29,2020-04-13T23:07:34
TG,Togo,77,3,32,2020-04-14T23:33:12
TG,Togo,81,3,35,2020-04-15T22:56:32
TG,Togo,81,5,45,2020-04-16T23:30:31
TG,Togo,83,5,48,2020-04-17T23:30:32
TG,Togo,84,5,49,2020-04-18T22:32:28
TG,Togo,84,5,52,2020-04-19T23:40:41
TG,Togo,84,6,53,2020-04-20T23:36:27
TG,Togo,86,6,56,2020-04-21T23:30:30
TG,Togo,88,6,56,2020-04-22T23:30:32
TG,Togo,88,6,59,2020-04-23T23:30:31
TG,Togo,90,6,59,2020-04-24T21:30:34
TG,Togo,96,6,62,2020-04-25T23:30:33
TG,Togo,98,6,62,2020-04-26T23:30:31
TG,Togo,98,6,62,2020-04-27T23:30:31
TG,Togo,99,6,63,2020-04-28T23:32:24
TG,Togo,109,7,64,2020-04-29T23:32:26
TG,Togo,116,9,65,2020-04-30T23:32:27
TG,Togo,123,9,66,2020-05-01T23:32:36
TG,Togo,123,9,66,2020-05-02T23:32:31
TG,Togo,124,9,67,2020-05-03T23:32:29
TG,Togo,126,9,74,2020-05-04T22:32:33
TG,Togo,128,9,74,2020-05-05T23:32:29
TG,Togo,128,9,77,2020-05-06T23:32:28
TG,Togo,135,9,85,2020-05-07T22:32:32
TG,Togo,145,10,85,2020-05-08T23:32:35
TG,Togo,153,10,87,2020-05-09T23:32:33
TG,Togo,173,11,89,2020-05-10T23:32:32
TG,Togo,181,11,89,2020-05-11T23:32:30
TG,Togo,199,11,92,2020-05-12T23:32:26
TG,Togo,219,11,96,2020-05-13T23:32:26
TG,Togo,238,11,96,2020-05-14T23:32:28
TG,Togo,263,11,96,2020-05-15T23:32:20
TG,Togo,298,11,99,2020-05-16T23:32:19
TG,Togo,301,11,104,2020-05-17T23:32:23
TG,Togo,301,11,104,2020-05-18T18:01:58
