country,name,cases,deaths,recovered,last_update
TH,Thailand,2,0,0,2020-01-22T17:00:00
TH,Thailand,3,0,0,2020-01-23T17:00:00
TH,Thailand,5,0,0,2020-01-24T17:00:00
TH,Thailand,7,0,0,2020-01-25T17:00:00
TH,Thailand,8,0,2,2020-01-26T16:00:00
TH,Thailand,8,0,2,2020-01-27T23:59:00
TH,Thailand,14,0,5,2020-01-28T23:00:00
TH,Thailand,14,0,5,2020-01-29T19:30:00
TH,Thailand,14,0,5,2020-01-30T16:00:00
TH,Thailand,19,0,5,2020-01-31T10:37:00
TH,Thailand,19,0,5,2020-01-31T23:59:00
TH,Thailand,25,0,5,2020-02-04T15:33:03
TH,Thailand,32,0,10,2020-02-08T12:53:01
TH,Thailand,33,0,10,2020-02-11T18:43:04
TH,Thailand,33,0,12,2020-02-13T17:53:03
TH,Thailand,34,0,14,2020-02-16T18:03:02
TH,Thailand,35,0,15,2020-02-17T07:33:02
TH,Thailand,35,0,17,2020-02-21T18:53:02
TH,Thailand,35,0,21,2020-02-23T15:03:05
TH,Thailand,37,0,22,2020-02-25T08:53:02
TH,Thailand,40,0,22,2020-02-26T07:23:03
TH,Thailand,41,0,28,2020-02-28T07:53:02
TH,Thailand,42,0,28,2020-02-29T12:33:03
TH,Thailand,42,1,28,2020-03-01T07:13:07
TH,Thailand,43,1,31,2020-03-02T06:23:04
TH,Thailand,47,1,31,2020-03-05T06:23:06
TH,Thailand,48,1,31,2020-03-06T08:33:03
TH,Thailand,50,1,31,2020-03-07T10:13:23
TH,Thailand,53,1,33,2020-03-10T08:53:03
TH,Thailand,59,1,34,2020-03-11T09:13:10
TH,Thailand,75,1,35,2020-03-11T20:00:00
TH,Thailand,70,1,34,2020-03-12T08:53:02
TH,Thailand,82,1,35,2020-03-14T12:13:12
TH,Thailand,114,1,35,2020-03-15T18:20:18
TH,Thailand,147,1,35,2020-03-16T14:38:45
TH,Thailand,177,1,41,2020-03-17T10:33:03
TH,Thailand,212,1,42,2020-03-18T10:53:02
TH,Thailand,272,1,42,2020-03-19T10:13:16
TH,Thailand,322,1,42,2020-03-20T14:13:08
TH,Thailand,411,1,42,2020-03-21T12:13:19
TH,Thailand,599,1,44,2020-03-22T23:45:00
TH,Thailand,721,1,52,2020-03-23T23:19:21
TH,Thailand,827,4,52,2020-03-24T23:37:15
TH,Thailand,934,4,70,2020-03-25T23:33:04
TH,Thailand,1045,4,88,2020-03-26T23:48:18
TH,Thailand,1136,5,97,2020-03-27T23:23:03
TH,Thailand,1245,6,97,2020-03-28T23:05:25
TH,Thailand,1388,7,97,2020-03-29T23:08:13
TH,Thailand,1524,9,229,2020-03-30T22:52:33
TH,Thailand,1651,10,342,2020-03-31T23:43:43
TH,Thailand,1771,12,505,2020-04-01T21:58:34
TH,Thailand,1875,15,505,2020-04-02T23:25:14
TH,Thailand,1978,19,612,2020-04-03T23:56:18
