country,name,cases,deaths,recovered,last_update
TJ,Tajikistan,15,0,0,2020-04-30T23:32:27
TJ,Tajikistan,15,0,0,2020-05-01T23:32:36
TJ,Tajikistan,76,2,0,2020-05-02T23:32:31
TJ,Tajikistan,128,2,0,2020-05-03T23:32:29
TJ,Tajikistan,230,3,0,2020-05-04T22:32:33
TJ,Tajikistan,293,5,0,2020-05-05T23:32:29
TJ,Tajikistan,379,8,0,2020-05-06T23:32:28
TJ,Tajikistan,461,12,0,2020-05-07T22:32:32
TJ,Tajikistan,522,12,0,2020-05-08T23:32:35
TJ,Tajikistan,612,20,0,2020-05-09T23:32:33
TJ,Tajikistan,612,20,0,2020-05-10T23:32:32
TJ,Tajikistan,661,21,0,2020-05-11T23:32:30
TJ,Tajikistan,729,21,0,2020-05-12T23:32:26
TJ,Tajikistan,801,23,0,2020-05-13T23:32:26
TJ,Tajikistan,907,29,0,2020-05-14T23:32:28
TJ,Tajikistan,1118,33,0,2020-05-15T23:32:20
TJ,Tajikistan,1322,36,0,2020-05-16T23:32:19
TJ,Tajikistan,1524,39,0,2020-05-17T23:32:23
TJ,Tajikistan,1729,41,0,2020-05-18T23:32:29
TJ,Tajikistan,1936,41,641,2020-05-19T23:32:20
TJ,Tajikistan,2140,41,641,2020-05-20T23:32:52
TJ,Tajikistan,2350,44,470,2020-05-21T23:32:39
TJ,Tajikistan,2551,44,1089,2020-05-22T23:32:40
TJ,Tajikistan,2738,44,1223,2020-05-23T19:06:14
