country,name,cases,deaths,recovered,last_update
TN,Tunisia,1,0,0,2020-03-04T01:33:07
TN,Tunisia,2,0,0,2020-03-08T21:13:10
TN,Tunisia,5,0,0,2020-03-10T05:13:07
TN,Tunisia,7,0,0,2020-03-11T18:52:03
TN,Tunisia,16,0,0,2020-03-11T20:00:00
TN,Tunisia,18,0,0,2020-03-14T20:53:02
TN,Tunisia,20,0,0,2020-03-16T01:13:13
TN,Tunisia,24,0,0,2020-03-17T11:53:10
TN,Tunisia,29,0,0,2020-03-18T12:33:03
TN,Tunisia,39,1,0,2020-03-19T18:13:29
TN,Tunisia,54,1,0,2020-03-20T15:13:21
TN,Tunisia,60,1,0,2020-03-21T15:13:45
TN,Tunisia,75,3,1,2020-03-22T23:45:00
TN,Tunisia,89,3,1,2020-03-23T23:19:21
TN,Tunisia,114,4,1,2020-03-24T23:37:15
TN,Tunisia,173,5,2,2020-03-25T23:33:04
TN,Tunisia,197,6,2,2020-03-26T23:48:18
TN,Tunisia,227,6,2,2020-03-27T23:23:03
TN,Tunisia,278,8,2,2020-03-28T23:05:25
TN,Tunisia,312,8,2,2020-03-29T23:08:13
TN,Tunisia,312,8,3,2020-03-30T22:52:33
TN,Tunisia,394,10,3,2020-03-31T23:43:43
TN,Tunisia,423,12,5,2020-04-01T21:58:34
TN,Tunisia,455,14,5,2020-04-02T23:25:14
TN,Tunisia,495,18,5,2020-04-03T23:56:18
TN,Tunisia,553,18,5,2020-04-04T23:34:04
TN,Tunisia,574,22,5,2020-04-05T23:06:26
TN,Tunisia,596,22,5,2020-04-06T23:21:55
TN,Tunisia,623,23,25,2020-04-07T23:04:29
TN,Tunisia,628,24,25,2020-04-08T22:51:39
TN,Tunisia,643,25,25,2020-04-09T23:02:19
TN,Tunisia,671,25,25,2020-04-10T22:53:48
TN,Tunisia,685,28,43,2020-04-11T23:56:45
TN,Tunisia,685,28,43,2020-04-12T03:31:35
TN,Tunisia,726,34,43,2020-04-13T23:07:34
TN,Tunisia,747,34,43,2020-04-14T23:33:12
TN,Tunisia,780,35,43,2020-04-15T22:56:32
TN,Tunisia,822,37,43,2020-04-16T23:30:31
TN,Tunisia,864,37,43,2020-04-17T23:30:32
TN,Tunisia,864,37,43,2020-04-18T22:32:28
TN,Tunisia,879,38,43,2020-04-19T23:40:41
TN,Tunisia,884,38,148,2020-04-20T23:36:27
TN,Tunisia,884,38,148,2020-04-21T23:30:30
TN,Tunisia,909,38,190,2020-04-22T23:30:32
TN,Tunisia,918,38,190,2020-04-23T23:30:31
TN,Tunisia,918,38,190,2020-04-24T21:30:34
TN,Tunisia,939,38,207,2020-04-25T23:30:33
TN,Tunisia,949,38,216,2020-04-26T23:30:31
TN,Tunisia,967,39,279,2020-04-27T23:30:31
TN,Tunisia,975,40,279,2020-04-28T23:32:24
TN,Tunisia,980,40,294,2020-04-29T23:32:26
TN,Tunisia,994,41,305,2020-04-30T23:32:27
TN,Tunisia,998,41,316,2020-05-01T23:32:36
TN,Tunisia,1009,42,323,2020-05-02T23:32:31
TN,Tunisia,1013,42,328,2020-05-03T23:32:29
TN,Tunisia,1018,43,406,2020-05-04T22:32:33
TN,Tunisia,1022,43,482,2020-05-05T23:32:29
TN,Tunisia,1022,43,482,2020-05-06T23:32:28
TN,Tunisia,1025,43,591,2020-05-07T22:32:32
TN,Tunisia,1026,44,600,2020-05-08T23:32:35
TN,Tunisia,1030,45,638,2020-05-09T23:32:33
TN,Tunisia,1032,45,660,2020-05-10T23:32:32
TN,Tunisia,1032,45,700,2020-05-11T23:32:30
TN,Tunisia,1032,45,727,2020-05-12T23:32:26
TN,Tunisia,1032,45,740,2020-05-13T23:32:26
TN,Tunisia,1032,45,759,2020-05-14T23:32:28
TN,Tunisia,1032,45,770,2020-05-15T23:32:20
TN,Tunisia,1035,45,802,2020-05-16T23:32:19
TN,Tunisia,1037,45,807,2020-05-17T23:32:23
TN,Tunisia,1037,45,816,2020-05-18T18:01:58
