country,name,cases,deaths,recovered,last_update
TR,Turkey,1,0,0,2020-03-11T03:33:05
TR,Turkey,5,0,0,2020-03-11T20:00:00
TR,Turkey,5,0,0,2020-03-13T23:33:06
TR,Turkey,6,0,0,2020-03-15T18:20:18
TR,Turkey,18,0,0,2020-03-16T01:13:13
TR,Turkey,47,1,0,2020-03-17T22:13:16
TR,Turkey,98,1,0,2020-03-18T02:33:06
TR,Turkey,192,3,0,2020-03-19T16:43:03
TR,Turkey,359,4,0,2020-03-20T01:43:03
TR,Turkey,670,9,0,2020-03-21T01:43:03
TR,Turkey,1236,30,0,2020-03-22T23:45:00
TR,Turkey,1529,37,0,2020-03-23T23:19:21
TR,Turkey,1872,44,0,2020-03-24T23:37:15
TR,Turkey,2433,59,26,2020-03-25T23:33:04
TR,Turkey,3629,75,26,2020-03-26T23:48:18
TR,Turkey,5698,92,42,2020-03-27T23:23:03
TR,Turkey,7402,108,70,2020-03-28T23:05:25
TR,Turkey,9217,131,105,2020-03-29T23:08:13
TR,Turkey,10827,168,162,2020-03-30T22:52:33
TR,Turkey,13531,214,243,2020-03-31T23:43:43
TR,Turkey,15679,277,333,2020-04-01T21:58:34
TR,Turkey,18135,356,415,2020-04-02T23:25:14
TR,Turkey,20921,425,484,2020-04-03T23:56:18
TR,Turkey,23934,501,786,2020-04-04T23:34:04
TR,Turkey,27069,574,1042,2020-04-05T23:06:26
TR,Turkey,30217,649,1326,2020-04-06T23:21:55
TR,Turkey,34109,725,1582,2020-04-07T23:04:29
TR,Turkey,38226,812,1846,2020-04-08T22:51:39
TR,Turkey,42282,908,2142,2020-04-09T23:02:19
TR,Turkey,47029,1006,2423,2020-04-10T22:53:48
TR,Turkey,52167,1101,2965,2020-04-11T23:56:45
TR,Turkey,52167,1101,2965,2020-04-12T03:31:35
TR,Turkey,61049,1296,3957,2020-04-13T23:07:34
TR,Turkey,65111,1403,4799,2020-04-14T23:33:12
TR,Turkey,69392,1518,5674,2020-04-15T22:56:32
TR,Turkey,74193,1643,7089,2020-04-16T23:30:31
TR,Turkey,78546,1769,8631,2020-04-17T23:30:32
TR,Turkey,82329,1890,10453,2020-04-18T22:32:28
TR,Turkey,86306,2017,11976,2020-04-19T23:40:41
TR,Turkey,90980,2140,13430,2020-04-20T23:36:27
TR,Turkey,95591,2259,14918,2020-04-21T23:30:30
TR,Turkey,98674,2376,16477,2020-04-22T23:30:32
TR,Turkey,101790,2491,18491,2020-04-23T23:30:31
TR,Turkey,104912,2600,21737,2020-04-24T21:30:34
TR,Turkey,107773,2706,25582,2020-04-25T23:30:33
TR,Turkey,110130,2805,29140,2020-04-26T23:30:31
TR,Turkey,112261,2900,33791,2020-04-27T23:30:31
TR,Turkey,114653,2992,38809,2020-04-28T23:32:24
TR,Turkey,117589,3081,44040,2020-04-29T23:32:26
TR,Turkey,120204,3174,48886,2020-04-30T23:32:27
TR,Turkey,122392,3258,53808,2020-05-01T23:32:36
TR,Turkey,124375,3336,58259,2020-05-02T23:32:31
TR,Turkey,126045,3397,63151,2020-05-03T23:32:29
TR,Turkey,127659,3461,68166,2020-05-04T22:32:33
TR,Turkey,129491,3520,73285,2020-05-05T23:32:29
TR,Turkey,131744,3584,78202,2020-05-06T23:32:28
TR,Turkey,133721,3641,82984,2020-05-07T22:32:32
TR,Turkey,135569,3689,86396,2020-05-08T23:32:35
TR,Turkey,137115,3739,89480,2020-05-09T23:32:33
TR,Turkey,138657,3786,92691,2020-05-10T23:32:32
TR,Turkey,139771,3841,95780,2020-05-11T23:32:30
TR,Turkey,141475,3894,98889,2020-05-12T23:32:26
TR,Turkey,143114,3952,101715,2020-05-13T23:32:26
TR,Turkey,144749,4007,104030,2020-05-14T23:32:28
TR,Turkey,146457,4055,106133,2020-05-15T23:32:20
TR,Turkey,148067,4096,108137,2020-05-16T23:32:19
TR,Turkey,149435,4140,109962,2020-05-17T23:32:23
TR,Turkey,150593,4171,111577,2020-05-18T23:32:29
TR,Turkey,150593,4171,111577,2020-05-19T14:32:25
