country,name,cases,deaths,recovered,last_update
TT,Trinidad and Tobago,2,0,0,2020-03-14T16:15:01
TT,Trinidad and Tobago,4,0,0,2020-03-16T14:38:45
TT,Trinidad and Tobago,5,0,0,2020-03-17T15:53:13
TT,Trinidad and Tobago,7,0,0,2020-03-18T11:53:04
TT,Trinidad and Tobago,9,0,0,2020-03-19T10:53:03
TT,Trinidad and Tobago,49,0,1,2020-03-21T17:43:03
TT,Trinidad and Tobago,50,0,0,2020-03-22T23:45:00
TT,Trinidad and Tobago,51,0,0,2020-03-23T23:19:21
TT,Trinidad and Tobago,57,0,0,2020-03-24T23:37:15
TT,Trinidad and Tobago,60,1,0,2020-03-25T23:33:04
TT,Trinidad and Tobago,65,1,0,2020-03-26T23:48:18
TT,Trinidad and Tobago,66,2,1,2020-03-27T23:23:03
TT,Trinidad and Tobago,74,3,1,2020-03-28T23:05:25
TT,Trinidad and Tobago,78,3,1,2020-03-29T23:08:13
TT,Trinidad and Tobago,82,3,1,2020-03-30T22:52:33
TT,Trinidad and Tobago,87,3,1,2020-03-31T23:43:43
TT,Trinidad and Tobago,90,5,1,2020-04-01T21:58:34
TT,Trinidad and Tobago,94,5,1,2020-04-02T23:25:14
TT,Trinidad and Tobago,98,6,1,2020-04-03T23:56:18
TT,Trinidad and Tobago,103,6,1,2020-04-04T23:34:04
TT,Trinidad and Tobago,104,7,1,2020-04-05T23:06:26
TT,Trinidad and Tobago,105,8,1,2020-04-06T23:21:55
TT,Trinidad and Tobago,107,8,1,2020-04-07T23:04:29
TT,Trinidad and Tobago,107,8,1,2020-04-08T22:51:39
TT,Trinidad and Tobago,109,8,1,2020-04-09T23:02:19
TT,Trinidad and Tobago,109,8,1,2020-04-10T22:53:48
TT,Trinidad and Tobago,112,8,12,2020-04-11T23:56:45
TT,Trinidad and Tobago,112,8,12,2020-04-12T03:31:35
TT,Trinidad and Tobago,113,8,16,2020-04-13T23:07:34
TT,Trinidad and Tobago,113,8,17,2020-04-14T23:33:12
TT,Trinidad and Tobago,114,8,19,2020-04-15T22:56:32
TT,Trinidad and Tobago,114,8,20,2020-04-16T23:30:31
TT,Trinidad and Tobago,114,8,20,2020-04-17T23:30:32
TT,Trinidad and Tobago,114,8,21,2020-04-18T22:32:28
TT,Trinidad and Tobago,114,8,21,2020-04-19T23:40:41
TT,Trinidad and Tobago,114,8,22,2020-04-20T23:36:27
TT,Trinidad and Tobago,115,8,28,2020-04-21T23:30:30
TT,Trinidad and Tobago,115,8,37,2020-04-22T23:30:32
TT,Trinidad and Tobago,115,8,45,2020-04-23T23:30:31
TT,Trinidad and Tobago,115,8,48,2020-04-24T21:30:34
TT,Trinidad and Tobago,115,8,53,2020-04-25T23:30:33
TT,Trinidad and Tobago,115,8,54,2020-04-26T23:30:31
TT,Trinidad and Tobago,116,8,59,2020-04-27T23:30:31
TT,Trinidad and Tobago,116,8,59,2020-04-28T23:32:24
TT,Trinidad and Tobago,116,8,68,2020-04-29T23:32:26
TT,Trinidad and Tobago,116,8,72,2020-04-30T23:32:27
TT,Trinidad and Tobago,116,8,81,2020-05-01T23:32:36
TT,Trinidad and Tobago,116,8,88,2020-05-02T23:32:31
TT,Trinidad and Tobago,116,8,88,2020-05-03T23:32:29
TT,Trinidad and Tobago,116,8,99,2020-05-04T22:32:33
TT,Trinidad and Tobago,116,8,102,2020-05-05T23:32:29
TT,Trinidad and Tobago,116,8,103,2020-05-06T23:32:28
TT,Trinidad and Tobago,116,8,103,2020-05-07T22:32:32
TT,Trinidad and Tobago,116,8,103,2020-05-08T23:32:35
TT,Trinidad and Tobago,116,8,104,2020-05-09T23:32:33
TT,Trinidad and Tobago,116,8,107,2020-05-10T23:32:32
TT,Trinidad and Tobago,116,8,107,2020-05-11T23:32:30
TT,Trinidad and Tobago,116,8,107,2020-05-12T23:32:26
TT,Trinidad and Tobago,116,8,107,2020-05-13T23:32:26
TT,Trinidad and Tobago,116,8,107,2020-05-14T23:32:28
TT,Trinidad and Tobago,116,8,107,2020-05-15T23:32:20
TT,Trinidad and Tobago,116,8,107,2020-05-16T23:32:19
TT,Trinidad and Tobago,116,8,107,2020-05-17T23:32:23
TT,Trinidad and Tobago,116,8,107,2020-05-18T23:32:29
TT,Trinidad and Tobago,116,8,107,2020-05-19T14:32:25
