country,name,cases,deaths,recovered,last_update
TW,Taiwan,1,0,0,2020-01-22T17:00:00
TW,Taiwan,1,0,0,2020-01-23T17:00:00
TW,Taiwan,3,0,0,2020-01-24T17:00:00
TW,Taiwan,3,0,0,2020-01-25T17:00:00
TW,Taiwan,4,0,0,2020-01-26T16:00:00
TW,Taiwan,5,0,0,2020-01-27T23:59:00
TW,Taiwan,8,0,0,2020-01-28T23:00:00
TW,Taiwan,8,0,0,2020-01-29T19:30:00
TW,Taiwan,9,0,0,2020-01-30T16:00:00
TW,Taiwan,10,0,0,2020-01-31T15:20:00
TW,Taiwan,10,0,0,2020-01-31T15:20:56
TW,Taiwan,10,0,0,2020-01-31T23:59:00
TW,Taiwan,11,0,0,2020-02-04T14:53:02
TW,Taiwan,16,0,1,2020-02-06T15:03:04
TW,Taiwan,17,0,1,2020-02-08T05:23:02
TW,Taiwan,18,0,1,2020-02-09T09:13:11
TW,Taiwan,18,0,2,2020-02-14T02:13:06
TW,Taiwan,18,0,2,2020-02-15T03:43:02
TW,Taiwan,20,1,2,2020-02-16T11:23:06
TW,Taiwan,22,1,2,2020-02-17T15:43:02
TW,Taiwan,23,1,2,2020-02-19T07:53:02
TW,Taiwan,24,1,2,2020-02-20T02:13:19
TW,Taiwan,26,1,2,2020-02-21T06:53:03
TW,Taiwan,28,1,2,2020-02-23T09:53:02
TW,Taiwan,30,1,5,2020-02-24T10:13:28
TW,Taiwan,31,1,5,2020-02-25T06:53:02
TW,Taiwan,32,1,5,2020-02-26T12:23:04
TW,Taiwan,34,1,6,2020-02-28T07:13:08
TW,Taiwan,39,1,9,2020-02-29T07:13:05
TW,Taiwan,40,1,9,2020-03-01T07:43:01
TW,Taiwan,41,1,12,2020-03-02T08:03:12
TW,Taiwan,42,1,12,2020-03-03T06:43:02
TW,Taiwan,44,1,12,2020-03-05T14:53:03
TW,Taiwan,45,1,12,2020-03-06T12:43:03
TW,Taiwan,45,1,13,2020-03-08T03:13:13
TW,Taiwan,45,1,15,2020-03-09T00:33:14
TW,Taiwan,47,1,17,2020-03-10T19:13:15
TW,Taiwan,50,1,20,2020-03-11T20:00:00
TW,Taiwan,48,1,17,2020-03-11T20:13:14
TW,Taiwan,49,1,20,2020-03-12T08:13:09
TW,Taiwan,53,1,20,2020-03-14T07:13:11
TW,Taiwan,59,1,20,2020-03-15T06:53:03
TW,Taiwan,67,1,20,2020-03-16T14:38:45
TW,Taiwan,77,1,22,2020-03-17T08:13:11
TW,Taiwan,100,1,22,2020-03-18T07:13:12
TW,Taiwan,108,1,26,2020-03-19T06:53:03
TW,Taiwan,135,2,26,2020-03-20T09:43:03
TW,Taiwan,153,2,28,2020-03-21T07:43:02
TW,Taiwan,169,2,28,2020-03-22T08:11:00
TW,Taiwan,195,2,28,2020-03-23T06:45:13
TW,Taiwan,215,2,29,2020-03-24T07:38:21
TW,Taiwan,235,2,29,2020-03-25T08:02:14
TW,Taiwan,252,2,29,2020-03-26T07:31:30
TW,Taiwan,267,2,29,2020-03-27T06:33:04
TW,Taiwan,283,2,30,2020-03-28T06:58:13
TW,Taiwan,298,2,30,2020-03-29T08:04:48
TW,Taiwan,306,5,39,2020-03-30T07:11:49
TW,Taiwan,322,5,39,2020-03-31T07:26:59
TW,Taiwan,329,5,39,2020-04-01T10:56:33
TW,Taiwan,339,5,45,2020-04-02T11:09:45
TW,Taiwan,348,5,50,2020-04-03T08:10:40
TW,Taiwan,355,5,50,2020-04-04T11:36:49
TW,Taiwan,363,5,50,2020-04-05T10:54:07
TW,Taiwan,373,5,57,2020-04-06T06:20:54
TW,Taiwan,376,5,57,2020-04-07T09:19:20
TW,Taiwan,379,5,61,2020-04-08T07:57:59
TW,Taiwan,380,5,67,2020-04-09T08:07:47
TW,Taiwan,382,6,91,2020-04-10T12:29:45
TW,Taiwan,385,6,99,2020-04-11T08:05:21
TW,Taiwan,393,6,109,2020-04-13T09:36:31
TW,Taiwan,393,6,124,2020-04-14T12:51:41
TW,Taiwan,395,6,124,2020-04-15T14:46:10
TW,Taiwan,395,6,155,2020-04-16T12:44:27
TW,Taiwan,395,6,166,2020-04-17T08:03:39
TW,Taiwan,398,6,178,2020-04-18T11:05:23
TW,Taiwan,420,6,189,2020-04-19T09:13:57
TW,Taiwan,422,6,203,2020-04-20T12:06:49
TW,Taiwan,425,6,217,2020-04-21T11:38:57
TW,Taiwan,426,6,236,2020-04-22T11:28:26
TW,Taiwan,427,6,253,2020-04-23T10:58:50
TW,Taiwan,428,6,264,2020-04-24T06:54:42
TW,Taiwan,429,6,264,2020-04-25T07:36:25
TW,Taiwan,429,6,281,2020-04-26T10:31:22
TW,Taiwan,429,6,290,2020-04-27T07:20:17
TW,Taiwan,429,6,307,2020-04-28T23:32:24
TW,Taiwan,429,6,311,2020-04-29T23:32:26
TW,Taiwan,429,6,322,2020-04-30T23:32:27
TW,Taiwan,429,6,324,2020-05-01T23:32:36
TW,Taiwan,432,6,324,2020-05-02T23:32:31
TW,Taiwan,432,6,324,2020-05-03T23:32:29
TW,Taiwan,438,6,334,2020-05-04T22:32:33
TW,Taiwan,438,6,334,2020-05-05T23:32:29
TW,Taiwan,439,6,339,2020-05-06T23:32:28
TW,Taiwan,440,6,347,2020-05-07T22:32:32
TW,Taiwan,440,6,355,2020-05-08T23:32:35
TW,Taiwan,440,6,361,2020-05-09T23:32:33
TW,Taiwan,440,6,366,2020-05-10T23:32:32
TW,Taiwan,440,7,368,2020-05-11T23:32:30
TW,Taiwan,440,7,372,2020-05-12T23:32:26
TW,Taiwan,440,7,375,2020-05-13T23:32:26
TW,Taiwan,440,7,383,2020-05-14T23:32:28
TW,Taiwan,440,7,387,2020-05-15T23:32:20
TW,Taiwan,440,7,387,2020-05-16T23:32:19
TW,Taiwan,440,7,395,2020-05-17T23:32:23
TW,Taiwan,440,7,398,2020-05-18T23:32:29
TW,Taiwan,440,7,398,2020-05-19T23:32:20
TW,Taiwan,440,7,398,2020-05-20T23:32:52
TW,Taiwan,440,7,398,2020-05-21T23:32:39
TW,Taiwan,441,7,407,2020-05-22T12:32:39
