country,name,cases,deaths,recovered,last_update
TZ,United Republic of Tanzania,1,0,0,2020-03-16T14:38:45
TZ,United Republic of Tanzania,1,0,0,2020-03-17T01:33:03
TZ,United Republic of Tanzania,3,0,0,2020-03-18T11:33:04
TZ,United Republic of Tanzania,6,0,0,2020-03-19T11:33:36
TZ,United Republic of Tanzania,12,0,0,2020-03-22T23:45:00
TZ,United Republic of Tanzania,12,0,0,2020-03-23T23:19:21
TZ,United Republic of Tanzania,12,0,0,2020-03-24T23:37:15
TZ,United Republic of Tanzania,12,0,0,2020-03-25T23:33:04
TZ,United Republic of Tanzania,13,0,0,2020-03-26T23:48:18
TZ,United Republic of Tanzania,13,0,1,2020-03-27T23:23:03
TZ,United Republic of Tanzania,14,0,1,2020-03-28T23:05:25
TZ,United Republic of Tanzania,14,0,1,2020-03-29T23:08:13
TZ,United Republic of Tanzania,19,0,1,2020-03-30T22:52:33
TZ,United Republic of Tanzania,19,1,1,2020-03-31T23:43:43
TZ,United Republic of Tanzania,20,1,1,2020-04-01T21:58:34
TZ,United Republic of Tanzania,20,1,2,2020-04-02T23:25:14
TZ,United Republic of Tanzania,20,1,3,2020-04-03T23:56:18
TZ,United Republic of Tanzania,20,1,3,2020-04-04T23:34:04
TZ,United Republic of Tanzania,22,1,3,2020-04-05T23:06:26
TZ,United Republic of Tanzania,24,1,3,2020-04-06T23:21:55
TZ,United Republic of Tanzania,24,1,5,2020-04-07T23:04:29
TZ,United Republic of Tanzania,25,1,5,2020-04-08T22:51:39
TZ,United Republic of Tanzania,25,1,5,2020-04-09T23:02:19
TZ,United Republic of Tanzania,32,3,5,2020-04-10T22:53:48
TZ,United Republic of Tanzania,32,3,5,2020-04-11T23:56:45
TZ,United Republic of Tanzania,32,3,5,2020-04-12T03:31:35
TZ,United Republic of Tanzania,49,3,7,2020-04-13T23:07:34
TZ,United Republic of Tanzania,53,3,7,2020-04-14T23:33:12
TZ,United Republic of Tanzania,88,4,11,2020-04-15T22:56:32
TZ,United Republic of Tanzania,94,4,11,2020-04-16T23:30:31
TZ,United Republic of Tanzania,147,5,11,2020-04-17T23:30:32
TZ,United Republic of Tanzania,147,5,11,2020-04-18T22:32:28
TZ,United Republic of Tanzania,170,7,11,2020-04-19T23:40:41
TZ,United Republic of Tanzania,254,10,11,2020-04-20T23:36:27
TZ,United Republic of Tanzania,254,10,11,2020-04-21T23:30:30
TZ,United Republic of Tanzania,284,10,11,2020-04-22T23:30:32
TZ,United Republic of Tanzania,284,10,11,2020-04-23T23:30:31
TZ,United Republic of Tanzania,284,10,48,2020-04-24T21:30:34
TZ,United Republic of Tanzania,299,10,48,2020-04-25T23:30:33
TZ,United Republic of Tanzania,299,10,48,2020-04-26T23:30:31
TZ,United Republic of Tanzania,299,10,48,2020-04-27T23:30:31
TZ,United Republic of Tanzania,299,10,48,2020-04-28T23:32:24
TZ,United Republic of Tanzania,480,16,167,2020-04-29T23:32:26
TZ,United Republic of Tanzania,480,16,167,2020-04-30T23:32:27
TZ,United Republic of Tanzania,480,16,167,2020-05-01T23:32:36
TZ,United Republic of Tanzania,480,16,167,2020-05-02T23:32:31
TZ,United Republic of Tanzania,480,16,167,2020-05-03T23:32:29
TZ,United Republic of Tanzania,480,16,167,2020-05-04T22:32:33
TZ,United Republic of Tanzania,480,16,167,2020-05-05T23:32:29
TZ,United Republic of Tanzania,480,16,167,2020-05-06T23:32:28
TZ,United Republic of Tanzania,480,16,167,2020-05-07T22:32:32
TZ,United Republic of Tanzania,509,21,183,2020-05-08T23:32:35
TZ,United Republic of Tanzania,509,21,183,2020-05-09T23:32:33
TZ,United Republic of Tanzania,509,21,183,2020-05-10T23:32:32
TZ,United Republic of Tanzania,509,21,183,2020-05-11T23:32:30
TZ,United Republic of Tanzania,509,21,183,2020-05-12T23:32:26
TZ,United Republic of Tanzania,509,21,183,2020-05-13T23:32:26
TZ,United Republic of Tanzania,509,21,183,2020-05-14T23:32:28
TZ,United Republic of Tanzania,509,21,183,2020-05-15T23:32:20
TZ,United Republic of Tanzania,509,21,183,2020-05-16T23:32:19
TZ,United Republic of Tanzania,509,21,183,2020-05-17T23:32:23
TZ,United Republic of Tanzania,509,21,183,2020-05-18T23:32:29
TZ,United Republic of Tanzania,509,21,183,2020-05-19T23:32:20
TZ,United Republic of Tanzania,509,21,183,2020-05-20T23:32:52
TZ,United Republic of Tanzania,509,21,183,2020-05-21T23:32:39
TZ,United Republic of Tanzania,509,21,183,2020-05-22T23:32:40
TZ,United Republic of Tanzania,509,21,183,2020-05-23T19:06:14
