country,name,cases,deaths,recovered,last_update
UA,Ukraine,1,0,0,2020-03-03T15:33:02
UA,Ukraine,3,1,0,2020-03-11T20:00:00
UA,Ukraine,3,1,0,2020-03-13T22:22:02
UA,Ukraine,7,1,0,2020-03-16T21:13:17
UA,Ukraine,14,2,0,2020-03-17T19:33:02
UA,Ukraine,16,2,0,2020-03-19T01:03:45
UA,Ukraine,29,3,0,2020-03-20T20:43:03
UA,Ukraine,47,3,1,2020-03-21T21:13:10
UA,Ukraine,73,3,1,2020-03-22T23:45:00
UA,Ukraine,73,3,1,2020-03-23T23:19:21
UA,Ukraine,97,3,1,2020-03-24T23:37:15
UA,Ukraine,145,5,1,2020-03-25T23:33:04
UA,Ukraine,196,5,1,2020-03-26T23:48:18
UA,Ukraine,310,5,5,2020-03-27T23:23:03
UA,Ukraine,356,9,5,2020-03-28T23:05:25
UA,Ukraine,475,10,6,2020-03-29T23:08:13
UA,Ukraine,548,13,8,2020-03-30T22:52:33
UA,Ukraine,645,17,10,2020-03-31T23:43:43
UA,Ukraine,794,20,13,2020-04-01T21:58:34
UA,Ukraine,897,22,19,2020-04-02T23:25:14
UA,Ukraine,1072,27,22,2020-04-03T23:56:18
UA,Ukraine,1225,32,25,2020-04-04T23:34:04
UA,Ukraine,1308,37,28,2020-04-05T23:06:26
UA,Ukraine,1319,38,28,2020-04-06T23:21:55
UA,Ukraine,1462,45,28,2020-04-07T23:04:29
UA,Ukraine,1668,52,35,2020-04-08T22:51:39
UA,Ukraine,1892,57,45,2020-04-09T23:02:19
UA,Ukraine,2203,69,61,2020-04-10T22:53:48
UA,Ukraine,2511,73,79,2020-04-11T23:56:45
UA,Ukraine,2511,73,79,2020-04-12T03:31:35
UA,Ukraine,3102,93,97,2020-04-13T23:07:34
UA,Ukraine,3372,98,119,2020-04-14T23:33:12
UA,Ukraine,3764,108,143,2020-04-15T22:56:32
UA,Ukraine,4161,116,186,2020-04-16T23:30:31
UA,Ukraine,4662,125,246,2020-04-17T23:30:32
UA,Ukraine,5106,133,275,2020-04-18T22:32:28
UA,Ukraine,5449,141,347,2020-04-19T23:40:41
UA,Ukraine,5710,151,359,2020-04-20T23:36:27
UA,Ukraine,6125,161,367,2020-04-21T23:30:30
UA,Ukraine,6592,174,424,2020-04-22T23:30:32
UA,Ukraine,7170,187,504,2020-04-23T23:30:31
UA,Ukraine,7647,193,601,2020-04-24T21:30:34
UA,Ukraine,8125,201,782,2020-04-25T23:30:33
UA,Ukraine,8617,209,840,2020-04-26T23:30:31
UA,Ukraine,9009,220,864,2020-04-27T23:30:31
UA,Ukraine,9410,239,992,2020-04-28T23:32:24
UA,Ukraine,9866,250,1103,2020-04-29T23:32:26
UA,Ukraine,10406,261,1238,2020-04-30T23:32:27
UA,Ukraine,10861,272,1413,2020-05-01T23:32:36
UA,Ukraine,11411,279,1498,2020-05-02T23:32:31
UA,Ukraine,11913,288,1548,2020-05-03T23:32:29
UA,Ukraine,12331,303,1619,2020-05-04T22:32:33
UA,Ukraine,12697,316,1875,2020-05-05T23:32:29
UA,Ukraine,13184,327,2097,2020-05-06T23:32:28
UA,Ukraine,13691,340,2396,2020-05-07T22:32:32
UA,Ukraine,14195,361,2706,2020-05-08T23:32:35
UA,Ukraine,14710,376,2909,2020-05-09T23:32:33
UA,Ukraine,15232,391,3060,2020-05-10T23:32:32
UA,Ukraine,15648,408,3288,2020-05-11T23:32:30
UA,Ukraine,16023,425,3373,2020-05-12T23:32:26
UA,Ukraine,16425,439,3716,2020-05-13T23:32:26
UA,Ukraine,16847,456,4143,2020-05-14T23:32:28
UA,Ukraine,17330,476,4473,2020-05-15T23:32:20
UA,Ukraine,17858,497,4906,2020-05-16T23:32:19
UA,Ukraine,18291,514,5116,2020-05-17T23:32:23
UA,Ukraine,18616,535,5276,2020-05-18T18:01:58
