country,name,cases,deaths,recovered,last_update
US,United States of America,1,0,0,2020-01-22T17:00:00
US,United States of America,1,0,0,2020-01-23T17:00:00
US,United States of America,2,0,0,2020-01-24T17:00:00
US,United States of America,2,0,0,2020-01-25T17:00:00
US,United States of America,5,0,0,2020-01-26T16:00:00
US,United States of America,5,0,0,2020-01-27T23:59:00
US,United States of America,5,0,0,2020-01-28T23:00:00
US,United States of America,5,0,0,2020-01-29T19:30:00
US,United States of America,5,0,0,2020-01-30T16:00:00
US,United States of America,6,0,0,2020-01-31T23:59:00
US,United States of America,8,0,0,2020-02-01T19:53:00
US,United States of America,8,0,0,2020-02-01T19:53:03
US,United States of America,11,0,0,2020-02-03T03:53:02
US,United States of America,12,0,0,2020-02-05T21:53:02
US,United States of America,12,0,3,2020-02-09T19:03:03
US,United States of America,13,0,3,2020-02-11T01:23:05
US,United States of America,15,0,3,2020-02-13T18:53:02
US,United States of America,35,0,5,2020-02-21T23:23:06
US,United States of America,35,0,5,2020-02-22T23:03:09
US,United States of America,53,0,5,2020-02-24T23:33:02
US,United States of America,53,0,6,2020-02-25T21:23:03
US,United States of America,59,0,6,2020-02-26T20:03:06
US,United States of America,60,0,6,2020-02-27T20:33:02
US,United States of America,62,0,7,2020-02-28T21:13:12
US,United States of America,70,1,7,2020-02-29T22:33:03
US,United States of America,76,1,7,2020-03-01T21:13:12
US,United States of America,101,6,7,2020-03-02T23:53:02
US,United States of America,122,7,8,2020-03-03T23:53:03
US,United States of America,153,11,8,2020-03-04T21:23:10
US,United States of America,221,12,8,2020-03-05T23:33:03
US,United States of America,278,14,8,2020-03-06T23:33:02
US,United States of America,417,17,8,2020-03-07T23:53:03
US,United States of America,537,21,8,2020-03-08T21:53:04
US,United States of America,605,22,8,2020-03-09T22:43:25
US,United States of America,959,28,8,2020-03-10T22:13:11
US,United States of America,2179,47,12,2020-03-11T20:00:00
US,United States of America,1281,36,8,2020-03-11T23:53:03
US,United States of America,1663,40,12,2020-03-12T23:44:33
US,United States of America,2726,54,12,2020-03-14T22:33:04
US,United States of America,3499,63,12,2020-03-15T18:33:03
US,United States of America,4632,85,17,2020-03-16T23:53:03
US,United States of America,6421,108,17,2020-03-17T23:53:03
US,United States of America,7786,118,106,2020-03-18T19:53:03
US,United States of America,13680,200,108,2020-03-19T23:43:04
US,United States of America,19101,244,147,2020-03-20T23:43:03
US,United States of America,25493,307,171,2020-03-21T23:13:18
US,United States of America,33746,427,0,2020-03-22T23:45:00
US,United States of America,43667,552,0,2020-03-23T23:19:34
US,United States of America,53740,706,348,2020-03-24T23:37:31
US,United States of America,65778,942,361,2020-03-25T23:33:19
US,United States of America,83836,1209,681,2020-03-26T23:48:35
US,United States of America,101657,1581,869,2020-03-27T22:14:55
US,United States of America,121478,2026,1072,2020-03-28T23:05:37
US,United States of America,140886,2467,2665,2020-03-29T23:08:25
US,United States of America,161807,2978,5644,2020-03-30T22:52:45
US,United States of America,188172,3873,7024,2020-03-31T23:43:56
US,United States of America,213372,4757,8474,2020-04-01T21:58:49
US,United States of America,243453,5926,9001,2020-04-02T23:25:27
US,United States of America,276995,7406,9772,2020-04-03T23:56:35
US,United States of America,308850,8407,14652,2020-04-04T23:34:21
US,United States of America,337072,9619,17448,2020-04-05T23:06:45
US,United States of America,366614,10783,19581,2020-04-06T23:22:15
US,United States of America,396223,12722,21763,2020-04-07T23:04:49
US,United States of America,429052,14695,23559,2020-04-08T22:51:58
US,United States of America,461437,16478,25410,2020-04-09T23:02:37
US,United States of America,496535,18586,28790,2020-04-10T22:54:07
US,United States of America,527111,20506,31424,2020-04-11T23:57:03
US,United States of America,529951,20608,32091,2020-04-12T03:31:54
US,United States of America,580619,23529,43482,2020-04-13T23:07:54
US,United States of America,607670,25832,47763,2020-04-14T23:33:31
US,United States of America,636350,28326,52096,2020-04-15T22:56:51
US,United States of America,667801,32917,54703,2020-04-16T23:30:51
US,United States of America,699706,36773,58545,2020-04-17T23:30:52
US,United States of America,732197,38664,64840,2020-04-18T22:32:47
US,United States of America,759086,40661,70337,2020-04-19T23:41:01
US,United States of America,784326,42094,72329,2020-04-20T23:44:33
US,United States of America,823786,44845,75204,2020-04-21T23:38:51
US,United States of America,839675,46583,77366,2020-04-22T23:38:40
US,United States of America,866646,49759,79938,2020-04-23T23:31:07
US,United States of America,890524,51017,96677,2020-04-24T21:31:07
US,United States of America,936293,53511,99792,2020-04-25T23:31:08
US,United States of America,964937,54841,106946,2020-04-26T23:31:03
US,United States of America,987022,56144,111109,2020-04-27T23:31:04
US,United States of America,1011877,58351,115572,2020-04-28T23:32:24
US,United States of America,1037970,60853,120444,2020-04-29T23:32:26
US,United States of America,1068696,62906,126122,2020-04-30T23:32:27
US,United States of America,1102703,64789,164015,2020-05-01T23:32:36
US,United States of America,1130115,66224,175382,2020-05-02T23:32:31
US,United States of America,1157687,67674,180152,2020-05-03T23:32:29
US,United States of America,1178906,68689,187180,2020-05-04T22:32:33
US,United States of America,1203502,71022,189791,2020-05-05T23:32:29
US,United States of America,1227430,73095,189910,2020-05-06T23:32:28
US,United States of America,1254750,75543,195036,2020-05-07T22:32:32
US,United States of America,1283829,77178,198993,2020-05-08T23:32:35
US,United States of America,1309164,78746,212534,2020-05-09T23:32:33
US,United States of America,1329072,79522,216169,2020-05-10T23:32:32
US,United States of America,1346723,80352,232733,2020-05-11T23:32:30
US,United States of America,1367927,82246,230287,2020-05-12T23:32:26
US,United States of America,1389935,84059,243430,2020-05-13T23:32:26
US,United States of America,1416528,85813,246414,2020-05-14T23:32:28
US,United States of America,1442924,87493,250747,2020-05-15T23:32:20
US,United States of America,1466682,88730,268376,2020-05-16T23:32:19
US,United States of America,1486376,89550,272265,2020-05-17T23:32:23
US,United States of America,1506840,90309,283178,2020-05-18T23:32:29
US,United States of America,1527355,91845,289392,2020-05-19T23:32:20
US,United States of America,1550959,93406,294312,2020-05-20T23:32:52
US,United States of America,1576542,94661,298418,2020-05-21T23:32:39
US,United States of America,1577758,94729,298418,2020-05-22T12:32:39
