country,name,cases,deaths,recovered,last_update
UY,Uruguay,4,0,0,2020-03-14T16:33:03
UY,Uruguay,8,0,0,2020-03-16T14:38:45
UY,Uruguay,29,0,0,2020-03-17T02:13:54
UY,Uruguay,50,0,0,2020-03-18T11:33:04
UY,Uruguay,79,0,0,2020-03-19T02:13:17
UY,Uruguay,94,0,0,2020-03-20T01:43:03
UY,Uruguay,110,0,0,2020-03-21T12:13:19
UY,Uruguay,135,0,0,2020-03-22T23:45:00
UY,Uruguay,158,0,0,2020-03-23T23:19:21
UY,Uruguay,162,0,0,2020-03-24T23:37:15
UY,Uruguay,189,0,0,2020-03-25T23:33:04
UY,Uruguay,217,0,0,2020-03-26T23:48:18
UY,Uruguay,238,0,0,2020-03-27T23:23:03
UY,Uruguay,274,0,0,2020-03-28T23:05:25
UY,Uruguay,304,1,0,2020-03-29T23:08:13
UY,Uruguay,310,1,0,2020-03-30T22:52:33
UY,Uruguay,338,1,41,2020-03-31T23:43:43
UY,Uruguay,338,2,41,2020-04-01T21:58:34
UY,Uruguay,350,4,62,2020-04-02T23:25:14
UY,Uruguay,386,4,86,2020-04-03T23:56:18
UY,Uruguay,400,5,93,2020-04-04T23:34:04
UY,Uruguay,400,5,93,2020-04-05T23:06:26
UY,Uruguay,406,6,104,2020-04-06T23:21:55
UY,Uruguay,424,7,150,2020-04-07T23:04:29
UY,Uruguay,424,7,150,2020-04-08T22:51:39
UY,Uruguay,456,7,192,2020-04-09T23:02:19
UY,Uruguay,473,7,206,2020-04-10T22:53:48
UY,Uruguay,494,7,214,2020-04-11T23:56:45
UY,Uruguay,494,7,214,2020-04-12T03:31:35
UY,Uruguay,480,8,231,2020-04-13T23:07:34
UY,Uruguay,483,8,248,2020-04-14T23:33:12
UY,Uruguay,492,8,260,2020-04-15T22:56:32
UY,Uruguay,502,9,286,2020-04-16T23:30:31
UY,Uruguay,502,9,286,2020-04-17T23:30:32
UY,Uruguay,508,9,294,2020-04-18T22:32:28
UY,Uruguay,517,10,298,2020-04-19T23:40:41
UY,Uruguay,535,10,313,2020-04-20T23:36:27
UY,Uruguay,535,11,313,2020-04-21T23:30:30
UY,Uruguay,543,12,324,2020-04-22T23:30:32
UY,Uruguay,549,12,337,2020-04-23T23:30:31
UY,Uruguay,557,12,354,2020-04-24T21:30:34
UY,Uruguay,563,12,369,2020-04-25T23:30:33
UY,Uruguay,596,14,370,2020-04-26T23:30:31
UY,Uruguay,606,15,375,2020-04-27T23:30:31
UY,Uruguay,620,15,386,2020-04-28T23:32:24
UY,Uruguay,625,15,394,2020-04-29T23:32:26
UY,Uruguay,643,17,417,2020-04-30T23:32:27
UY,Uruguay,648,17,435,2020-05-01T23:32:36
UY,Uruguay,652,17,440,2020-05-02T23:32:31
UY,Uruguay,655,17,442,2020-05-03T23:32:29
UY,Uruguay,655,17,442,2020-05-04T22:32:33
UY,Uruguay,670,17,468,2020-05-05T23:32:29
UY,Uruguay,670,17,468,2020-05-06T23:32:28
UY,Uruguay,673,17,486,2020-05-07T22:32:32
UY,Uruguay,694,18,506,2020-05-08T23:32:35
UY,Uruguay,702,18,513,2020-05-09T23:32:33
UY,Uruguay,707,19,517,2020-05-10T23:32:32
UY,Uruguay,711,19,523,2020-05-11T23:32:30
UY,Uruguay,717,19,532,2020-05-12T23:32:26
UY,Uruguay,719,19,545,2020-05-13T23:32:26
UY,Uruguay,724,19,547,2020-05-14T23:32:28
UY,Uruguay,732,19,553,2020-05-15T23:32:20
UY,Uruguay,733,19,558,2020-05-16T23:32:19
UY,Uruguay,734,20,564,2020-05-17T23:32:23
UY,Uruguay,734,20,564,2020-05-18T18:01:58
