country,name,cases,deaths,recovered,last_update
UZ,Uzbekistan,1,0,0,2020-03-15T18:20:19
UZ,Uzbekistan,6,0,0,2020-03-16T14:38:45
UZ,Uzbekistan,10,0,0,2020-03-17T12:13:16
UZ,Uzbekistan,15,0,0,2020-03-18T12:13:09
UZ,Uzbekistan,23,0,0,2020-03-19T10:53:03
UZ,Uzbekistan,33,0,0,2020-03-20T14:43:04
UZ,Uzbekistan,43,0,0,2020-03-21T21:13:10
UZ,Uzbekistan,43,0,0,2020-03-22T23:45:00
UZ,Uzbekistan,46,0,0,2020-03-23T23:19:21
UZ,Uzbekistan,50,0,0,2020-03-24T23:37:15
UZ,Uzbekistan,60,0,0,2020-03-25T23:33:04
UZ,Uzbekistan,75,0,0,2020-03-26T23:48:18
UZ,Uzbekistan,88,1,5,2020-03-27T23:23:03
UZ,Uzbekistan,104,2,5,2020-03-28T23:05:25
UZ,Uzbekistan,144,2,7,2020-03-29T23:08:13
UZ,Uzbekistan,149,2,7,2020-03-30T22:52:33
UZ,Uzbekistan,172,2,7,2020-03-31T23:43:43
UZ,Uzbekistan,181,2,12,2020-04-01T21:58:34
UZ,Uzbekistan,205,2,25,2020-04-02T23:25:14
UZ,Uzbekistan,227,2,25,2020-04-03T23:56:18
UZ,Uzbekistan,266,2,25,2020-04-04T23:34:04
UZ,Uzbekistan,342,2,30,2020-04-05T23:06:26
UZ,Uzbekistan,457,2,30,2020-04-06T23:21:55
UZ,Uzbekistan,520,2,30,2020-04-07T23:04:29
UZ,Uzbekistan,545,3,30,2020-04-08T22:51:39
UZ,Uzbekistan,582,3,38,2020-04-09T23:02:19
UZ,Uzbekistan,624,3,42,2020-04-10T22:53:48
UZ,Uzbekistan,767,4,42,2020-04-11T23:56:45
UZ,Uzbekistan,767,4,42,2020-04-12T03:31:35
UZ,Uzbekistan,998,4,85,2020-04-13T23:07:34
UZ,Uzbekistan,1165,4,99,2020-04-14T23:33:12
UZ,Uzbekistan,1302,4,107,2020-04-15T22:56:32
UZ,Uzbekistan,1349,4,129,2020-04-16T23:30:31
UZ,Uzbekistan,1405,4,156,2020-04-17T23:30:32
UZ,Uzbekistan,1490,5,194,2020-04-18T22:32:28
UZ,Uzbekistan,1565,5,225,2020-04-19T23:40:41
UZ,Uzbekistan,1627,5,261,2020-04-20T23:36:27
UZ,Uzbekistan,1678,6,357,2020-04-21T23:30:30
UZ,Uzbekistan,1716,7,450,2020-04-22T23:30:32
UZ,Uzbekistan,1758,7,561,2020-04-23T23:30:31
UZ,Uzbekistan,1804,8,621,2020-04-24T21:30:34
UZ,Uzbekistan,1862,8,707,2020-04-25T23:30:33
UZ,Uzbekistan,1869,8,789,2020-04-26T23:30:31
UZ,Uzbekistan,1904,8,892,2020-04-27T23:30:31
UZ,Uzbekistan,1939,8,992,2020-04-28T23:32:24
UZ,Uzbekistan,2002,9,1096,2020-04-29T23:32:26
UZ,Uzbekistan,2039,9,1133,2020-04-30T23:32:27
UZ,Uzbekistan,2086,9,1212,2020-05-01T23:32:36
UZ,Uzbekistan,2118,9,1271,2020-05-02T23:32:31
UZ,Uzbekistan,2149,10,1319,2020-05-03T23:32:29
UZ,Uzbekistan,2189,10,1405,2020-05-04T22:32:33
UZ,Uzbekistan,2207,10,1501,2020-05-05T23:32:29
UZ,Uzbekistan,2233,10,1577,2020-05-06T23:32:28
UZ,Uzbekistan,2298,10,1656,2020-05-07T22:32:32
UZ,Uzbekistan,2325,10,1775,2020-05-08T23:32:35
UZ,Uzbekistan,2349,10,1846,2020-05-09T23:32:33
UZ,Uzbekistan,2418,10,1881,2020-05-10T23:32:32
UZ,Uzbekistan,2486,10,1988,2020-05-11T23:32:30
UZ,Uzbekistan,2519,10,2010,2020-05-12T23:32:26
UZ,Uzbekistan,2612,11,2076,2020-05-13T23:32:26
UZ,Uzbekistan,2645,11,2136,2020-05-14T23:32:28
UZ,Uzbekistan,2686,11,2158,2020-05-15T23:32:20
UZ,Uzbekistan,2738,11,2213,2020-05-16T23:32:19
UZ,Uzbekistan,2753,12,2247,2020-05-17T23:32:23
UZ,Uzbekistan,2779,13,2314,2020-05-18T18:01:58
