country,name,cases,deaths,recovered,last_update
VE,Bolivarian Republic of Venezuela,2,0,0,2020-03-14T12:53:07
VE,Bolivarian Republic of Venezuela,10,0,0,2020-03-15T18:20:18
VE,Bolivarian Republic of Venezuela,17,0,0,2020-03-16T00:53:03
VE,Bolivarian Republic of Venezuela,33,0,0,2020-03-17T11:33:05
VE,Bolivarian Republic of Venezuela,36,0,0,2020-03-18T11:33:04
VE,Bolivarian Republic of Venezuela,42,0,0,2020-03-19T20:13:34
VE,Bolivarian Republic of Venezuela,70,0,0,2020-03-21T20:43:03
VE,Bolivarian Republic of Venezuela,70,0,15,2020-03-22T23:45:00
VE,Bolivarian Republic of Venezuela,77,0,15,2020-03-23T23:19:21
VE,Bolivarian Republic of Venezuela,84,0,15,2020-03-24T23:37:15
VE,Bolivarian Republic of Venezuela,91,0,15,2020-03-25T23:33:04
VE,Bolivarian Republic of Venezuela,107,0,15,2020-03-26T23:48:18
VE,Bolivarian Republic of Venezuela,107,1,31,2020-03-27T23:23:03
VE,Bolivarian Republic of Venezuela,119,2,39,2020-03-28T23:05:25
VE,Bolivarian Republic of Venezuela,119,2,39,2020-03-29T23:08:13
VE,Bolivarian Republic of Venezuela,135,3,39,2020-03-30T22:52:33
VE,Bolivarian Republic of Venezuela,135,3,39,2020-03-31T23:43:43
VE,Bolivarian Republic of Venezuela,143,3,41,2020-04-01T21:58:34
VE,Bolivarian Republic of Venezuela,146,5,43,2020-04-02T23:25:14
VE,Bolivarian Republic of Venezuela,153,7,52,2020-04-03T23:56:18
VE,Bolivarian Republic of Venezuela,155,7,52,2020-04-04T23:34:04
VE,Bolivarian Republic of Venezuela,159,7,52,2020-04-05T23:06:26
VE,Bolivarian Republic of Venezuela,165,7,65,2020-04-06T23:21:55
VE,Bolivarian Republic of Venezuela,165,7,65,2020-04-07T23:04:29
VE,Bolivarian Republic of Venezuela,167,9,65,2020-04-08T22:51:39
VE,Bolivarian Republic of Venezuela,171,9,84,2020-04-09T23:02:19
VE,Bolivarian Republic of Venezuela,171,9,84,2020-04-10T22:53:48
VE,Bolivarian Republic of Venezuela,175,9,93,2020-04-11T23:56:45
VE,Bolivarian Republic of Venezuela,175,9,93,2020-04-12T03:31:35
VE,Bolivarian Republic of Venezuela,189,9,110,2020-04-13T23:07:34
VE,Bolivarian Republic of Venezuela,189,9,110,2020-04-14T23:33:12
VE,Bolivarian Republic of Venezuela,197,9,111,2020-04-15T22:56:32
VE,Bolivarian Republic of Venezuela,204,9,111,2020-04-16T23:30:31
VE,Bolivarian Republic of Venezuela,204,9,111,2020-04-17T23:30:32
VE,Bolivarian Republic of Venezuela,227,9,113,2020-04-18T22:32:28
VE,Bolivarian Republic of Venezuela,256,9,117,2020-04-19T23:40:41
VE,Bolivarian Republic of Venezuela,256,9,117,2020-04-20T23:36:27
VE,Bolivarian Republic of Venezuela,285,10,117,2020-04-21T23:30:30
VE,Bolivarian Republic of Venezuela,288,10,122,2020-04-22T23:30:32
VE,Bolivarian Republic of Venezuela,298,10,122,2020-04-23T23:30:31
VE,Bolivarian Republic of Venezuela,318,10,132,2020-04-24T21:30:34
VE,Bolivarian Republic of Venezuela,323,10,132,2020-04-25T23:30:33
VE,Bolivarian Republic of Venezuela,323,10,132,2020-04-26T23:30:31
VE,Bolivarian Republic of Venezuela,325,10,137,2020-04-27T23:30:31
VE,Bolivarian Republic of Venezuela,329,10,142,2020-04-28T23:32:24
VE,Bolivarian Republic of Venezuela,329,10,142,2020-04-29T23:32:26
VE,Bolivarian Republic of Venezuela,333,16,142,2020-04-30T23:32:27
VE,Bolivarian Republic of Venezuela,335,10,142,2020-05-01T23:32:36
VE,Bolivarian Republic of Venezuela,345,10,148,2020-05-02T23:32:31
VE,Bolivarian Republic of Venezuela,345,10,148,2020-05-03T23:32:29
VE,Bolivarian Republic of Venezuela,357,10,158,2020-05-04T22:32:33
VE,Bolivarian Republic of Venezuela,361,10,158,2020-05-05T23:32:29
VE,Bolivarian Republic of Venezuela,367,10,164,2020-05-06T23:32:28
VE,Bolivarian Republic of Venezuela,379,10,176,2020-05-07T22:32:32
VE,Bolivarian Republic of Venezuela,388,10,190,2020-05-08T23:32:35
VE,Bolivarian Republic of Venezuela,388,10,190,2020-05-09T23:32:33
VE,Bolivarian Republic of Venezuela,402,10,190,2020-05-10T23:32:32
VE,Bolivarian Republic of Venezuela,414,10,193,2020-05-11T23:32:30
VE,Bolivarian Republic of Venezuela,423,10,220,2020-05-12T23:32:26
VE,Bolivarian Republic of Venezuela,423,10,220,2020-05-13T23:32:26
VE,Bolivarian Republic of Venezuela,440,10,220,2020-05-14T23:32:28
VE,Bolivarian Republic of Venezuela,455,10,220,2020-05-15T23:32:20
VE,Bolivarian Republic of Venezuela,459,10,229,2020-05-16T23:32:19
VE,Bolivarian Republic of Venezuela,541,10,241,2020-05-17T23:32:23
VE,Bolivarian Republic of Venezuela,541,10,241,2020-05-18T23:32:29
VE,Bolivarian Republic of Venezuela,618,10,253,2020-05-19T23:32:20
VE,Bolivarian Republic of Venezuela,824,10,262,2020-05-20T23:32:52
VE,Bolivarian Republic of Venezuela,882,10,262,2020-05-21T23:32:39
VE,Bolivarian Republic of Venezuela,882,10,262,2020-05-22T12:32:39
