country,name,cases,deaths,recovered,last_update
XK,Republic of Kosovo,2,0,0,2020-03-15T18:20:19
XK,Republic of Kosovo,71,1,0,2020-03-26T23:48:18
XK,Republic of Kosovo,86,1,1,2020-03-27T23:23:03
XK,Republic of Kosovo,91,1,1,2020-03-28T23:05:25
XK,Republic of Kosovo,94,1,1,2020-03-29T23:08:13
XK,Republic of Kosovo,94,1,1,2020-03-30T22:52:33
XK,Republic of Kosovo,112,1,6,2020-03-31T23:43:43
XK,Republic of Kosovo,125,1,10,2020-04-01T21:58:34
XK,Republic of Kosovo,125,1,10,2020-04-02T23:25:14
XK,Republic of Kosovo,126,1,10,2020-04-03T23:56:18
XK,Republic of Kosovo,135,1,16,2020-04-04T23:34:04
XK,Republic of Kosovo,145,1,23,2020-04-05T23:06:26
XK,Republic of Kosovo,145,1,23,2020-04-06T23:21:55
XK,Republic of Kosovo,170,4,24,2020-04-07T23:04:29
XK,Republic of Kosovo,184,5,30,2020-04-08T22:51:39
XK,Republic of Kosovo,184,5,30,2020-04-09T23:02:19
XK,Republic of Kosovo,250,7,52,2020-04-10T22:53:48
XK,Republic of Kosovo,283,7,58,2020-04-11T23:56:45
XK,Republic of Kosovo,283,7,58,2020-04-12T03:31:35
XK,Republic of Kosovo,283,7,58,2020-04-13T23:07:34
XK,Republic of Kosovo,387,8,66,2020-04-14T23:33:12
XK,Republic of Kosovo,387,8,66,2020-04-15T22:56:32
XK,Republic of Kosovo,449,11,79,2020-04-16T23:30:31
XK,Republic of Kosovo,480,12,84,2020-04-17T23:30:32
XK,Republic of Kosovo,510,12,93,2020-04-18T22:32:28
XK,Republic of Kosovo,510,12,93,2020-04-19T23:40:41
XK,Republic of Kosovo,510,12,93,2020-04-20T23:36:27
XK,Republic of Kosovo,510,12,93,2020-04-21T23:30:30
XK,Republic of Kosovo,510,12,93,2020-04-22T23:30:32
XK,Republic of Kosovo,510,12,93,2020-04-23T23:30:31
XK,Republic of Kosovo,510,12,93,2020-04-24T21:30:34
XK,Republic of Kosovo,510,12,93,2020-04-25T23:30:33
XK,Republic of Kosovo,510,12,93,2020-04-26T23:30:31
XK,Republic of Kosovo,510,12,93,2020-04-27T23:30:31
XK,Republic of Kosovo,510,12,93,2020-04-28T23:32:24
XK,Republic of Kosovo,510,12,93,2020-04-29T23:32:26
XK,Republic of Kosovo,799,22,249,2020-04-30T23:32:27
XK,Republic of Kosovo,806,22,271,2020-05-01T23:32:36
XK,Republic of Kosovo,823,22,336,2020-05-02T23:32:31
XK,Republic of Kosovo,851,22,381,2020-05-03T23:32:29
XK,Republic of Kosovo,855,26,403,2020-05-04T22:32:33
XK,Republic of Kosovo,856,26,490,2020-05-05T23:32:29
XK,Republic of Kosovo,856,26,490,2020-05-06T23:32:28
XK,Republic of Kosovo,861,27,562,2020-05-07T22:32:32
XK,Republic of Kosovo,861,27,562,2020-05-08T23:32:35
XK,Republic of Kosovo,862,28,622,2020-05-09T23:32:33
XK,Republic of Kosovo,870,28,653,2020-05-10T23:32:32
XK,Republic of Kosovo,884,28,655,2020-05-11T23:32:30
XK,Republic of Kosovo,919,29,671,2020-05-12T23:32:26
XK,Republic of Kosovo,919,29,671,2020-05-13T23:32:26
XK,Republic of Kosovo,944,29,690,2020-05-14T23:32:28
XK,Republic of Kosovo,944,29,690,2020-05-15T23:32:20
XK,Republic of Kosovo,944,29,690,2020-05-16T23:32:19
XK,Republic of Kosovo,955,29,691,2020-05-17T23:32:23
XK,Republic of Kosovo,955,29,691,2020-05-18T23:32:29
XK,Republic of Kosovo,985,29,736,2020-05-19T14:32:25
