country,name,cases,deaths,recovered,last_update
YE,Yemen,1,0,0,2020-04-10T22:53:48
YE,Yemen,1,0,0,2020-04-11T23:56:45
YE,Yemen,1,0,0,2020-04-12T03:31:35
YE,Yemen,1,0,0,2020-04-13T23:07:34
YE,Yemen,1,0,0,2020-04-14T23:33:12
YE,Yemen,1,0,0,2020-04-15T22:56:32
YE,Yemen,1,0,0,2020-04-16T23:30:31
YE,Yemen,1,0,0,2020-04-17T23:30:32
YE,Yemen,1,0,0,2020-04-18T22:32:28
YE,Yemen,1,0,0,2020-04-19T23:40:41
YE,Yemen,1,0,0,2020-04-20T23:36:27
YE,Yemen,1,0,0,2020-04-21T23:30:30
YE,Yemen,1,0,0,2020-04-22T23:30:32
YE,Yemen,1,0,0,2020-04-23T23:30:31
YE,Yemen,1,0,1,2020-04-24T21:30:34
YE,Yemen,1,0,1,2020-04-25T23:30:33
YE,Yemen,1,0,1,2020-04-26T23:30:31
YE,Yemen,1,0,1,2020-04-27T23:30:31
YE,Yemen,1,0,1,2020-04-28T23:32:24
YE,Yemen,6,0,1,2020-04-29T23:32:26
YE,Yemen,6,2,1,2020-04-30T23:32:27
YE,Yemen,7,2,1,2020-05-01T23:32:36
YE,Yemen,10,2,1,2020-05-02T23:32:31
YE,Yemen,10,2,1,2020-05-03T23:32:29
YE,Yemen,12,2,1,2020-05-04T22:32:33
YE,Yemen,22,4,1,2020-05-05T23:32:29
YE,Yemen,25,5,1,2020-05-06T23:32:28
YE,Yemen,25,5,1,2020-05-07T22:32:32
YE,Yemen,34,7,1,2020-05-08T23:32:35
YE,Yemen,34,7,1,2020-05-09T23:32:33
YE,Yemen,51,8,1,2020-05-10T23:32:32
YE,Yemen,56,9,1,2020-05-11T23:32:30
YE,Yemen,65,10,1,2020-05-12T23:32:26
YE,Yemen,70,12,1,2020-05-13T23:32:26
YE,Yemen,85,12,1,2020-05-14T23:32:28
YE,Yemen,106,15,1,2020-05-15T23:32:20
YE,Yemen,122,18,1,2020-05-16T23:32:19
YE,Yemen,128,20,1,2020-05-17T23:32:23
YE,Yemen,130,20,1,2020-05-18T23:32:29
YE,Yemen,167,28,5,2020-05-19T23:32:20
YE,Yemen,184,30,5,2020-05-20T23:32:52
YE,Yemen,197,33,5,2020-05-21T23:32:39
YE,Yemen,209,33,11,2020-05-22T23:32:40
YE,Yemen,212,39,11,2020-05-23T19:06:14
