country,name,cases,deaths,recovered,last_update
ZA,South Africa,1,0,0,2020-03-05T13:53:03
ZA,South Africa,1,0,0,2020-03-06T15:43:02
ZA,South Africa,3,0,0,2020-03-08T10:23:04
ZA,South Africa,7,0,0,2020-03-10T05:13:07
ZA,South Africa,13,0,0,2020-03-11T10:33:03
ZA,South Africa,24,0,0,2020-03-11T20:00:00
ZA,South Africa,17,0,0,2020-03-12T09:13:24
ZA,South Africa,38,0,0,2020-03-14T16:14:56
ZA,South Africa,51,0,0,2020-03-15T18:20:18
ZA,South Africa,62,0,0,2020-03-16T14:38:45
ZA,South Africa,116,0,0,2020-03-18T10:53:02
ZA,South Africa,150,0,0,2020-03-19T16:43:03
ZA,South Africa,202,0,0,2020-03-20T14:43:04
ZA,South Africa,240,0,0,2020-03-21T12:13:19
ZA,South Africa,274,0,2,2020-03-22T23:45:00
ZA,South Africa,402,0,4,2020-03-23T23:19:21
ZA,South Africa,554,0,4,2020-03-24T23:37:15
ZA,South Africa,709,0,12,2020-03-25T23:33:04
ZA,South Africa,927,0,12,2020-03-26T23:48:18
ZA,South Africa,1170,1,31,2020-03-27T23:23:03
ZA,South Africa,1187,1,31,2020-03-28T23:05:25
ZA,South Africa,1280,2,31,2020-03-29T23:08:13
ZA,South Africa,1326,3,31,2020-03-30T22:52:33
ZA,South Africa,1353,5,31,2020-03-31T23:43:43
ZA,South Africa,1380,5,50,2020-04-01T21:58:34
ZA,South Africa,1462,5,50,2020-04-02T23:25:14
ZA,South Africa,1505,9,95,2020-04-03T23:56:18
ZA,South Africa,1585,9,95,2020-04-04T23:34:04
ZA,South Africa,1655,11,95,2020-04-05T23:06:26
ZA,South Africa,1686,12,95,2020-04-06T23:21:55
ZA,South Africa,1749,13,95,2020-04-07T23:04:29
ZA,South Africa,1845,18,95,2020-04-08T22:51:39
ZA,South Africa,1934,18,95,2020-04-09T23:02:19
ZA,South Africa,2003,24,410,2020-04-10T22:53:48
ZA,South Africa,2028,25,410,2020-04-11T23:56:45
ZA,South Africa,2028,25,410,2020-04-12T03:31:35
ZA,South Africa,2272,27,410,2020-04-13T23:07:34
ZA,South Africa,2415,27,410,2020-04-14T23:33:12
ZA,South Africa,2506,34,410,2020-04-15T22:56:32
ZA,South Africa,2605,48,903,2020-04-16T23:30:31
ZA,South Africa,2783,50,903,2020-04-17T23:30:32
ZA,South Africa,3034,52,903,2020-04-18T22:32:28
ZA,South Africa,3158,54,903,2020-04-19T23:40:41
ZA,South Africa,3300,58,1055,2020-04-20T23:36:27
ZA,South Africa,3465,58,1055,2020-04-21T23:30:30
ZA,South Africa,3635,65,1055,2020-04-22T23:30:32
ZA,South Africa,3953,75,1473,2020-04-23T23:30:31
ZA,South Africa,4220,79,1473,2020-04-24T21:30:34
ZA,South Africa,4361,86,1473,2020-04-25T23:30:33
ZA,South Africa,4546,87,1473,2020-04-26T23:30:31
ZA,South Africa,4793,90,1473,2020-04-27T23:30:31
ZA,South Africa,4996,93,2073,2020-04-28T23:32:24
ZA,South Africa,5350,103,2073,2020-04-29T23:32:26
ZA,South Africa,5647,103,2073,2020-04-30T23:32:27
ZA,South Africa,5951,116,2382,2020-05-01T23:32:36
ZA,South Africa,6336,123,2549,2020-05-02T23:32:31
ZA,South Africa,6783,131,2549,2020-05-03T23:32:29
ZA,South Africa,7220,138,2746,2020-05-04T22:32:33
ZA,South Africa,7572,148,2746,2020-05-05T23:32:29
ZA,South Africa,7808,153,3153,2020-05-06T23:32:28
ZA,South Africa,8232,161,3153,2020-05-07T22:32:32
ZA,South Africa,8895,178,3153,2020-05-08T23:32:35
ZA,South Africa,9420,186,3983,2020-05-09T23:32:33
ZA,South Africa,10015,194,4173,2020-05-10T23:32:32
ZA,South Africa,10652,206,4357,2020-05-11T23:32:30
ZA,South Africa,11350,206,4357,2020-05-12T23:32:26
ZA,South Africa,12074,219,4745,2020-05-13T23:32:26
ZA,South Africa,12739,238,5676,2020-05-14T23:32:28
ZA,South Africa,13524,247,6083,2020-05-15T23:32:20
ZA,South Africa,14355,261,6478,2020-05-16T23:32:19
ZA,South Africa,15515,264,7006,2020-05-17T23:32:23
ZA,South Africa,16433,286,7298,2020-05-18T23:32:29
ZA,South Africa,16433,286,7298,2020-05-19T14:32:25
