country,name,cases,deaths,recovered,last_update
ZM,Zambia,2,0,0,2020-03-18T14:33:15
ZM,Zambia,2,0,0,2020-03-19T01:53:06
ZM,Zambia,3,0,0,2020-03-22T23:45:00
ZM,Zambia,3,0,0,2020-03-23T23:19:21
ZM,Zambia,3,0,0,2020-03-24T23:37:15
ZM,Zambia,12,0,0,2020-03-25T23:33:04
ZM,Zambia,16,0,0,2020-03-26T23:48:18
ZM,Zambia,22,0,0,2020-03-27T23:23:03
ZM,Zambia,28,0,0,2020-03-28T23:05:25
ZM,Zambia,29,0,0,2020-03-29T23:08:13
ZM,Zambia,35,0,0,2020-03-30T22:52:33
ZM,Zambia,35,0,0,2020-03-31T23:43:43
ZM,Zambia,36,0,0,2020-04-01T21:58:34
ZM,Zambia,39,1,0,2020-04-02T23:25:14
ZM,Zambia,39,1,2,2020-04-03T23:56:18
ZM,Zambia,39,1,2,2020-04-04T23:34:04
ZM,Zambia,39,1,3,2020-04-05T23:06:26
ZM,Zambia,39,1,5,2020-04-06T23:21:55
ZM,Zambia,39,1,7,2020-04-07T23:04:29
ZM,Zambia,39,1,7,2020-04-08T22:51:39
ZM,Zambia,39,1,24,2020-04-09T23:02:19
ZM,Zambia,40,2,25,2020-04-10T22:53:48
ZM,Zambia,40,2,28,2020-04-11T23:56:45
ZM,Zambia,40,2,28,2020-04-12T03:31:35
ZM,Zambia,45,2,30,2020-04-13T23:07:34
ZM,Zambia,45,2,30,2020-04-14T23:33:12
ZM,Zambia,48,2,30,2020-04-15T22:56:32
ZM,Zambia,48,2,30,2020-04-16T23:30:31
ZM,Zambia,52,2,30,2020-04-17T23:30:32
ZM,Zambia,57,2,33,2020-04-18T22:32:28
ZM,Zambia,61,3,33,2020-04-19T23:40:41
ZM,Zambia,65,3,35,2020-04-20T23:36:27
ZM,Zambia,70,3,35,2020-04-21T23:30:30
ZM,Zambia,74,3,35,2020-04-22T23:30:32
ZM,Zambia,76,3,37,2020-04-23T23:30:31
ZM,Zambia,84,3,37,2020-04-24T21:30:34
ZM,Zambia,84,3,37,2020-04-25T23:30:33
ZM,Zambia,88,3,42,2020-04-26T23:30:31
ZM,Zambia,88,3,42,2020-04-27T23:30:31
ZM,Zambia,95,3,42,2020-04-28T23:32:24
ZM,Zambia,97,3,54,2020-04-29T23:32:26
ZM,Zambia,106,3,55,2020-04-30T23:32:27
ZM,Zambia,109,3,74,2020-05-01T23:32:36
ZM,Zambia,119,3,75,2020-05-02T23:32:31
ZM,Zambia,124,3,78,2020-05-03T23:32:29
ZM,Zambia,137,3,78,2020-05-04T22:32:33
ZM,Zambia,138,3,92,2020-05-05T23:32:29
ZM,Zambia,146,4,101,2020-05-06T23:32:28
ZM,Zambia,153,4,103,2020-05-07T22:32:32
ZM,Zambia,167,4,111,2020-05-08T23:32:35
ZM,Zambia,252,7,112,2020-05-09T23:32:33
ZM,Zambia,267,7,117,2020-05-10T23:32:32
ZM,Zambia,267,7,117,2020-05-11T23:32:30
ZM,Zambia,441,7,117,2020-05-12T23:32:26
ZM,Zambia,446,7,124,2020-05-13T23:32:26
ZM,Zambia,654,7,124,2020-05-14T23:32:28
ZM,Zambia,654,7,124,2020-05-15T23:32:20
ZM,Zambia,679,7,183,2020-05-16T23:32:19
ZM,Zambia,753,7,188,2020-05-17T23:32:23
ZM,Zambia,761,7,192,2020-05-18T23:32:29
ZM,Zambia,772,7,192,2020-05-19T23:32:20
ZM,Zambia,832,7,197,2020-05-20T23:32:52
ZM,Zambia,866,7,302,2020-05-21T23:32:39
ZM,Zambia,866,7,302,2020-05-22T12:32:39
