country,name,cases,deaths,recovered,last_update
ZW,Zimbabwe,1,0,0,2020-03-20T22:13:55
ZW,Zimbabwe,3,0,0,2020-03-21T12:43:08
ZW,Zimbabwe,3,0,0,2020-03-22T23:45:00
ZW,Zimbabwe,3,1,0,2020-03-23T23:19:21
ZW,Zimbabwe,3,1,0,2020-03-24T23:37:15
ZW,Zimbabwe,3,1,0,2020-03-25T23:33:04
ZW,Zimbabwe,3,1,0,2020-03-26T23:48:18
ZW,Zimbabwe,5,1,0,2020-03-27T23:23:03
ZW,Zimbabwe,7,1,0,2020-03-28T23:05:25
ZW,Zimbabwe,7,1,0,2020-03-29T23:08:13
ZW,Zimbabwe,7,1,0,2020-03-30T22:52:33
ZW,Zimbabwe,8,1,0,2020-03-31T23:43:43
ZW,Zimbabwe,8,1,0,2020-04-01T21:58:34
ZW,Zimbabwe,9,1,0,2020-04-02T23:25:14
ZW,Zimbabwe,9,1,0,2020-04-03T23:56:18
ZW,Zimbabwe,9,1,0,2020-04-04T23:34:04
ZW,Zimbabwe,9,1,0,2020-04-05T23:06:26
ZW,Zimbabwe,10,1,0,2020-04-06T23:21:55
ZW,Zimbabwe,11,2,0,2020-04-07T23:04:29
ZW,Zimbabwe,11,3,0,2020-04-08T22:51:39
ZW,Zimbabwe,11,3,0,2020-04-09T23:02:19
ZW,Zimbabwe,13,3,0,2020-04-10T22:53:48
ZW,Zimbabwe,14,3,0,2020-04-11T23:56:45
ZW,Zimbabwe,14,3,0,2020-04-12T03:31:35
ZW,Zimbabwe,17,3,0,2020-04-13T23:07:34
ZW,Zimbabwe,17,3,0,2020-04-14T23:33:12
ZW,Zimbabwe,23,3,1,2020-04-15T22:56:32
ZW,Zimbabwe,23,3,1,2020-04-16T23:30:31
ZW,Zimbabwe,24,3,2,2020-04-17T23:30:32
ZW,Zimbabwe,25,3,2,2020-04-18T22:32:28
ZW,Zimbabwe,25,3,2,2020-04-19T23:40:41
ZW,Zimbabwe,25,3,2,2020-04-20T23:36:27
ZW,Zimbabwe,28,3,2,2020-04-21T23:30:30
ZW,Zimbabwe,28,4,2,2020-04-22T23:30:32
ZW,Zimbabwe,28,4,2,2020-04-23T23:30:31
ZW,Zimbabwe,29,4,2,2020-04-24T21:30:34
ZW,Zimbabwe,31,4,2,2020-04-25T23:30:33
ZW,Zimbabwe,31,4,2,2020-04-26T23:30:31
ZW,Zimbabwe,31,4,5,2020-04-27T23:30:31
ZW,Zimbabwe,32,4,5,2020-04-28T23:32:24
ZW,Zimbabwe,32,4,5,2020-04-29T23:32:26
ZW,Zimbabwe,40,4,5,2020-04-30T23:32:27
ZW,Zimbabwe,40,4,5,2020-05-01T23:32:36
ZW,Zimbabwe,34,4,5,2020-05-02T23:32:31
ZW,Zimbabwe,34,4,5,2020-05-03T23:32:29
ZW,Zimbabwe,34,4,5,2020-05-04T22:32:33
ZW,Zimbabwe,34,4,5,2020-05-05T23:32:29
ZW,Zimbabwe,34,4,5,2020-05-06T23:32:28
ZW,Zimbabwe,34,4,5,2020-05-07T22:32:32
ZW,Zimbabwe,34,4,9,2020-05-08T23:32:35
ZW,Zimbabwe,35,4,9,2020-05-09T23:32:33
ZW,Zimbabwe,36,4,9,2020-05-10T23:32:32
ZW,Zimbabwe,36,4,9,2020-05-11T23:32:30
ZW,Zimbabwe,36,4,9,2020-05-12T23:32:26
ZW,Zimbabwe,37,4,12,2020-05-13T23:32:26
ZW,Zimbabwe,37,4,13,2020-05-14T23:32:28
ZW,Zimbabwe,42,4,13,2020-05-15T23:32:20
ZW,Zimbabwe,42,4,13,2020-05-16T23:32:19
ZW,Zimbabwe,44,4,17,2020-05-17T23:32:23
ZW,Zimbabwe,46,4,18,2020-05-18T23:32:29
ZW,Zimbabwe,46,4,18,2020-05-19T23:32:20
ZW,Zimbabwe,48,4,18,2020-05-20T23:32:52
ZW,Zimbabwe,51,4,18,2020-05-21T23:32:39
ZW,Zimbabwe,51,4,18,2020-05-22T23:32:40
ZW,Zimbabwe,56,4,18,2020-05-23T19:06:14
