Country,TotalConfirmed,NewConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered,Date
Afghanistan,6053,414,17,153,54,745,2020-05-16T17:44:07Z
Albania,916,18,0,31,11,705,2020-05-16T17:44:07Z
Algeria,6629,187,7,536,113,3271,2020-05-16T17:44:07Z
Andorra,761,0,0,49,8,604,2020-05-16T17:44:07Z
Angola,48,0,0,2,3,17,2020-05-16T17:44:07Z
Antigua and Barbuda,25,0,0,3,0,19,2020-05-16T17:44:07Z
Argentina,7479,345,3,356,112,2497,2020-05-16T17:44:07Z
Armenia,4044,184,3,52,94,1666,2020-05-16T17:44:07Z
Australia,7035,16,0,98,25,6359,2020-05-16T17:44:07Z
Austria,16109,51,2,628,66,14471,2020-05-16T17:44:07Z
Azerbaijan,2980,101,1,36,53,1886,2020-05-16T17:44:07Z
Bahamas,96,0,0,11,0,41,2020-05-16T17:44:07Z
Bahrain,6583,385,2,12,287,2640,2020-05-16T17:44:07Z
Bangladesh,20065,1202,15,298,521,3882,2020-05-16T17:44:07Z
Barbados,85,0,0,7,0,65,2020-05-16T17:44:07Z
Belarus,27730,958,5,156,639,8807,2020-05-16T17:44:07Z
Belgium,54644,356,56,8959,190,14301,2020-05-16T17:44:07Z
Belize,18,0,0,2,0,16,2020-05-16T17:44:07Z
Benin,339,0,0,2,0,83,2020-05-16T17:44:07Z
Bhutan,21,1,0,0,0,5,2020-05-16T17:44:07Z
Bolivia,3577,205,12,164,78,434,2020-05-16T17:44:07Z
Bosnia and Herzegovina,2236,18,6,128,64,1336,2020-05-16T17:44:07Z
Botswana,24,0,0,1,0,17,2020-05-16T17:44:07Z
Brazil,220291,17126,963,14962,5491,84970,2020-05-16T17:44:07Z
Brunei Darussalam,141,0,0,1,1,135,2020-05-16T17:44:07Z
Bulgaria,2138,38,3,102,14,545,2020-05-16T17:44:07Z
Burkina Faso,780,7,0,51,3,595,2020-05-16T17:44:07Z
Burundi,15,0,0,1,0,7,2020-05-16T17:44:07Z
