Country,TotalConfirmed,NewConfirmed,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered
United States of America,1442824,25050,87530,1632,250747,4333
Russian Federation,262843,10598,2418,113,58226,4696
United Kingdom,238004,3564,34078,385,1047,4
Spain,230183,643,27459,138,144783,1409
Italy,223885,789,31610,242,120205,4917
Brazil,220291,17126,14962,963,84970,5491
France,179630,636,27532,104,60562,843
Germany,175233,755,7897,13,151597,1297
Canada,151916,2356,11356,174,36908,804
Turkey,146457,1708,4055,48,106133,2103
"Iran, Islamic Republic of",116635,2102,6902,48,91836,1297
India,85784,3787,2753,104,30258,2289
Peru,84495,3891,2392,125,27147,1996
China,84038,9,4637,0,79281,20
Belgium,54644,356,8959,56,14301,190
Saudi Arabia,49176,2307,292,9,21869,2818
Mexico,45032,2437,4767,290,30451,1976
Netherlands,43880,200,5662,53,159,0
Chile,39542,2502,394,26,16614,959
Pakistan,38799,3011,834,64,10880,1185
Ecuador,31467,965,2594,256,3433,0
Switzerland,30514,51,1878,6,27100,0
Qatar,29425,1153,14,0,3546,190
Sweden,29207,625,3646,117,4971,0
Portugal,28583,264,1190,6,3328,130
Belarus,27730,958,156,5,8807,639
Singapore,26891,793,21,0,7248,1275
Ireland,23956,129,1518,12,19470,0
United Arab Emirates,21831,747,210,2,7328,398
Bangladesh,20065,1202,298,15,3882,521
Poland,18016,401,907,24,6918,222
Ukraine,17330,483,476,20,4473,330
Israel,16589,10,266,1,12587,66
Indonesia,16496,490,1076,33,3803,285
Romania,16437,190,1070,17,9370,317
Japan,16203,83,713,16,10338,470
Austria,16109,51,628,2,14471,66
Colombia,14216,606,546,21,3460,102
South Africa,13524,785,247,9,6083,407
Kuwait,12860,885,96,8,3640,189
Philippines,12091,215,806,16,2460,123
Dominican Republic,11739,419,424,2,3557,206
Egypt,11228,399,592,21,2799,173
Korea (South),11037,19,262,2,9851,30
Denmark,10989,78,537,0,9157,154
Serbia,10438,64,225,1,4301,217
Panama,9268,150,266,6,6080,0
Czech Republic,8406,55,295,2,5381,140
Norway,8219,23,232,0,32,0
Argentina,7479,345,356,3,2497,112
Australia,7035,16,98,0,6359,25
Malaysia,6855,36,112,0,5439,88
Morocco,6652,45,190,0,3400,90
Algeria,6629,187,536,7,3271,113
Bahrain,6583,385,12,2,2640,287
Finland,6228,83,293,6,5000,700
Afghanistan,6053,414,153,17,745,54
Moldova,5745,192,202,8,2228,0
Kazakhstan,5689,118,34,2,2707,176
Ghana,5638,108,28,4,1460,786
Nigeria,5450,288,171,4,1320,140
Oman,4625,284,20,2,1350,47
Armenia,4044,184,52,3,1666,94
Luxembourg,3923,8,104,1,3682,17
Bolivia,3577,205,164,12,434,78
Hungary,3417,37,442,6,1287,118
Iraq,3193,50,117,2,2089,61
Cameroon,3105,151,140,1,1567,14
Thailand,3025,7,56,0,2854,4
Azerbaijan,2980,101,36,1,1886,53
Greece,2810,40,160,4,1374,0
Uzbekistan,2686,41,11,0,2158,22
Guinea,2473,0,15,0,895,0
Honduras,2460,142,134,1,264,11
Senegal,2310,121,25,2,890,48
Bosnia and Herzegovina,2236,18,128,6,1336,64
Croatia,2222,1,95,1,1869,19
Bulgaria,2138,38,102,3,545,14
Côte d'Ivoire,2017,46,24,0,942,12
Sudan,1964,146,91,1,205,7
Cuba,1840,10,79,0,1425,42
Iceland,1802,0,10,0,1782,2
Estonia,1766,8,63,1,923,14
"Macedonia, Republic of",1740,17,97,2,1251,16
Guatemala,1643,125,30,1,135,6
Lithuania,1523,12,54,0,965,31
New Zealand,1498,0,21,0,1428,7
Slovakia,1480,3,27,0,1131,19
Slovenia,1465,1,103,0,270,3
Djibouti,1309,25,4,1,935,30
Congo (Kinshasa),1298,56,50,0,212,55
Somalia,1284,0,53,0,135,0
El Salvador,1210,98,25,2,417,12
Gabon,1209,105,10,0,219,37
Tajikistan,1118,211,33,4,0,0
Kyrgyzstan,1111,29,14,2,745,10
Tunisia,1035,3,45,0,802,32
Maldives,1031,49,4,0,49,4
Latvia,970,8,19,0,662,35
Republic of Kosovo,944,0,29,0,690,0
Sri Lanka,935,10,9,0,477,32
Albania,916,18,31,0,705,11
Guinea-Bissau,913,0,3,0,26,0
Cyprus,910,3,17,0,481,0
Lebanon,891,5,26,0,246,10
Niger,885,9,51,1,684,7
Costa Rica,843,13,9,1,542,7
Mali,806,27,46,0,455,19
Kenya,781,23,45,3,284,0
Burkina Faso,780,7,51,0,595,3
Andorra,761,0,49,0,604,8
Paraguay,759,5,11,0,193,9
Uruguay,732,8,19,0,553,6
Georgia,671,4,12,0,393,10
Zambia,654,0,7,0,124,0
San Marino,652,4,41,0,189,17
Jordan,596,10,9,0,401,8
Equatorial Guinea,594,11,7,0,22,9
Malta,532,10,6,0,458,15
Jamaica,511,2,9,0,121,3
"Tanzania, United Republic of",509,0,21,0,183,0
Venezuela (Bolivarian Republic),459,4,10,0,229,9
Sierra Leone,447,39,27,1,97,0
"Taiwan, Republic of China",440,0,7,0,387,4
Chad,428,29,48,2,88,5
Congo (Brazzaville),391,0,15,0,87,0
Palestinian Territory,375,0,2,0,315,5
Benin,339,0,2,0,83,0
Mauritius,332,0,10,0,322,0
Cape Verde,326,11,2,0,67,0
Montenegro,324,0,9,0,311,2
Viet Nam,314,2,0,0,260,0
Haiti,310,37,20,0,29,11
Central African Republic,301,158,0,0,13,3
Ethiopia,287,15,5,0,112,4
Rwanda,287,0,0,0,177,9
Nepal,267,18,0,0,36,1
Togo,263,25,11,0,96,0
Madagascar,238,8,0,0,112,4
South Sudan,236,33,4,4,4,1
Sao Tome and Principe,235,0,7,0,4,0
Liberia,219,4,20,0,108,3
Uganda,203,43,0,0,63,0
Swaziland,190,3,2,0,66,15
Myanmar,182,1,6,0,89,5
Brunei Darussalam,141,0,1,0,135,1
Cambodia,122,0,0,0,122,1
Mozambique,119,4,0,0,42,7
Guyana,116,3,10,0,43,1
Trinidad and Tobago,116,0,8,0,107,0
Yemen,106,21,15,3,1,0
Mongolia,98,0,0,0,20,5
Bahamas,96,0,11,0,41,0
Monaco,96,0,4,0,87,0
Barbados,85,0,7,0,65,0
Liechtenstein,82,0,1,0,55,0
Libya,64,0,3,0,28,0
Malawi,63,0,3,0,24,0
Syrian Arab Republic (Syria),50,2,3,0,36,7
